일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1829179","0","84636","14066","1927881"
"2023/05/03","27302","11","11211","8894","47418"
"2023/05/02","28544","18","27081","15084","70727"
"2023/04/28","27894","8891","18650","12012","67447"
"2023/04/27","46488","22","34980","9988","91478"
"2023/04/26","102309","1659","47077","8379","159424"
"2023/04/25","159151","50","253780","70426","483407"
"2023/04/24","93169","41476","98619","40594","273858"
"2023/04/21","42074","198609","121866","52959","415508"
"2023/04/20","44975","24","158073","124859","327931"
"2023/04/19","11411","0","19215","27497","58123"
"2023/04/18","24132","0","17363","36602","78097"
"2023/04/17","32324","44","54861","39491","126720"
"2023/04/14","48271","1644","62712","67734","180361"
"2023/04/13","65758","82","103576","81899","251315"
"2023/04/12","12734","4","73351","37533","123622"
"2023/04/11","100097","28","51768","22494","174387"
"2023/04/10","12204","21","114750","46077","173052"
"2023/04/07","23799","4","41348","29356","94507"
"2023/04/06","194208","466","137878","168118","500670"
"2023/04/05","64348","1030","280868","115076","461322"
"2023/04/04","23848","6354","113991","88622","232815"
"2023/04/03","5629","9000","171922","76228","262779"
"2023/03/31","1906","3200","143464","52340","200910"
"2023/03/30","55386","3000","92326","36116","186828"
"2023/03/29","77580","2510","215347","136120","431557"
"2023/03/28","100846","4500","416906","171701","693953"
"2023/03/27","444290","13658","967922","1485093","2910963"
