일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","181770540","145971655","181117250","240619090","749478535"
"2023/05/03","280495620","67721850","335790445","51355295","735363210"
"2023/05/02","109489420","37195490","149172935","67072910","362930755"
"2023/04/28","235117360","75584030","274256810","524140880","1109099080"
"2023/04/27","242289900","737500","364831010","155362895","763221305"
"2023/04/26","213086605","4429185","163672075","156512705","537700570"
"2023/04/25","399086685","44886200","547709280","276083705","1267765870"
"2023/04/24","268463320","26832650","790895005","236039480","1322230455"
"2023/04/21","245804405","574560","593180850","103642425","943202240"
"2023/04/20","277709640","100998110","462313110","296999840","1138020700"
"2023/04/19","458256490","131978010","576045980","38735470","1205015950"
"2023/04/18","287798525","103515835","192604175","71774785","655693320"
"2023/04/17","349288210","134097635","243244505","88292460","814922810"
"2023/04/14","170738405","98545230","244561185","133813600","647658420"
"2023/04/13","231835060","3820","119400140","62459770","413698790"
"2023/04/12","331078695","2172810","484681255","22365525","840298285"
"2023/04/11","273627155","4971560","443771510","76175065","798545290"
"2023/04/10","92724430","94384850","207581440","37979545","432670265"
"2023/04/07","374699390","3913910","141412465","38439440","558465205"
"2023/04/06","279603975","3903895","248883285","166600290","698991445"
"2023/04/05","356953605","610300","138062555","75965155","571591615"
"2023/04/04","269972485","21715455","225446175","128916975","646051090"
"2023/04/03","375021255","403460","169828490","159102905","704356110"
"2023/03/31","324225055","0","150815520","231728350","706768925"
"2023/03/30","71098755","387860","159829560","490568035","721884210"
"2023/03/29","141535085",,"121723625","41496795","304755505"
"2023/03/28","179250975","670320","132096105","245591480","557608880"
"2023/03/27","345579930","402695","224206175","112232130","682420930"
"2023/03/24","91109830","403955","210009340","154636340","456159465"
"2023/03/23","256733325","22759770","406594215","477839685","1163926995"
"2023/03/22","219751570","9311665","381023075","42597005","652683315"
"2023/03/21","248303800","456380","194490905","92212735","535463820"
"2023/03/20","211332745","12883740","425889990","156157225","806263700"
"2023/03/17","263944465","7725075","503028420","1185150822","1959848782"
"2023/03/16","242740505","401585","132818820","88422485","464383395"
"2023/03/15","345657305","402865","156100455","118355940","620516565"
"2023/03/14","207508040","20036975","408605710","138830760","774981485"
"2023/03/13","179384850","2044850","260047015","174851625","616328340"
"2023/03/10","344753115","23586430","353004455","339903600","1061247600"
"2023/03/09","261815530","46393195","689146910","239286410","1236642045"
"2023/03/08","232820275","4553570","417223930","60876760","715474535"
"2023/03/07","318228870","849430","345237955","40892695","705208950"
"2023/03/06","295999495","3199870","244606740","91588605","635394710"
"2023/03/03","172623525","1865690","330143195","144283935","648916345"
"2023/03/02","210226730","8740585","538453770","68096325","825517410"
"2023/02/28","255432710","53524175","297499255","243069315","849525455"
"2023/02/27","152516560","532520","61120625","101712380","315882085"
"2023/02/24","310366370","508665","157215125","95484145","563574305"
"2023/02/23","149076640","11668155","447919765","40668695","649333255"
"2023/02/22","101669615","397635","342878115","39277530","484222895"
"2023/02/21","106181690","401820","259240015","97702040","463525565"
