일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","113334750","10814690","17401690","22019050","163570180"
"2023/05/03","82185470","129975","45996915","4335","128316695"
"2023/05/02","36935005","2892440","50913685","4340","90745470"
"2023/04/28","13404800",,"81145465","6341440","100891705"
"2023/04/27","53539765","1130450","57771960","9665410","122107585"
"2023/04/26","63875875","298080","33582805","8600","97765360"
"2023/04/25","74994095","68582525","267520415","29429195","440526230"
"2023/04/24","80000070",,"144692355","50763480","275455905"
"2023/04/21","162334420","39465","39928695","54208130","256510710"
"2023/04/20","120893680","1089700","127351900","54096910","303432190"
"2023/04/19","98310485",,"117669910","5145110","221125505"
"2023/04/18","113360635","19173265","126245305","7720835","266500040"
"2023/04/17","121773305",,"72808530","9119665","203701500"
"2023/04/14","60378695","111716795","134010375","72705055","378810920"
"2023/04/13","38522965","18669600","99333085","5411015","161936665"
"2023/04/12","73203105","57091170","82678380","2788330","215760985"
"2023/04/11","37987800","27479500","49448790","4380","114920470"
"2023/04/10","33767530","21976940","91580885","3771115","151096470"
"2023/04/07","28286120","21915000","83023960","2114040","135339120"
"2023/04/06","66106250","838990","137132310","3138145","207215695"
"2023/04/05","86874660","17245540","36011365","6804505","146936070"
"2023/04/04","29217825","80925105","22825280","4450","132972660"
"2023/04/03","55538190","19830000","15208080","47313205","137889475"
"2023/03/31","109082345","21558390","154978470","65528010","351147215"
"2023/03/30","41919110","30672200","128989650","24735915","226316875"
"2023/03/29","18508545","16342500","40817885","7543490","83212420"
"2023/03/28","25859170","21070810","36410780","3636540","86977300"
"2023/03/27","73260150","56904835","143720710","0","273885695"
"2023/03/24","20489295","442050","45403270","11933750","78268365"
"2023/03/23","34728245","31015000","67387370","3558100","136688715"
"2023/03/22","72441725","13566070","69101025","3746620","158855440"
"2023/03/21","47569590","40275","53709070","2553160","103872095"
"2023/03/20","11756750","0","44046615","121285","55924650"
"2023/03/17","33162400","4475000","40224150","1823780","79685330"
"2023/03/16","92452750","37467060","35948145","8479230","174347185"
"2023/03/15","85727565","1613745","62410855","16953475","166705640"
"2023/03/14","46389560","180528130","87521050","16890235","331328975"
"2023/03/13","51031400","23500110","198515030","16723130","289769670"
"2023/03/10","130395060","18229500","89877595","10184735","248686890"
"2023/03/09","36795820","0","25827345","4720805","67343970"
"2023/03/08","65640820","0","34163215","11413715","111217750"
"2023/03/07","56064370","0","40589965","11045905","107700240"
"2023/03/06","80912145",,"80048620","4250730","165211495"
"2023/03/03","30440005","905000","35079410","4525","66428940"
"2023/03/02","89540600","538555","63225925","9007930","162313010"
"2023/02/28","77302500","1144790","69128275","2163255","149738820"
"2023/02/27","64705330","789550","149668980","88793695","303957555"
"2023/02/24","106179105",,"96780405","23951810","226911320"
