일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","109313350","0","56970110","8468460","174751920"
"2023/05/03","100027660","610700","229955940","22689790","353284090"
"2023/05/02","49397855","0","72837770","37104120","159339745"
"2023/04/28","64017010","0","124883195","6396330","195296535"
"2023/04/27","12668785","0","96901490","284875","109855150"
"2023/04/26","59514560","1002770","54618585","16136775","131272690"
"2023/04/25","77379245","3781870","65197860","474940","146833915"
"2023/04/24","55796695","0","143208900","15301500","214307095"
"2023/04/21","64565365","0","186410225","32949700","283925290"
"2023/04/20","76029500","0","75359220","9354610","160743330"
"2023/04/19","114644000","44184200","276168060","62986165","497982425"
"2023/04/18","77529195","1567800","281198745","64476995","424772735"
"2023/04/17","92568195","50358000","366943450","68882095","578751740"
"2023/04/14","99614920","39490525","434155700","121137170","694398315"
"2023/04/13","52295295","68825000","414167095","106526280","641813670"
"2023/04/12","98685855","5515470","522745590","51629090","678576005"
"2023/04/11","85557045","34795100","555356240","57939410","733647795"
"2023/04/10","62707100","0","274670565","9083080","346460745"
"2023/04/07","174872015","51380500","417423050","12269755","655945320"
"2023/04/06","180457505","69203510","514571320","13505140","777737475"
"2023/04/05","252339800","32263100","441218815","72403340","798225055"
"2023/04/04","148919925","2367480","77901860","65034925","294224190"
"2023/04/03","111865395","34838900","119731265","31620325","298055885"
"2023/03/31","122740210","8535225","122973475","58419235","312668145"
"2023/03/30","12649505","18338810","82061065","25452025","138501405"
"2023/03/29","32572615","17644950","91186030","16463105","157866700"
"2023/03/28","47964970","41139255","152389955","15744990","257239170"
"2023/03/27","112461640","36587150","182913655","2614865","334577310"
"2023/03/24","43294625","170875","75861490","46834985","166161975"
"2023/03/23","44200950","1136195","121908415","5181410","172426970"
"2023/03/22","52655705","1599440","102053035","10148000","166456180"
"2023/03/21","20045415","17319055","76067150","0","113431620"
"2023/03/20","54984605","514500","104686585","6516465","166702155"
"2023/03/17","66789035","0","95231635","54290825","216311495"
"2023/03/16","105326060","15684415","160966170","63635720","345612365"
"2023/03/15","221472910","51944415","549267065","58810980","881495370"
"2023/03/14","213809275","1780315","257045860","138321150","610956600"
"2023/03/13","512476765","67831440","787823370","164651425","1532783000"
"2023/03/10","212943505","8779165","223623065","7681655","453027390"
"2023/03/09","29218955","7421475","92375250","19297550","148313230"
"2023/03/08","77796365","315040","119230385","650230","197992020"
"2023/03/07","58928775","316360","214063965","60590255","333899355"
"2023/03/06","26031605","21569245","91052820","4719785","143373455"
"2023/03/03","53904810","9362825","131884830","86410","195238875"
