일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","24729605","12905","15481605","237125","40461240"
"2023/05/03","24900045","12875","5821775","349445","31084140"
"2023/05/02","13644815","4250","9688985","220795","23558845"
"2023/04/28","26177795","8472820","20594540","946355","56191510"
"2023/04/27","10534250","1053750","41365410","1062450","54015860"
"2023/04/26","24608575","0","19283400","17220","43909195"
"2023/04/25","21661505","4245000","22818750","0","48725255"
"2023/04/24","16858915",,"11354555","0","28213470"
"2023/04/21","14032380",,"9080955","8470","23121805"
"2023/04/20","1539780",,"13002320","0","14542100"
"2023/04/19","21795300","432785","25527170","25645","47780900"
"2023/04/18","20384865",,"49145125","1193520","70723510"
"2023/04/17","25321280",,"12793435","80490","38195205"
"2023/04/14","18968640","0","29663730","3572880","52205250"
"2023/04/13","1717205","1993250","7998475","4378755","16087685"
"2023/04/12","15847095","0","89228080","0","105075175"
"2023/04/11","10326910","419155","23721055","0","34467120"
"2023/04/10","20913810","2090340","49156635","20925","72181710"
"2023/04/07","12949440","0","67225455","0","80174895"
"2023/04/06","56839820","1269290","4952380","4205","63065695"
"2023/04/05","2790035","4180","35401120","0","38195335"
"2023/04/04","22427875","843375","12324060","0","35595310"
"2023/04/03","16642085","0","6894370","1006290","24542745"
"2023/03/31","21323410","0","7164870","198295","28686575"
"2023/03/30","16141955",,"6540610","49295","22731860"
"2023/03/29","23498505","2072500","6848130","0","32419135"
"2023/03/28","19046300","12340","16517065","40750","35616455"
"2023/03/27","30495400","0","56474660","259685","87229745"
"2023/03/24","3874425","4185","30497675","0","34376285"
"2023/03/23","12759900","0","54928960","111510","67800370"
"2023/03/22","47248260","8265","57897895","822930","105977350"
"2023/03/21","24278675","0","50677010","45595","75001280"
"2023/03/20","42708805","4145","24503735","0","67216685"
"2023/03/17","20709940","0","24985630","0","45695570"
"2023/03/16","23584235","672690","18553480","117200","42927605"
"2023/03/15","29459185","37765","5104840","92635","34694425"
"2023/03/14","29032560","4185","9435435","46270","38518450"
"2023/03/13","25293900","318800","73028520","1429050","100070270"
"2023/03/10","134480",,"8040155","4340","8178975"
"2023/03/09","1639570","8720","1001925","0","2650215"
"2023/03/08","22046450","4380","45226185","8670","67285685"
"2023/03/07","23186790","4360","21495045","4310","44690505"
"2023/03/06","21204050","0","21954455","2703460","45861965"
"2023/03/03","15472470","1552950","9655740","4355","26685515"
"2023/03/02","25051195","101200","4870300","0","30022695"
"2023/02/28","43608940","8785","12350100","0","55967825"
"2023/02/27","25261560","0","9111165","416280","34789005"
"2023/02/24","27173740","4270","41006625","4635725","72820360"
"2023/02/23","105712745","1797760","169782020","8378340","285670865"
"2023/02/22","26525010",,"5023350","0","31548360"
"2023/02/21","38317755","4365","23958850","695005","62975975"
"2023/02/20","7803355","0","4276990","4345","12084690"
"2023/02/17","66177205","0","12947480","4532765","83657450"
"2023/02/16","56163195","0","27109580","256650","83529425"
"2023/02/15","32311265","26475","23954095","0","56291835"
"2023/02/14","27373845","0","61606725","9345110","98325680"
"2023/02/13","22624500","0","7062475","145260","29832235"
"2023/02/10","2186115","4475","3781170","17720","5989480"
"2023/02/09","37945460","0","40446335","4435","78396230"
"2023/02/08","9917595","0","52084560","0","62002155"
"2023/02/07","6886025",,"6762845","4694450","18343320"
"2023/02/06","8019275","444000","10655515","913710","20032500"
"2023/02/03","55249025","0","26741035","4772340","86762400"
"2023/02/02","28320125","380945","14128500","2585795","45415365"
"2023/02/01","3842075",,"11050655","1041870","15934600"
"2023/01/31","56529000","0","19296700","1130295","76955995"
"2023/01/30","31196665","4630980","33706310","7657575","77191530"
"2023/01/27","38462950","13300","32424295","3966960","74867505"
"2023/01/26","43709935","0","7601790","0","51311725"
"2023/01/25","61916385","0","29387170","3424235","94727790"
"2023/01/20","61207550","456020","25600415","2456225","89720210"
"2023/01/19","27096160",,"17325555","0","44421715"
"2023/01/18","49222075",,"12745015","442465","62409555"
"2023/01/17","27855535","4525","21831155","58310","49749525"
"2023/01/16","177286835","4560","14615080","7338535","199245010"
"2023/01/13","59558245","8825","11606670","579445","71753185"
"2023/01/12","127744485","8770","8852980","1277140","137883375"
"2023/01/11","117008915","0","27465740","3031165","147505820"
"2023/01/10","74364405","1568785","17813555","1704610","95451355"
"2023/01/09","48971620","319140","16291835","1989945","67572540"
"2023/01/06","83265455","0","37387145","7530265","128182865"
"2023/01/05","580696425","20905","183336225","3565565","767619120"
"2023/01/04","12278510","4030","9991310","0","22273850"
"2023/01/03","22570340","16055","35053935","64080","57704410"
"2023/01/02","22824645","0","11816650","4015","34645310"
"2022/12/29","13528365","0","30945495","346145","44820005"
"2022/12/28","13698185","817200","5365465","1182915","21063765"
"2022/12/27","15910285","418590","25259015","0","41587890"
"2022/12/26","20107105","4010","33498350","12030","53621495"
"2022/12/23","20331355","4015","17434525","0","37769895"
"2022/12/22","22123815","8045","15795830","0","37927690"
"2022/12/21","34142360","7995","31382900","52070","65585325"
"2022/12/20","35496990","410545","20815455","3990","56726980"
"2022/12/19","19515590","0","36695175","1075625","57286390"
"2022/12/16","46159060","0","88582920","836400","135578380"
"2022/12/15","19137650",,"24236205","0","43373855"
"2022/12/14","25004125","4005","33905755","0","58913885"
"2022/12/13","25122915",,"75621245","24060","100768220"
"2022/12/12","14213610","0","8746505","0","22960115"
"2022/12/09","12838425","8120","8135785","12150","20994480"
"2022/12/08","16372670","8130","12334245","20350","28735395"
"2022/12/07","10526025",,"9696060","0","20222085"
"2022/12/06","27217340","4075","21745620","1628855","50595890"
"2022/12/05","13653155",,"60747150","215955","74616260"
"2022/12/02","25338900","0","46089805","3948735","75377440"
"2022/12/01","34989900",,"24301065","3326910","62617875"
"2022/11/30","11361525","4030","36319965","1269560","48955080"
"2022/11/29","71530090","4025","57531085","1423695","130488895"
"2022/11/28","13203105","73800000","29132210","274040","116409355"
"2022/11/25","21951380","0","17621100","209605","39782085"
"2022/11/24","47135020",,"13606155","4029345","64770520"
"2022/11/23","9895460","0","8580500","3547645","22023605"
"2022/11/22","9970660","0","8520735","1174145","19665540"
"2022/11/21","140511890","4090","13069410","0","153585390"
"2022/11/18","20610940",,"44559830","3465680","68636450"
"2022/11/17","124207885","4000","170950590","1012470","296174945"
"2022/11/16","12505845","303000","155849795","6612735","175271375"
"2022/11/15","15471115","61065","44267180","3216495","63015855"
"2022/11/14","61522235","0","71765930","2318205","135606370"
"2022/11/11","19211550","4105","61856135","5774765","86846555"
"2022/11/10","15729635","0","35402300","5665285","56797220"
"2022/11/09","21971860",,"24017095","4010","45992965"
"2022/11/08","13821450","0","39684910","11855","53518215"
"2022/11/07","9245515","399435","33007155","125980","42778085"
"2022/11/04","36468865","4607660","219735335","1096740","261908600"
"2022/11/03","15174915","412595","19817930","0","35405440"
"2022/11/02","15610425","4120","29891750","0","45506295"
"2022/11/01","28778145","0","40141875","0","68920020"
"2022/10/31","44726775","4125","72522805","81700","117335405"
"2022/10/28","35799120","0","28198305","88110","64085535"
"2022/10/27","68886090","0","38604180","12287140","119777410"
"2022/10/26","24407930","7452000","44080595","0","75940525"
"2022/10/25","27675305","4075","28465845","7889010","64034235"
"2022/10/24","23036600","0","14040335","4020","37080955"
"2022/10/21","44082780","4020","87111525","4860450","136058775"
"2022/10/20","36602625","0","39312800","6392650","82308075"
"2022/10/19","106145395","0","39616035","1332860","147094290"
"2022/10/18","32640325","4005","83146820","2545010","118336160"
"2022/10/17","41841810","8015","46897540","927275","89674640"
"2022/10/14","43758040","24400","79960040","3919265","127661745"
"2022/10/13","85424735","13571775","167680660","3729465","270406635"
"2022/10/12","9738040","424360","86764180","2728155","99654735"
"2022/10/11","63345145","0","69203735","5036335","137585215"
"2022/10/07","49287890","8805","38038290","0","87334985"
"2022/10/06","5582590","4420","48806640","0","54393650"
"2022/10/05","27221370","500065","40191615","57275","67970325"
"2022/10/04","116619425","8945","11886730","0","128515100"
