일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","300524480","0","135452750","521759940","957737170"
"2023/05/03","114670035","1173150","110267485","47909285","274019955"
"2023/05/02","62591750","0","82500745","126566965","271659460"
"2023/04/28","42569390","0","165648925","54034295","262252610"
"2023/04/27","205000295","0","237171115","37341960","479513370"
"2023/04/26","139643100","10056180","93297575","114339325","357336180"
"2023/04/25","230028480","36977750","401753350","189696375","858455955"
"2023/04/24","176348280","0","419762315","352550695","948661290"
"2023/04/21","329302900","524585","638157140","115641830","1083626455"
"2023/04/20","222647435","499500","503893545","416588900","1143629380"
"2023/04/19","184239405","25922000","251381505","155639450","617182360"
"2023/04/18","145349600","19920000","193269580","587880090","946419270"
"2023/04/17","200900770","3489500","253486715","248534940","706411925"
"2023/04/14","422648450","503080","324541355","488499550","1236192435"
"2023/04/13","82003860","2912420","344402520","116026450","545345250"
"2023/04/12","158197995","24894920","213303695","144027850","540424460"
"2023/04/11","162501500","605240","139753270","184981040","487841050"
"2023/04/10","115290295","7981230","297866700","110892575","532030800"
"2023/04/07","73180810","34505","176679935","70341675","320236925"
"2023/04/06","323625025","0","231654890","330133305","885413220"
"2023/04/05","220717745","19660","341648030","50855935","613241370"
"2023/04/04","120505310","9726380","345069065","331818440","807119195"
"2023/04/03","96215650","493250","425504535","160670520","682883955"
"2023/03/31","149440800","1489500","276882930","191081660","618894890"
"2023/03/30","54132400","555030","228492335","3921035","287100800"
"2023/03/29","103732170","0","157784040","119074300","380590510"
"2023/03/28","350849680","58776450","129587440","359902120","899115690"
"2023/03/27","520093550","0","135207295","215542905","870843750"
"2023/03/24","60154040","4949825","235799315","21940680","322843860"
"2023/03/23","79931610","26982795","226025780","20745125","353685310"
"2023/03/22","203762310","230545","168827190","85066505","457886550"
"2023/03/21","81558630","44570320","191798300","77622230","395549480"
"2023/03/20","114992260","32338760","419582595","2245840","569159455"
"2023/03/17","80997855","1494620","301989845","382543535","767025855"
"2023/03/16","34328425","4980000","205872205","96770650","341951280"
"2023/03/15","175029325","31500000","269757285","25577460","501864070"
"2023/03/14","68959130","15250000","377568550","99614080","561391760"
"2023/03/13","57762710","16133310","261209090","116590140","451695250"
"2023/03/10","94804280","0","240674700","78882890","414361870"
"2023/03/09","51715620","25541970","126214320","520210","203992120"
"2023/03/08","147989350","0","219220310","1217310","368426970"
"2023/03/07","194866930","30960","202457850","18195210","415550950"
"2023/03/06","136016940","518110","146052070","4949240","287536360"
"2023/03/03","48171480","27108770","102510600","59039460","236830310"
"2023/03/02","121545090","26670960","143792290","13448260","305456600"
"2023/02/28","115096620","2572120","71625110","117153500","306447350"
"2023/02/27","101269430","975460","280916750","15454110","398615750"
"2023/02/24","243464230","257500","170641500","390703860","805067090"
"2023/02/23","62185850","53645900","185143120","173302080","474276950"
"2023/02/22","60878700","52829290","271425200","40836410","425969600"
"2023/02/21","86658680","163980","336137580","62579390","485539630"
"2023/02/20","39987840","521000","224122070","11942990","276573900"
"2023/02/17","18192800","0","236841000","45568120","300601920"
"2023/02/16","47367030","161610","260229170","186400820","494158630"
"2023/02/15","91300750","21061880","205075930","25284110","342722670"
"2023/02/14","61705470","1219470","310329100","12269150","385523190"
"2023/02/13","78520540","5786300","317551460","24941970","426800270"
"2023/02/10","142885330","0","303443220","125696790","572025340"
"2023/02/09","104754360","2660000","184261270","78407160","370082790"
"2023/02/08","265236960","0","312417650","53654640","631309250"
"2023/02/07","213456140","193120030","164446410","72442040","643464620"
"2023/02/06","209818330","10770","117836310","295744590","623410000"
"2023/02/03","463719130","81167910","384282940","453929220","1383099200"
"2023/02/02","277114750","1544490","178630710","307313240","764603190"
"2023/02/01","80363310","125160","291444950","33368540","405301960"
"2023/01/31","192416250","3810040","787532310","39880670","1023639270"
"2023/01/30","119733600","337580","415898520","61674600","597644300"
"2023/01/27","132137970","1725880","218923210","75472860","428259920"
"2023/01/26","209974460","0","181155280","191206870","582336610"
"2023/01/25","180112090","220240","236803380","267675420","684811130"
"2023/01/20","333903530","0","173858990","167931090","675693610"
"2023/01/19","381595170","22093860","102984680","62965280","569638990"
"2023/01/18","163717950","31960","324966180","112851750","601567840"
"2023/01/17","379704340","0","148862900","43472340","572039580"
"2023/01/16","354757870","0","220698330","110275170","685731370"
"2023/01/13","142918010","0","138052460","149905600","430876070"
"2023/01/12","115646470","265500","102992610","141442070","360346650"
"2023/01/11","159746080","0","212838590","17621400","390206070"
"2023/01/10","170788800","0","142644030","184215520","497648350"
"2023/01/09","372520580","714700","222238530","492079590","1087553400"
"2023/01/06","406907140","0","65376790","315211850","787495780"
"2023/01/05","114637140","0","132779300","970757340","1218173780"
"2023/01/04","105243290","267500","222238820","375410280","703159890"
"2023/01/03","208287500","80330","118848950","392562500","719779280"
"2023/01/02","371013350","538660","234460130","94786650","700798790"
"2022/12/29","431205700","0","107211310","1169548720","1707965730"
"2022/12/28","230040380","3321120","132184240","318612900","684158640"
"2022/12/27","359573270","864050","242089330","161149300","763675950"
"2022/12/26","172415560","0","211250580","345503290","729169430"
"2022/12/23","759574650","270000","190761150","634423410","1585029210"
"2022/12/22","584906960","0","179104100","1291976540","2055987600"
"2022/12/21","488573570","0","154946220","581163300","1224683090"
"2022/12/20","260868110","539270","93396560","799590360","1154394300"
"2022/12/19","243615280","1057000","282055650","908332480","1435060410"
"2022/12/16","470999880","1073000","1051463860","24506300300","26029837040"
"2022/12/15","436128570","0","99498250","2353142060","2888768880"
"2022/12/14","471119890","0","115386500","1811752990","2398259380"
"2022/12/13","85711580","0","150395410","629976700","866083690"
"2022/12/12","320218500","518000","250700020","808690390","1380126910"
"2022/12/09","168031330","51700","272134300","1541756750","1981974080"
"2022/12/08","254120230","3962610","381548670","2134829380","2774460890"
"2022/12/07","305932020","0","172104810","1439153230","1917190060"
"2022/12/06","467657670","255000","857384590","2629293785","3954591045"
"2022/12/05","270257240","1995375","1515414520","6139687925","7927355060"
"2022/12/02","230915115","7252860","429362160","19762765","687292900"
"2022/12/01","660180585","169061345","358818305","166557000","1354617235"
"2022/11/30","339299265","7366360","360164060","345305065","1052134750"
"2022/11/29","165664940","1010900","184026580","57423395","408125815"
"2022/11/28","115791855","2207940","322195340","83808275","524003410"
"2022/11/25","220112365","1605695","398862015","247337160","867917235"
"2022/11/24","211312240","15427775","461367715","76069860","764177590"
"2022/11/23","114918230","1816500","287916075","29093470","433744275"
"2022/11/22","98825545","989280","289223830","33840100","422878755"
"2022/11/21","148958795","478900","344570425","34841080","528849200"
"2022/11/18","151208820","1501425","307312135","37202715","497225095"
"2022/11/17","155861190","33604445","184350440","119227770","493043845"
"2022/11/16","161295590","2190750","304353015","63017205","530856560"
"2022/11/15","184425595","5652380","514380605","31572595","736031175"
"2022/11/14","398297765","10983875","481810285","42860890","933952815"
"2022/11/11","757658220","962535","530577490","772955190","2062153435"
"2022/11/10","303189510","28516765","276578230","204250110","812534615"
"2022/11/09","148783370","0","505045285","31179425","685008080"
"2022/11/08","389551760","36183940","414135605","144160445","984031750"
"2022/11/07","279004245","260685380","310848775","136682865","987221265"
"2022/11/04","334916560","14681650","342286325","59676680","751561215"
"2022/11/03","306395250","449000","300055960","40151780","647051990"
"2022/11/02","345608995","1366500","244257680","38492095","629725270"
"2022/11/01","319688300","3868965","246382255","253098950","823038470"
