일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","229911925","0","135764690","160426045","526102660"
"2023/05/03","130693705","0","184286275","39659470","354639450"
"2023/05/02","18340155","0","68653040","11719495","98712690"
"2023/04/28","40027350","130500","169744615","14517480","224419945"
"2023/04/27","30447600","0","64598855","1122025","96168480"
"2023/04/26","24758165","988500","77110375","140825","102997865"
"2023/04/25","40248740",,"120603340","28307225","189159305"
"2023/04/24","122931710","659700","113904810","3764025","241260245"
"2023/04/21","40556245",,"207387045","2047760","249991050"
"2023/04/20","93762995","166250","210831235","7942580","312703060"
"2023/04/19","105859600","334500","89460700","38771935","234426735"
"2023/04/18","102954450","149050","182113030","19602185","304818715"
"2023/04/17","125778770","332500","276312880","63059995","465484145"
"2023/04/14","211104290","0","228508335","122140735","561753360"
"2023/04/13","61756175","995385","119121980","141107615","322981155"
"2023/04/12","83361325","328000","198196990","61582585","343468900"
"2023/04/11","110378010",,"445906090","95333930","651618030"
"2023/04/10","58827565",,"183139190","11716025","253682780"
"2023/04/07","66697650","51726925","160041360","3614100","282080035"
"2023/04/06","67723415",,"261808225","327540","329859180"
"2023/04/05","189675635","209600","672349415","10890680","873125330"
"2023/04/04","48742945","512175","222974155","8212745","280442020"
"2023/04/03","70230380","0","229765585","55009330","355005295"
"2023/03/31","53551825","88150","235492095","7410460","296542530"
"2023/03/30","103332900","387960","369768070","23064925","496553855"
"2023/03/29","315281970","0","157436195","164929915","637648080"
"2023/03/28","148539285","25413865","200078390","6564830","380596370"
"2023/03/27","164395310","453375","264197325","6184260","435230270"
"2023/03/24","116248305","24459955","76324525","17129475","234162260"
"2023/03/23","161447550","273625","164563755","10950","326295880"
"2023/03/22","181927060","32970","138647455","0","320607485"
"2023/03/21","143688745","7439800","204838515","10232680","366199740"
"2023/03/20","22834450","10980000","150281040","10192745","194288235"
"2023/03/17","26571040","1000545","142974815","29375395","199921795"
"2023/03/16","34264845","1090500","48613125","0","83968470"
"2023/03/15","147498130","1099500","80372845","38518380","267488855"
"2023/03/14","38821140","1044190","209989360","1641660","251496350"
"2023/03/13","80037395","2984810","157187205","6237645","246447055"
"2023/03/10","32627580","333900","203295080","769005","237025565"
"2023/03/09","13854985","223200","184051165","7930905","206060255"
"2023/03/08","54345090","18479750","179019975","3215865","255060680"
"2023/03/07","60930775","36365420","241707620","63315270","402319085"
"2023/03/06","101845955",,"212139645","29194960","343180560"
"2023/03/03","24216515","219900","78103735","0","102540150"
"2023/03/02","94957160","1390800","176330625","16468700","289147285"
"2023/02/28","94465540",,"185685565","24749125","304900230"
"2023/02/27","51566585","260130","93248545","4468515","149543775"
"2023/02/24","122315800","8178630","160263035","35856000","326613465"
"2023/02/23","36376235","142100","100372595","1221205","138112135"
"2023/02/22","15045025","3926680","86583760","8651815","114207280"
"2023/02/21","145514585","99120","250038330","55802620","451454655"
"2023/02/20","58143900","10822195","234793085","41685025","345444205"
"2023/02/17","37201200","5378505","219969585","18567380","281116670"
"2023/02/16","61745630","18503815","169810595","11310345","261370385"
"2023/02/15","111859330","9093310","135562195","9753880","266268715"
"2023/02/14","76799300","917275","143283795","6756195","227756565"
"2023/02/13","41993260","23937500","283640210","34045600","383616570"
"2023/02/10","97508580","47322200","322405870","7340135","474576785"
"2023/02/09","73205180","43970375","276304130","20970385","414450070"
"2023/02/08","56024415","14184625","194573650","39876915","304659605"
"2023/02/07","85710925","74506220","206271545","4875540","371364230"
"2023/02/06","90701460","86150005","160049285","19843765","356744515"
"2023/02/03","73922080","212315","281961820","14291360","370387575"
"2023/02/02","135165560","6399145","131455620","82374190","355394515"
"2023/02/01","109053960","53877120","222268775","30381780","415581635"
"2023/01/31","157538840","12624870","175397340","7006015","352567065"
"2023/01/30","110008110","1952645","211413910","18491985","341866650"
"2023/01/27","308179080","24501635","332311195","5270240","670262150"
"2023/01/26","210126790","4018300","134411795","26352740","374909625"
"2023/01/25","357890910","42776560","302829860","49678585","753175915"
"2023/01/20","105947105","382500","202195615","162196755","470721975"
"2023/01/19","69820195",,"284472070","17988810","372281075"
"2023/01/18","121168970",,"198194725","11838350","331202045"
"2023/01/17","175873615","0","163267775","31449585","370590975"
"2023/01/16","320178115","0","312548810","110128765","742855690"
"2023/01/13","143952830","7532630","128440225","14900035","294825720"
"2023/01/12","550162820","21346500","103248190","70570220","745327730"
"2023/01/11","313556130","1415040","111198040","160783580","586952790"
"2023/01/10","166434970","3600000","208167365","58483215","436685550"
"2023/01/09","184130160","3632500","254500365","32760300","475023325"
"2023/01/06","395735460","21510000","238779235","112479295","768503990"
"2023/01/05","212146505","17675000","312355415","227011000","769187920"
"2023/01/04","48230070","0","168054640","21336705","237621415"
"2023/01/03","42833165","334180","173051850","82725660","298944855"
"2023/01/02","80859610",,"160578840","20296250","261734700"
"2022/12/29","23276375",,"270299720","7492870","301068965"
"2022/12/28","53761750","2813420","62460200","49852680","168888050"
"2022/12/27","163508320","2284560","93180515","13542615","272516010"
"2022/12/26","76942405","17590805","43054650","8565620","146153480"
"2022/12/23","20548550","7004085","326818890","17980930","372352455"
"2022/12/22","88130795","3405000","180597095","42365130","314498020"
"2022/12/21","37895940","75553515","103552435","5120275","222122165"
"2022/12/20","164826195","79510930","100092930","25918615","370348670"
"2022/12/19","35211325",,"89582430","5435100","130228855"
"2022/12/16","75979785","22098000","76962420","14418050","189458255"
"2022/12/15","43236765","19684195","131523055","4778820","199222835"
"2022/12/14","58115175","6500805","108782345","8596570","181994895"
"2022/12/13","22781140","6118000","183184880","4480770","216564790"
"2022/12/12","59404125","4454000","142763580","1568165","208189870"
"2022/12/09","153198815","14344335","118506190","8127815","294177155"
"2022/12/08","54000880","15366730","157370105","8331510","235069225"
"2022/12/07","131711020","11386830","136062175","10393480","289553505"
"2022/12/06","69332400","10182525","232482910","40799025","352796860"
"2022/12/05","171445460","2754330","182198190","35771290","392169270"
"2022/12/02","128433255","23534660","314585000","18288775","484841690"
"2022/12/01","74513360","3495000","416169685","12889965","507068010"
"2022/11/30","118431540","0","162500430","43524695","324456665"
"2022/11/29","31747225","3405000","146362580","10225795","191740600"
"2022/11/28","150916150","6146045","276595875","86153250","519811320"
"2022/11/25","62424810","13035585","165260855","186379710","427100960"
"2022/11/24","41393980","17590000","234547465","64546150","358077595"
"2022/11/23","61491295","74461930","194393085","38853065","369199375"
"2022/11/22","35432080","15002600","144722705","2979850","198137235"
"2022/11/21","148182415","18178880","288546040","5018135","459925470"
"2022/11/18","128407810","14736960","98481800","26530090","268156660"
"2022/11/17","46368845","10101160","291549765","17654560","365674330"
"2022/11/16","53742780","44706690","302262600","7221530","407933600"
"2022/11/15","63036600","3293500","106287750","6637780","179255630"
"2022/11/14","53133685","16063870","243761400","10975325","323934280"
"2022/11/11","78991040","13349365","416345045","91661770","600347220"
"2022/11/10","25771295","8530085","108676150","520555","143498085"
"2022/11/09","233486005",,"219235340","98507950","551229295"
"2022/11/08","35023925","7599800","200754420","27643420","271021565"
"2022/11/07","25363815","8315750","90876930","21110455","145666950"
"2022/11/04","192656235","7047630","139501515","14901565","354106945"
"2022/11/03","78417335","31416975","352772530","28174235","490781075"
"2022/11/02","63453940","49917775","240029330","78847830","432248875"
"2022/11/01","74992815","56373390","385511870","110493710","627371785"
"2022/10/31","78447940","438200","513857785","26018125","618762050"
"2022/10/28","122109290","20238000","276443585","37338640","456129515"
"2022/10/27","323989425","13992600","231120390","141927015","711029430"
"2022/10/26","84254105","20456415","262576185","35834920","403121625"
"2022/10/25","136624935","1070550","313989280","37426185","489110950"
"2022/10/24","239119985","15285630","380694080","133525895","768625590"
"2022/10/21","382036695","0","523986445","55971810","961994950"
"2022/10/20","287894195","9716640","744190895","116402245","1158203975"
"2022/10/19","409419035","22870170","398994680","126608520","957892405"
"2022/10/18","338361870","16964040","609830710","218673835","1183830455"
"2022/10/17","409466440","117564955","430568795","200547880","1158148070"
"2022/10/14","260830570","30994610","522225270","52450130","866500580"
"2022/10/13","457341955","17034000","438379770","103520510","1016276235"
"2022/10/12","580482385","66601540","1433119485","209748210","2289951620"
"2022/10/11","450185255","46347325","1129821710","85441040","1711795330"
"2022/10/07","359314700","18561005","703370325","41948675","1123194705"
"2022/10/06","332235160","13810800","788666665","41615195","1176327820"
"2022/10/05","273698300","14379000","364443800","5926900","658448000"
"2022/10/04","271312105","102500","807292390","31141070","1109848065"
"2022/09/30","148996370","413500","121256440","29459180","300125490"
"2022/09/29","59024210","8494400","215306235","58238515","341063360"
"2022/09/28","414325370","43432350","75182780","11259845","544200345"
"2022/09/27","416668200","0","121247560","21183175","559098935"
"2022/09/26","311570605","45125255","293628765","24590685","674915310"
"2022/09/23","150287420","43476540","186350810","4307435","384422205"
"2022/09/22","192279025","43847960","151125245","9948690","397200920"
"2022/09/21","194461505","44473200","34433805","11679640","285048150"
"2022/09/20","204927205","44409500","69351950","68343555","387032210"
"2022/09/19","246705700","52404970","94521285","67756865","461388820"
"2022/09/16","113004330","56967395","211201870","40801590","421975185"
"2022/09/15","302047230","87800","345938490","23217135","671290655"
"2022/09/14","138557185","4665150","116155195","25184735","284562265"
"2022/09/13","121899145","451000","96040630","14290110","232680885"
"2022/09/08","148483320","4440","119388025","24376555","292252340"
"2022/09/07","247840785","4430","249643075","70473945","567962235"
"2022/09/06","204272615","0","68823115","16242835","289338565"
"2022/09/05","214793980","0","100644370","57201285","372639635"
"2022/09/02","45404610","2626835","277167480","24354820","349553745"
