일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","124963325","3688260","293842415","196316190","618810190"
"2023/05/03","194875270","7366545","194901145","74382925","471525885"
"2023/05/02","56993920","14547660","285019195","109716080","466276855"
"2023/04/28","178977480","10770000","262227355","155127195","607102030"
"2023/04/27","213656405","24018400","439179100","37060220","713914125"
"2023/04/26","143272195","4382505","279198215","94203345","521056260"
"2023/04/25","228064510","23387500","550323550","133934020","935709580"
"2023/04/24","137203005","37711980","696900855","111469500","983285340"
"2023/04/21","266405655","48393515","814575245","56741565","1186115980"
"2023/04/20","180199225","3168700","383847545","391996835","959212305"
"2023/04/19","236740740","1543300","459636695","35545430","733466165"
"2023/04/18","167130040","26806575","301986235","539858995","1035781845"
"2023/04/17","198191870","12787130","691007670","92827450","994814120"
"2023/04/14","158732615","26239830","346625430","386856035","918453910"
"2023/04/13","73136340","2870125","329988275","363419120","769413860"
"2023/04/12","96735665","7250","230107420","238738290","565588625"
"2023/04/11","209434315","32885395","425628245","127402415","795350370"
"2023/04/10","177798690","141967905","554070335","31695635","905532565"
"2023/04/07","76656070","1105060","324206955","29235410","431203495"
"2023/04/06","164521780","31703655","474464620","43625765","714315820"
"2023/04/05","192184285","23395065","615407620","92134375","923121345"
"2023/04/04","167498300","1099500","330558365","73630480","572786645"
"2023/04/03","62184580","12043400","289785795","144476655","508490430"
"2023/03/31","346231960","15438200","326889330","261104480","949663970"
"2023/03/30","44004870","8925780","269006255","271419580","593356485"
"2023/03/29","171351900","3507550","296622280","8170295","479652025"
"2023/03/28","57580565","6362475","201912970","28038210","293894220"
"2023/03/27","116226045","15415030","840592370","30322185","1002555630"
"2023/03/24","66593710","2556450","344603010","20856445","434609615"
"2023/03/23","119847140","4256250","486950335","31473680","642527405"
"2023/03/22","135755685","300040","178768720","44083985","358908430"
"2023/03/21","104038370","11250","66712970","9958045","180720635"
"2023/03/20","42734070","1860000","134081175","60796895","239472140"
"2023/03/17","262439545","8098440","785708920","41147650","1097394555"
"2023/03/16","55548890","9025000","295865315","42363100","402802305"
"2023/03/15","130019780","6245930","79892115","17929225","234087050"
"2023/03/14","95751530","6102450","477076570","19376165","598306715"
"2023/03/13","57308985","28967310","298283215","116077560","500637070"
"2023/03/10","106201725","15491500","255465370","74910730","452069325"
"2023/03/09","62393140","16249110","139622035","85932080","304196365"
"2023/03/08","96024395","24111900","109976585","170855370","400968250"
"2023/03/07","124961330","7955","168004860","175685170","468659315"
"2023/03/06","126158065","0","204165095","147857870","478181030"
"2023/03/03","104802030","28784235","138055310","98013520","369655095"
"2023/03/02","77810275","28000845","218135355","167231470","491177945"
"2023/02/28","127746835","18322190","191517800","267582885","605169710"
"2023/02/27","117248070","1407775","167200130","332180445","618036420"
"2023/02/24","276476660","11381590","236823070","253436025","778117345"
"2023/02/23","76450880","24675380","337595280","45200505","483922045"
"2023/02/22","83637735","51260480","548343005","204728270","887969490"
"2023/02/21","110504980","3141610","474029695","21294825","608971110"
"2023/02/20","96722245","10854975","486663915","31848570","626089705"
"2023/02/17","98952385","12066495","338987140","14015510","464021530"
"2023/02/16","65293390","1078715","265714115","62407630","394493850"
"2023/02/15","189194815","10841580","389694085","28390485","618120965"
"2023/02/14","79712380","19016140","282036625","10279235","391044380"
"2023/02/13","182995220","12469965","716949745","33811455","946226385"
"2023/02/10","221041085","26845310","1166286080","127826255","1541998730"
"2023/02/09","95458250","11369335","286944060","2567245","396338890"
"2023/02/08","127083500","16250","179564150","18194770","324858670"
"2023/02/07","214925805","2645140","447423935","14569795","679564675"
"2023/02/06","324309835","3568190","360859980","25321825","714059830"
"2023/02/03","301466715","144124890","624082790","387142070","1456816465"
"2023/02/02","381932385","4288075","422836755","173184980","982242195"
"2023/02/01","336615525","9960745","978178905","79219600","1403974775"
"2023/01/31","267556310","0","131195080","5410497965","5809249355"
"2023/01/30","318343125","38992515","537326740","97851215","992513595"
"2023/01/27","302744940","5744840","569698430","148547360","1026735570"
"2023/01/26","298895680","13812525","815669905","4443675","1132821785"
"2023/01/25","284704740","19104000","494802770","5778705","804390215"
"2023/01/20","591130935","39303530","554842465","62729355","1248006285"
"2023/01/19","485081125","41801865","315627820","86868265","929379075"
"2023/01/18","462152285","21685875","323551545","332279875","1139669580"
"2023/01/17","490023540","30075205","269497100","105379710","894975555"
"2023/01/16","716336800","7652710","455810340","577439600","1757239450"
"2023/01/13","158552900","7496550","240704660","116203905","522958015"
"2023/01/12","267203495","63486660","275086160","577053765","1182830080"
"2023/01/11","296152190","17860650","151998425","43057435","509068700"
"2023/01/10","362100860","5536550","102324805","6763240","476725455"
"2023/01/09","269590625","4149090","159290845","67395030","500425590"
"2023/01/06","416571475","8090","172953495","80794565","670327625"
"2023/01/05","416592555","2558655","173791945","493188910","1086132065"
"2023/01/04","146605920","28021210","185540380","27137865","387305375"
"2023/01/03","421580130","23281225","1093932815","113226790","1652020960"
"2023/01/02","141788215","1087985","132472045","6623615","281971860"
"2022/12/29","270245990","709695","225774260","153885910","650615855"
"2022/12/28","554647150","15143070","1035268505","64581990","1669640715"
"2022/12/27","486494700","4192620","284231385","92352940","867271645"
"2022/12/26","357156955","16690800","113228385","82101845","569177985"
"2022/12/23","319141500","16680","178405945","65298670","562862795"
"2022/12/22","585104465","66246610","149270955","74509820","875131850"
"2022/12/21","187366900","12614210","72567260","48752500","321300870"
"2022/12/20","118585395","6378835","479459910","3973660","608397800"
"2022/12/19","117829510","2057840","245947375","3736475","369571200"
"2022/12/16","281525100","6228015","560665890","122153270","970572275"
"2022/12/15","728948095","4152455","229767955","15761140","978629645"
"2022/12/14","510727910","4040","187519190","452984020","1151235160"
"2022/12/13","202124610","411560","207114355","37960650","447611175"
"2022/12/12","195082140","2040615","189093545","55203260","441419560"
"2022/12/09","242721645","10067650","131793190","2124955","386707440"
"2022/12/08","182215690","385040","169335325","62990575","414926630"
"2022/12/07","92388255","108098585","192337800","68653950","461478590"
"2022/12/06","107368665","10372665","182366005","20395025","320502360"
"2022/12/05","106555615","12739125","219593415","18861500","357749655"
"2022/12/02","56141570","1584000","348246625","102115550","508087745"
"2022/12/01","162114435","0","726096780","339229455","1227440670"
"2022/11/30","79477715","7850000","859784010","236125040","1183236765"
"2022/11/29","274697615","10347100","376047205","76052990","737144910"
"2022/11/28","114316000","10967370","547575155","151269705","824128230"
"2022/11/25","136781425","1164000","302574165","67730420","508250010"
"2022/11/24","86999810","8849200","250633245","29054155","375536410"
"2022/11/23","91876490","0","257867620","76407880","426151990"
"2022/11/22","58326235","0","213533605","40354780","312214620"
"2022/11/21","219918770","0","441070075","50253885","711242730"
"2022/11/18","297959210","0","273504825","145930485","717394520"
"2022/11/17","41016260","0","523533440","43538125","608087825"
"2022/11/16","64319210","30456540","451449415","259779405","806004570"
"2022/11/15","91831490","304000","432020415","22098230","546254135"
"2022/11/14","291300135","0","1131836065","253015895","1676152095"
"2022/11/11","127174375","3650000","1059336860","314699960","1504861195"
"2022/11/10","97093625","7090000","358292120","13021725","475497470"
"2022/11/09","134070135","1050985","607389230","80537180","823047530"
"2022/11/08","28902455","0","379376565","55304320","463583340"
"2022/11/07","56208240","107806155","405490360","218597480","788102235"
"2022/11/04","197331680","77159320","1655222480","410646055","2340359535"
"2022/11/03","156731005","8541875","1518840875","185840490","1869954245"
"2022/11/02","117887105","15284890","1119154400","281444555","1533770950"
"2022/11/01","311817980","18724215","681734410","469450335","1481726940"
"2022/10/31","229000720","9360420","1387215955","430699145","2056276240"
"2022/10/28","134924270","5464255","692721870","197631345","1030741740"
"2022/10/27","325354990","7607440","1112466420","945724340","2391153190"
"2022/10/26","341676865","17227110","779224120","191416030","1329544125"
"2022/10/25","400973855","7185","1494488585","207602470","2103072095"
"2022/10/24","425996680","34998400","1131884450","518365745","2111245275"
"2022/10/21","224272635","17031450","1396977705","876121345","2514403135"
"2022/10/20","139895185","819890","2261695755","568001755","2970412585"
"2022/10/19","217444480","7718550","1967512315","947606635","3140281980"
"2022/10/18","137453920","4354840","1485560160","390315500","2017684420"
"2022/10/17","326100585","8400000","1009411235","85251980","1429163800"
"2022/10/14","238306610","24122785","1127858225","335054615","1725342235"
"2022/10/13","367138310","7736330","597304430","204666990","1176846060"
"2022/10/12","724430920","5911495","370139195","625442235","1725923845"
"2022/10/11","775865380","26625665","298113670","397811475","1498416190"
"2022/10/07","18645840","24389530","112658175","574705030","730398575"
"2022/10/06","85174580","48940000","135396685","462846100","732357365"
"2022/10/05","217203145","49974000","126193335","514801610","908172090"
"2022/10/04","281714955","1141920","136764995","844621665","1264243535"
"2022/09/30","392504185","20887070","294083710","790096615","1497571580"
"2022/09/29","465373860","97116370","330059225","46128035","938677490"
"2022/09/28","407318745","194371450","572399200","71995785","1246085180"
"2022/09/27","453138785","2465000","331502145","34081975","821187905"
"2022/09/26","309641935","199542325","461069595","434642515","1404896370"
"2022/09/23","360477290","5537900","445104695","128562840","939682725"
"2022/09/22","109830235","1503995","285615890","108622665","505572785"
"2022/09/21","393438700","33508350","342997410","25776710","795721170"
"2022/09/20","42766110","74919020","348308890","61003230","526997250"
"2022/09/19","341403700","171250680","190061730","215216860","917932970"
"2022/09/16","40569400","352100","110544760","3731928100","3883394360"
"2022/09/15","25587120","0","80749090","490342090","596678300"
"2022/09/14","253723830","6435520","557891730","423044965","1241096045"
"2022/09/13","230329100","10030","195200600","588252030","1013791760"
"2022/09/08","91702595","3025020","196245315","425905960","716878890"
"2022/09/07","170852135","21078905","844415955","329442400","1365789395"
"2022/09/06","196732510","23897590","312585480","110326150","643541730"
"2022/09/05","320148340","16096000","501763250","55930620","893938210"
"2022/09/02","99546330","9064800","624494100","395075690","1128180920"
"2022/09/01","124395040","4581280","209300200","275367820","613644340"
"2022/08/31","87955910","50993600","180192840","477162760","796305110"
"2022/08/30","100710020","5060","335230020","90765650","526710750"
"2022/08/29","252531630","44290650","639179120","182149780","1118151180"
"2022/08/26","224742780","57301280","407489030","93965280","783498370"
"2022/08/25","221368090","11112000","484060550","121106780","837647420"
"2022/08/24","104448800","206731890","480042450","5531500","796754640"
"2022/08/23","434613790","91599200","585272180","88956000","1200441170"
"2022/08/22","305592710","51000000","315787210","224028200","896408120"
"2022/08/19","294813890","50905110","474588730","375100600","1195408330"
"2022/08/18","267131490","60950000","393570460","122013960","843665910"
"2022/08/17","503236590","76310190","379162040","118955990","1077664810"
"2022/08/16","413221830","10022850","722093070","272398700","1417736450"
"2022/08/12","271447880","2024000","648647010","351646150","1273765040"
"2022/08/11","322313500","3725870","400436770","918588890","1645065030"
"2022/08/10","188893730","1509000","640036010","359928470","1190367210"
"2022/08/09","337715740","24266040","784151190","689169380","1835302350"
"2022/08/08","126091090","353500","557395250","337798540","1021638380"
"2022/08/05","417191770","0","325156670","227464470","969812910"
"2022/08/04","592950970","12113100","672075210","560547168","1837686448"
"2022/08/03","443851350","86694160","450250800","294171520","1274967830"
"2022/08/02","313363510","1524100","460796940","333474890","1109159440"
"2022/08/01","608999850","23335910","458165630","302367240","1392868630"
"2022/07/29","426202170","5533000","735991590","313997320","1481724080"
"2022/07/28","203578155","1000750","1042089375","44723420","1291391700"
"2022/07/27","241745900","7065000","839566550","199377980","1287755430"
"2022/07/26","159504620","30569820","424515810","1827477130","2442067380"
"2022/07/25","172177820","11018500","1691299355","362993340","2237489015"
"2022/07/22","290775840","11815470","312769440","117622710","732983460"
"2022/07/21","190896590","49926410","759123430","256360250","1256306680"
"2022/07/20","148595460","15714000","639145210","317597540","1121052210"
"2022/07/19","70699810","3024000","291274460","247507180","612505450"
"2022/07/18","161935990","66774480","669181220","81539850","979431540"
"2022/07/15","69978810","19201000","495549910","514017920","1098747640"
"2022/07/14","123755450","15717820","488612770","84443180","712529220"
"2022/07/13","98774270","10660960","219423650","227742730","556601610"
"2022/07/12","106229040","27268100","143429860","290398380","567325380"
"2022/07/11","69908960","51103320","348058870","85959950","555031100"
"2022/07/08","117515010","25729470","322642900","107856170","573743550"
"2022/07/07","168036770","28310000","344162920","40600120","581109810"
"2022/07/06","115760710","1241300","56204710","474242530","647449250"
"2022/07/05","381156990","542000","145858530","705363680","1232921200"
"2022/07/04","210849730","59248110","312929730","727112580","1310140150"
"2022/07/01","646551620","21996880","359468540","244000800","1272017840"
"2022/06/30","254984240","13600850","454557430","802949630","1526092150"
"2022/06/29","137543530","70824510","464547560","417797600","1090713200"
"2022/06/28","777527590","85546650","602547690","831673880","2297295810"
"2022/06/27","436439060","82251140","320807930","314301890","1153800020"
"2022/06/24","666829660","76236090","443803010","49321620","1236190380"
"2022/06/23","567838840","96434600","585377130","429044840","1678695410"
"2022/06/22","763740810","1845480","663444780","286907940","1715939010"
"2022/06/21","480074570","30519960","782805370","340370220","1633770120"
"2022/06/20","544250130","63446480","738215550","339063520","1684975680"
"2022/06/17","1121680980","721925940","1811786600","27160781350","30816174870"
"2022/06/16","90749740","174413850","388759170","2869058740","3522981500"
"2022/06/15","145736660","311495980","383377480","1904999040","2745609160"
"2022/06/14","916018960","1210000","514339050","1781384330","3212952340"
"2022/06/13","709538680","349342450","383327770","2038826400","3481035300"
"2022/06/10","538485720","864453270","296931040","1166883170","2866753200"
"2022/06/09","371223630","462005000","336957220","1299220500","2469406350"
"2022/06/08","762591330","160497130","429929050","1887480040","3240497550"
"2022/06/07","667616280","103687480","591030220","2532922460","3895256440"
"2022/06/03","932454540","60800000","116075180","1099193030","2208522750"
"2022/06/02","861047030","0","823384640","4975401830","6659833500"
"2022/05/31","1304672660","2990000","324103150","2002070240","3633836050"
"2022/05/30","845337220","12054740","287926920","595496990","1740815870"
"2022/05/27","965186360","5990","254953020","1035767810","2255913180"
"2022/05/26","801368300","208428060","476177310","1649475330","3135449000"
"2022/05/25","1075063840","59824470","171356820","734557360","2040802490"
"2022/05/24","506010110","122060","132442670","99484280","738059120"
"2022/05/23","452057780","5829050","82511310","122589810","662987950"
"2022/05/20","686079060","11563700","35858700","254323260","987824720"
"2022/05/19","536151060","28800","280014590","30533440","846727890"
"2022/05/18","547082900","1425460","78104540","340504160","967117060"
"2022/05/17","850541490","11620000","311766000","60360190","1234287680"
"2022/05/16","844635500","11663910","237964530","42237670","1136501610"
"2022/05/13","497870190","109540","241356470","165953310","905289510"
"2022/05/12","902489730","5791620","282937470","180010050","1371228870"
"2022/05/11","643163880","5800000","146193450","597377510","1392534840"
"2022/05/10","509330440","11976730","529766970","424030360","1475104500"
"2022/05/09","574775250","5585360","293024580","62091100","935476290"
"2022/05/06","418251540","17795000","748423070","85978330","1270447940"
"2022/05/04","879574630","18000720","557086080","395505860","1850167290"
"2022/05/03","884439480","38499740","1011704090","144365070","2079008380"
"2022/05/02","1040434930","0","292688710","163603650","1496727290"
"2022/04/29","1050575600","5920","268028950","175886430","1494496900"
"2022/04/28","1583888860","882000","644266710","127402800","2356440370"
"2022/04/27","1893798300","19737130","536712180","244939730","2695187340"
"2022/04/26","1540501790","2995000","469282220","72629920","2085408930"
"2022/04/25","1748103320","19512860","1108976880","351060390","3227653450"
"2022/04/22","2285705050","2955000","597086770","718479370","3604226190"
"2022/04/21","1452260990","59135360","350951440","182980080","2045327870"
"2022/04/20","1261516320","0","191850020","80705460","1534071800"
"2022/04/19","1265461020","1004500","424316770","122617180","1813399470"
"2022/04/18","1595553530","22453960","776857460","194767860","2589632810"
"2022/04/15","2213040740","19529000","1548155620","1061061100","4841786460"
"2022/04/14","2031090500","0","286118800","376931180","2694140480"
"2022/04/13","1754503900","0","404933030","183613960","2343050890"
"2022/04/12","1141066180","115400000","423769850","477992460","2158228490"
"2022/04/11","1232712330","0","368561930","396047940","1997322200"
"2022/04/08","1186184170","26003400","357950190","385806100","1955943860"
"2022/04/07","1029613500","17044140","495150910","424282430","1966090980"
"2022/04/06","1905333130","45144120","944024580","569286690","3463788520"
"2022/04/05","1823338500","22315480","588354680","492169010","2926177670"
"2022/04/04","752024130","37411280","711863790","159540540","1660839740"
"2022/04/01","907715340","16894560","449231260","163450450","1537291610"
"2022/03/31","928118670","12555530","730128070","302706260","1973508530"
"2022/03/30","699279590","18449880","305992410","85204630","1108926510"
"2022/03/29","764489060","15124020","619579350","40096560","1439288990"
"2022/03/28","690106710","52491630","275130640","37226300","1054955280"
"2022/03/25","519380270","41830520","184744720","324834430","1070789940"
"2022/03/24","573213870","11676850","259426990","602484000","1446801710"
"2022/03/23","609448550","69363700","478358270","2677180","1159847700"
"2022/03/22","591113910","0","133183780","324116310","1048414000"
"2022/03/21","539986980","3553080","166125320","124811300","834476680"
"2022/03/18","903536150","46056130","899373200","208929580","2057895060"
"2022/03/17","715594600","88124420","363614440","237560060","1404893520"
"2022/03/16","586022860","44678780","139328030","38754810","808784480"
"2022/03/15","561409470","6225590","477341280","75746900","1120723240"
"2022/03/14","634302600","9507680","251855010","174276660","1069941950"
"2022/03/11","1233457920","45201560","335735020","202646050","1817040550"
"2022/03/10","1044842840","9463240","237133830","57961920","1349401830"
"2022/03/08","1081670100","24638000","300171140","87241760","1493721000"
"2022/03/07","827867340","8177870","281737590","61640800","1179423600"
"2022/03/04","919850750","13975300","461064010","525795630","1920685690"
"2022/03/03","995979620","110800","147333280","136313270","1279736970"
"2022/03/02","848148610","27277200","117774510","111934830","1105135150"
"2022/02/28","606649100","1301020","420854920","230324960","1259130000"
"2022/02/25","1129123200","0","133630340","72448250","1335201790"
"2022/02/24","1369459280","0","154286840","153537420","1677283540"
"2022/02/23","526877050","1259200","179535630","3153490","710825370"
"2022/02/22","640081430","9995140","147179500","26249990","823506060"
"2022/02/21","495459860","55000","136021640","40427330","671963830"
"2022/02/18","759820800","109800","327322610","2062880","1089316090"
"2022/02/17","578017220","3482440","315990640","67809310","965299610"
"2022/02/16","537841860","0","169065410","107920","707015190"
