일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1132460","230350","19733415","5012585","26108810"
"2023/05/03","5022685","1944620","28115835","1988290","37071430"
"2023/05/02","8741245","0","16145500","2567290","27454035"
"2023/04/28","7212410","6600","25441075","3160335","35820420"
"2023/04/27","9035775","330605","29700575","1185525","40252480"
"2023/04/26","28569630","1001680","14573055","7652515","51796880"
"2023/04/25","79134235","2312920","98691985","7868355","188007495"
"2023/04/24","45737595","3590345","129659970","2814595","181802505"
"2023/04/21","8479225","0","32760005","1009550","42248780"
"2023/04/20","45621225","0","31081035","7134070","83836330"
"2023/04/19","85764515","19264135","587639540","77815170","770483360"
"2023/04/18","43289645","12435910","134389705","14096110","204211370"
"2023/04/17","9565455","10264155","64666475","10632440","95128525"
"2023/04/14","42869835","67000","107082785","46803780","196823400"
"2023/04/13","2843960","0","63961185","2660080","69465225"
"2023/04/12","22457760","1551750","80680535","11527150","116217195"
"2023/04/11","27435420","6248515","275579730","4553170","313816835"
"2023/04/10","62636045","6114735","72061250","0","140812030"
"2023/04/07","3583970","1744425","49387285","3482525","58198205"
"2023/04/06","66977110","3728655","87668440","10151950","168526155"
"2023/04/05","11117360","63935","130383950","10513175","152078420"
"2023/04/04","15463825","958165","83749565","5531105","105702660"
"2023/04/03","39791640","3765115","80401780","14883740","138842275"
"2023/03/31","30400505","2265625","113092105","3945420","149703655"
"2023/03/30","46763250","24255060","435182430","25145300","531346040"
"2023/03/29","38112995","7478400","254924850","9282580","309798825"
"2023/03/28","48165885","5464885","286019985","9341410","348992165"
"2023/03/27","28011235","5566775","130697955","3575","164279540"
"2023/03/24","18223450","5230100","164320340","3752470","191526360"
"2023/03/23","37932050","5360450","124212725","66165","167571390"
"2023/03/22","6959440","7481915","64881165","26080","79348600"
"2023/03/21","8133255","74200","23974240","37250","32218945"
"2023/03/20","72660255","18556675","228583360","4916540","324716830"
"2023/03/17","48177885","0","41418095","5822450","95418430"
"2023/03/16","26898785","0","40608555","59730","67567070"
"2023/03/15","33886730","223500","44847005","1612605","80569840"
"2023/03/14","23538305","7483130","116887580","1748130","149657145"
"2023/03/13","11037750","763000","81740260","194830","93735840"
"2023/03/10","7336120","0","49585225","0","56921345"
"2023/03/09","9315420",,"52401840","2140540","63857800"
"2023/03/08","41685210","228125","39030920","64935","81009190"
"2023/03/07","91539320","38200","248715160","26396950","366689630"
"2023/03/06","49728405","266100","78273300","9313530","137581335"
"2023/03/03","16414875","764000","57792495","0","74971370"
"2023/03/02","32720595","230400","27329475","130545","60411015"
"2023/02/28","26383805","404775","84891775","88205","111768560"
"2023/02/27","30284205","153500","15623735","60970","46122410"
"2023/02/24","9540795","0","45895620","695585","56132000"
"2023/02/23","38395995","1437680","61324315","262170","101420160"
"2023/02/22","38424775","228920","27822505","530875","67007075"
"2023/02/21","50699500","0","14158525","171960","65029985"
"2023/02/20","19395380","312500","43908195","19570","63635645"
"2023/02/17","51865745","395420","22737620","153245","75152030"
"2023/02/16","21763325","3344450","54398440","4510625","84016840"
"2023/02/15","75456120","2180750","30701335","147305","108485510"
"2023/02/14","89578955","9027250","58241250","0","156847455"
"2023/02/13","79276355","8529920","29171600","32080","117009955"
"2023/02/10","21080495","525215","53718690","1373430","76697830"
"2023/02/09","47772345","0","24765905","2451475","74989725"
"2023/02/08","55488890","81050","13172565","8592540","77335045"
"2023/02/07","52887425","0","18417475","0","71304900"
"2023/02/06","56256735","526350","38869230","1343800","96996115"
"2023/02/03","99078295","163250","97276685","2364080","198882310"
"2023/02/02","82788010",,"39636705","33421165","155845880"
"2023/02/01","65628840","4000","22115440","10022405","97770685"
"2023/01/31","49654020","1901840","40419430","260455","92235745"
"2023/01/30","53590345","0","32053180","13847050","99490575"
"2023/01/27","60502430","16946800","63539990","0","140989220"
"2023/01/26","45707375","2248265","75360285","249780","123565705"
"2023/01/25","126206945","19966920","92564790","17374635","256113290"
"2023/01/20","78027815","96960","55156750","355650","133637175"
"2023/01/19","51171900","363200","93751935","15216210","160503245"
"2023/01/18","125169035","420450","47213950","267880","173071315"
"2023/01/17","185664065","322100","41532925","38032835","265551925"
"2023/01/16","978412630","4313400","77445110","58371940","1118543080"
"2023/01/13","83399700","342000","74556155","46347525","204645380"
"2023/01/12","44876055","0","51672410","3027750","99576215"
"2023/01/11","79884150","5088250","24949010","253595","110175005"
"2023/01/10","34164850","0","52514200","215910","86894960"
"2023/01/09","54762025","227550","92293975","2733170","150016720"
"2023/01/06","95559490","681900","88135205","8497135","192873730"
"2023/01/05","91828490","337500","54593325","35041310","181800625"
"2023/01/04","91255620","711850","49109670","785815","141862955"
"2023/01/03","84449635",,"29763760","14256345","128469740"
"2023/01/02","31729790","333900","42404350","3230655","77698695"
"2022/12/29","91786805","442650","59180055","374265","151783775"
"2022/12/28","70678965","0","46174395","1193915","118047275"
"2022/12/27","719055711","0","66876330",,"785932041"
"2022/12/26","61543825","4017305","30361455","1744680","97667265"
"2022/12/23","76538875","1804550","53495975","3917185","135756585"
"2022/12/22","60959460","7460000","43832815","3083620","115335895"
"2022/12/21","67545155","109650","19701310","3687715","91043830"
"2022/12/20","44269950","7997750","27439055","226755","79933510"
"2022/12/19","31393395","3726380","46545030","320185","81984990"
"2022/12/16","76521855","418590","31789200","1012090","109741735"
"2022/12/15","62048030","4132110","62176810","263380","128620330"
"2022/12/14","75023115","4980415","24691475","0","104695005"
"2022/12/13","52854160","7795825","66315950","1765730","128731665"
"2022/12/12","112476550","7968855","20304120","5714750","146464275"
"2022/12/09","77449345","8410215","14994770","5416030","106270360"
"2022/12/08","50180515","553000","36707010","225030","87665555"
"2022/12/07","96272015","2477325","35747770","7767260","142264370"
"2022/12/06","38887940","3270495","68064970","20430040","130653445"
"2022/12/05","10702545","7592170","54449955","1174670","73919340"
