일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1233760","114765","50027225","4131715","55507465"
"2023/05/03","7650","110845","41092885","4868425","46079805"
"2023/05/02","6968935","0","89579390","2521985","99070310"
"2023/04/28","2487255","0","45798930","1246040","49532225"
"2023/04/27","815710","3945","40292780","13445865","54558300"
"2023/04/26","761660","4811860","53229190","5441045","64243755"
"2023/04/25","27592525","25012090","467819580","82362975","602787170"
"2023/04/24","34580390","1936165","204636905","18246840","259400300"
"2023/04/21","10299770",,"102558950","17875030","130733750"
"2023/04/20","4045875","0","269984100","6791445","280821420"
"2023/04/19","22103000","68335435","441829740","24861240","557129415"
"2023/04/18","1920950","0","684053950","62344355","748319255"
"2023/04/17","15867055","3790","106690445","20661595","143222885"
"2023/04/14","9882410","0","260988970","6182560","277053940"
"2023/04/13","287675","0","62184270","1829970","64301915"
"2023/04/12","11145305","3610","168202715","14967765","194319395"
"2023/04/11","43700","0","84447210","1315765","85806675"
"2023/04/10","12079525","0","57501700","329205","69910430"
"2023/04/07","191805","3545","97658825","239090","98093265"
"2023/04/06","154345","0","65423055","0","65577400"
"2023/04/05","2459650","3455","143597780","6615645","152676530"
"2023/04/04","20517755","0","101155310","5240200","126913265"
"2023/04/03","5558510","3410","224079005","10311295","239952220"
"2023/03/31","1186850","3274990","58826080","1369075","64656995"
"2023/03/30","1002820","0","39172200","621860","40796880"
"2023/03/29","484710","0","18514120","292865","19291695"
"2023/03/28","58035","0","6680475","0","6738510"
"2023/03/27","92200","6380","8460080","31650","8590310"
"2023/03/24","457230","0","5915530","0","6372760"
"2023/03/23","4452195","0","5103710","0","9555905"
"2023/03/22","782420","34928215","6991485","0","42702120"
"2023/03/21","502810","0","2783700","0","3286510"
"2023/03/20","608010","0","21838240","0","22446250"
"2023/03/17","1264550","0","9476730","3140","10744420"
"2023/03/16","707255","3225","7992120","0","8702600"
"2023/03/15","411370","0","7761400","262170","8434940"
"2023/03/14","2928660","0","34415505","810765","38154930"
"2023/03/13","6109970","3360","75372780","2649780","84135890"
"2023/03/10","1082805","0","26198050","54225","27335080"
"2023/03/09","24010","0","3903430","346500","4273940"
"2023/03/08","1280420","3419485","12809575","117320","17626800"
"2023/03/07","1063515","3450","5938835","0","7005800"
"2023/03/06","2551345","0","17131620","347085","20030050"
"2023/03/03","116975","0","20791010","103650","21011635"
"2023/03/02","1300730","6820","18943445","54490","20305485"
"2023/02/28","33695","3365","12465540","485025","12987625"
"2023/02/27","5511975","272875","28287325","198075","34270250"
"2023/02/24","411360","170570","14781730","1000595","16364255"
"2023/02/23","1078280","204000","17301010","498825","19082115"
"2023/02/22","2228645","0","61669755","54080","63952480"
"2023/02/21","307580","10440","15633950","0","15951970"
"2023/02/20","4719230","329010","83854510","0","88902750"
"2023/02/17","7582900","3936050","75385295","829605","87733850"
"2023/02/16","717390","464915","29761070","0","30943375"
"2023/02/15","2043440","332120","8382875","990910","11749345"
"2023/02/14","3310535","3650","18684140","7391320","29389645"
"2023/02/13","14487945","3665","16169675","943580","31604865"
"2023/02/10","6434930","0","47931825","954410","55321165"
"2023/02/09","370000","3700","9919585","303620","10596905"
"2023/02/08","14403695","0","43230485","2904380","60538560"
"2023/02/07","613050","3635","25277975","594855","26489515"
"2023/02/06","2171000","0","23164725","2971990","28307715"
"2023/02/03","1253540","7250","25196600","668275","27125665"
"2023/02/02","5018935","32685","43266500","7954980","56273100"
"2023/02/01","1988290","3625","50200775","2175160","54367850"
"2023/01/31","736860","0","21605470","5359745","27702075"
"2023/01/30","12932070","0","69337930","2910760","85180760"
"2023/01/27","16640015","7290","51153485","3988250","71789040"
"2023/01/26","8188865","10955","33674010","1335170","43209000"
"2023/01/25","22632525","0","64848680","745680","88226885"
"2023/01/20","5552050","7395","60718950","3640605","69919000"
"2023/01/19","321325","0","34633325","2220520","37175170"
"2023/01/18","18768865","7200","44328150","3612800","66717015"
"2023/01/17","70775","21320","27072845","1441365","28606305"
"2023/01/16","5605160","7015","26093875","2679365","34385415"
"2023/01/13","8685000","3510","33154130","3352965","45195605"
"2023/01/12","16602315","17720","40342760","4253235","61216030"
"2023/01/11","3139940","3575","35295390","2667845","41106750"
