일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","62283365","315050","75427920","875775","138902110"
"2023/05/03","19149105","0","35105045","6821335","61075485"
"2023/05/02","13500350","35000","31450480","7227500","52213330"
"2023/04/28","16191990",,"42849370","31420","59072780"
"2023/04/27","38018605","3485","50725035","9329615","98076740"
"2023/04/26","23681615","0","96771460","0","120453075"
"2023/04/25","94295975","175000","47295085","17650860","159416920"
"2023/04/24","57489855","28175","29957175","0","87475205"
"2023/04/21","66428545","0","190431785","1755840","258616170"
"2023/04/20","66650895","31950","78918885","0","145601730"
"2023/04/19","43159320","35550","115364810","6303130","164862810"
"2023/04/18","16983995","1430000","126528810","145955","145088760"
"2023/04/17","8041310","0","106093650","2772865","116907825"
"2023/04/14","16435005","36050","119059455","10544635","146075145"
"2023/04/13","33691715","0","51930020","5004710","90626445"
"2023/04/12","15514225","0","49392695","18063645","82970565"
"2023/04/11","21243880","0","42709050","22866155","86819085"
"2023/04/10","89023860","66690","99336215","273735","188700500"
"2023/04/07","46000155","548750","210836590","23345310","280730805"
"2023/04/06","16931895","1812500","67293300","47005","86084700"
"2023/04/05","73232445","0","126178995","3705","199415145"
"2023/04/04","46129890","0","22817460","0","68947350"
"2023/04/03","50493220","0","59083320","1925455","111501995"
"2023/03/31","88569740","1955000","223846240","77625185","391996165"
"2023/03/30","81435740","0","128732680","14374300","224542720"
"2023/03/29","66474415","546000","292096460","1241025","360357900"
"2023/03/28","95718685","3720","108358925","4115050","208196380"
"2023/03/27","13110425","0","103602000","0","116712425"
"2023/03/24","22922035","3810","134365035","499765","157790645"
"2023/03/23","72271370","0","80998015","12065850","165335235"
"2023/03/22","11986080","46605","130700685","0","142733370"
"2023/03/21","36563590","11715","126349795","1283100","164208200"
"2023/03/20","40527730","19380","145052815","38550","185638475"
"2023/03/17","34266800","402735","46004455","10147800","90821790"
"2023/03/16","196406530","0","69378530","35031345","300816405"
"2023/03/15","61757415","0","93665150","5671175","161093740"
"2023/03/14","98014945","787000","49895110","12408265","161105320"
"2023/03/13","70543350","2734500","100018220","9282165","182578235"
"2023/03/10","40591865","390500","57169570","9082710","107234645"
"2023/03/09","63688295","0","33242340","21798055","118728690"
"2023/03/08","60802305","0","28010645","6288090","95101040"
"2023/03/07","48926040","0","85478710","52281270","186686020"
"2023/03/06","53748825","0","57488895","28079980","139317700"
"2023/03/03","26056810","0","34163205","0","60220015"
"2023/03/02","18057750","61810","49472000","616350","68207910"
"2023/02/28","33065140","11475400","49352930","169915","94063385"
"2023/02/27","22744510","0","23997520","10061410","56803440"
"2023/02/24","30650390","0","31820980","0","62471370"
"2023/02/23","69217635","1922500","48958420","1554370","121652925"
