일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","5712740","156190","41517810","414580","47801320"
"2023/05/03","3689255","74450","15006980","354500","19125185"
"2023/05/02","8037190","64045","60035900","0","68137135"
"2023/04/28","23407660","3535","24553765","141250","48106210"
"2023/04/27","2297200","357540","24660720","247200","27562660"
"2023/04/26","8382965","10670","18044070","2658990","29096695"
"2023/04/25","2004865","70600","52924825","106200","55106490"
"2023/04/24","28624670","173760","30655260","632480","60086170"
"2023/04/21","13688215","565700","68890705","2322510","85467130"
"2023/04/20","7109465","0","56060495","1906505","65076465"
"2023/04/19","7464195",,"22629250","2033275","32126720"
"2023/04/18","18775680","49840","29419610","859275","49104405"
"2023/04/17","19187715","103200","42570710","18341075","80202700"
"2023/04/14","8557290","0","26406810","5729805","40693905"
"2023/04/13","11211220","7035","58708625","5412355","75339235"
"2023/04/12","18346355","7075","93577940","3183720","115115090"
"2023/04/11","6705505","21438295","35160640","3422040","66726480"
"2023/04/10","40078880","0","44556995","2978235","87614110"
"2023/04/07","21045225","7155","41885065","127450","63064895"
"2023/04/06","40071570","0","32104475","0","72176045"
"2023/04/05","176790745","0","34981915","192780","211965440"
"2023/04/04","10956245","4305585","54448675","0","69710505"
"2023/04/03","54812960","446000","47193530","1285040","103737530"
"2023/03/31","17475470","89250","21007145","0","38571865"
"2023/03/30","9322450","227255","40974650","308675","50833030"
"2023/03/29","8650625","0","73929700","35500","82615825"
"2023/03/28","18128645","1036925","32721940","70500","51958010"
"2023/03/27","9790385","286320","90347955","4842850","105267510"
"2023/03/24","12328825","272470","101032650","104055","113738000"
"2023/03/23","3432190","184490","71237945","137340","74991965"
"2023/03/22","2792545","0","48950065","0","51742610"
"2023/03/21","676800","116520","35954455","137920","36885695"
"2023/03/20","6765970","0","182158540","145700","189070210"
"2023/03/17","8445520","54895","10195030","0","18695445"
"2023/03/16","11416960","0","17576890","0","28993850"
"2023/03/15","7372280","7295","20200215","7290","27587080"
"2023/03/14","14585390","0","49222495","289805","64097690"
"2023/03/13","10467195","3665","60671145","6882080","78024085"
"2023/03/10","3398670",,"35099500","466840","38965010"
"2023/03/09","3274910","7455","48411150","3720","51697235"
"2023/03/08","6126615","22440","25560215","74150","31783420"
"2023/03/07","32933050","3760","26173400","0","59110210"
"2023/03/06","6562595","3720","34318875","11250","40896440"
"2023/03/03","14592545","7450","76270135","6136155","97006285"
"2023/03/02","4976090","3760","59841785","5282245","70103880"
"2023/02/28","18666025","9005090","60209750","264740","88145605"
"2023/02/27","2121360",,"27449925","847550","30418835"
"2023/02/24","30817295","0","37650090","614125","69081510"
"2023/02/23","752810","0","31511375","36900","32301085"
"2023/02/22","6766325","3695","8591135","132630","15493785"
"2023/02/21","13880020","7375","26185895","154800","40228090"
"2023/02/20","37613780","0","91244020","770540","129628340"
"2023/02/17","7358745","493630","120446455","232500","128531330"
"2023/02/16","10941875","3790","29960800","15120","40921585"
"2023/02/15","12455675","0","76711290","19025","89185990"
"2023/02/14","40148705",,"37329810","45905","77524420"
"2023/02/13","7670955","3845","35389030","96235","43160065"
"2023/02/10","7835030",,"70169270","192500","78196800"
"2023/02/09","15713290","0","18201120","38300","33952710"
"2023/02/08","37744075","21265295","57805130","4957470","121771970"
