일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","101398150","1203020","382871060","24754560","510226790"
"2023/05/03","396977540","599440","524635770","24207750","946420500"
"2023/05/02","40464890","1208110","410080900","1809530","453563430"
"2023/04/28","73875060","800940","520677500","24345940","619699440"
"2023/04/27","518154530","803330","647187700","45697600","1211843160"
"2023/04/26","443461400","11094260","707577500","16926910","1179060070"
"2023/04/25","1326611160","800440","899063330","181235250","2407710180"
"2023/04/24","1255856550","802160","1129468370","64533340","2450660420"
"2023/04/21","1087206620","828420","1375478090","187436350","2650949480"
"2023/04/20","1842476820","20807880","983729360","87737000","2934751060"
"2023/04/19","2246586880","1424770","1036090470","21315210","3305417330"
"2023/04/18","3145101470","236327140","1156753600","167174740","4705356950"
"2023/04/17","2456447380","826670","1680678290","249371780","4387324120"
"2023/04/14","2108820570","1247310","1471228840","161356580","3742653300"
"2023/04/13","1632606300","897595","1108552435","70140265","2812196595"
"2023/04/12","1277575420","816900","1579079650","18594505","2876066475"
"2023/04/11","2380204965","7709265","3003426995","28242580","5419583805"
"2023/04/10","3336892600","342441735","13368497490","38994355","17086826180"
