일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","121076940","127820","231718620","109414130","462337510"
"2023/05/03","202289720","5800","146086460","225089280","573471260"
"2023/05/02","295852580","2012770","314015520","33307860","645188730"
"2023/04/28","531729730","2711540","404798260","167967840","1107207370"
"2023/04/27","142177330","29240180","313909790","165527750","650855050"
"2023/04/26","277097660","103183280","418949000","192227060","991457000"
"2023/04/25","565783260","455292890","429327500","950246760","2400650410"
"2023/04/24","399681420","14915500","495437140","15611360","925645420"
"2023/04/21","359866610","3907000","430816050","49327670","843917330"
"2023/04/20","346245280","0","351910220","214601420","912756920"
"2023/04/19","469521280","314720","1197052460","87716770","1754605230"
"2023/04/18","608149610","63583180","549098120","881057840","2101888750"
"2023/04/17","1004328390","17068590","1098878900","1139814170","3260090050"
"2023/04/14","485445030","63054160","905484550","703851170","2157834910"
"2023/04/13","503336190","6601500","665133470","340443460","1515514620"
"2023/04/12","382438040","0","402293700","608526710","1393258450"
"2023/04/11","793843690","1614000","880961210","544742060","2221160960"
"2023/04/10","762810600","253426830","802198170","749984520","2568420120"
"2023/04/07","731664190","23498920","941101140","204685420","1900949670"
"2023/04/06","574995950","149073390","1080527570","134244970","1938841880"
"2023/04/05","212084560","42523000","475187340","91348650","821143550"
"2023/04/04","103166350","60337130","304906870","9634670","478045020"
"2023/04/03","174723920","11932520","407178150","343489660","937324250"
"2023/03/31","175619360","1667470","347197340","42557050","567041220"
"2023/03/30","393234990","9193050","1055379590","88459840","1546267470"
"2023/03/29","398016300","5593150","385225760","67118750","855953960"
"2023/03/28","149985260","8123660","534487740","25175450","717772110"
"2023/03/27","198210850","7127490","578182310","85097010","868617660"
"2023/03/24","199393940","17952630","495048940","134314170","846709680"
"2023/03/23","162377410","31909710","407719920","48285870","650292910"
"2023/03/22","170126980","16952620","601930690","25940350","814950640"
"2023/03/21","61363880","9752280","191663800","19970870","282750830"
"2023/03/20","234338920","37639300","639907370","20660970","932546560"
"2023/03/17","144733900","27024020","358244930","782729180","1312732030"
"2023/03/16","365790080","12780","169293850","27265970","562362680"
"2023/03/15","366369130","314580","256983120","76433520","700100350"
"2023/03/14","259773590","6490","130941360","83268690","473990130"
"2023/03/13","160595500","0","128791690","28578620","317965810"
"2023/03/10","208174730","0","147541840","96742810","452459380"
"2023/03/09","46824430","121390","135067020","19611940","201624780"
"2023/03/08","206847610","2409200","388337940","28020320","625615070"
"2023/03/07","292900530","4574230","436643750","29161920","763280430"
"2023/03/06","256545480","6498500","338273710","3814020","605131710"
"2023/03/03","651085430","16037790","606665970","186226910","1460016100"
"2023/03/02","184208600","13420","185872760","99579740","469674520"
"2023/02/28","130024170","6610","145492570","37036040","312559390"
"2023/02/27","64748720","1357960","213909460","18797630","298813770"
"2023/02/24","166076070","5834770","247083860","103126580","522121280"
"2023/02/23","70754550","0","461070430","121489180","653314160"
"2023/02/22","80263990","1333290","257422160","45951440","384970880"
"2023/02/21","86821190","2826730","300963710","2287320","392898950"
"2023/02/20","75525570","11178910","307734610","20490360","414929450"
"2023/02/17","147657960","20130","109356850","27745280","284780220"
"2023/02/16","190268420","3704150","249732920","156217400","599922890"
"2023/02/15","187216670","2825510","178839260","39298910","408180350"
