일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","370415","0","2846850","1062040","4279305"
"2023/05/03","49775","10755","9253060","78810","9392400"
"2023/05/02","175090","3595","8281725","21540","8481950"
"2023/04/28","0","29055","1446015","1529490","3004560"
"2023/04/27","494570","0","41683990","1011020","43189580"
"2023/04/26","323800","911895","1815455","1680190","4731340"
"2023/04/25","3625","3625","19224820","1731935","20964005"
"2023/04/24","784490","0","4743415","2540635","8068540"
"2023/04/21","36265","3665","3146940","13670810","16857680"
"2023/04/20","1067125","3640","14793910","2144570","18009245"
"2023/04/19","338100","87590","3475990","900515","4802195"
"2023/04/18","2467605",,"14787795","3241680","20497080"
"2023/04/17","405340","235785","16838450","15806870","33286445"
"2023/04/14","1090310","2025010","22142860","178805","25436985"
"2023/04/13","1218295","48100","13513000","135625","14915020"
"2023/04/12","79600","41585","7271595","31105","7423885"
"2023/04/11","4957655","3430","21683700","195590","26840375"
"2023/04/10","895580","31500","4999395","21120","5947595"
"2023/04/07","11104000",,"14660080","217170","25981250"
"2023/04/06","3350285","1972385","6271000","30910","11624580"
"2023/04/05","2418930","160685","5371665","0","7951280"
"2023/04/04","2035990","133110","3597670","0","5766770"
"2023/04/03","563420","88145","6871095","228260","7750920"
"2023/03/31","56555","91725","21943205","208015","22299500"
"2023/03/30","395260","1940670","37824675","437710","40598315"
"2023/03/29","177780","75280","32217180","0","32470240"
"2023/03/28","1109895","5279340","9390590","16730","15796555"
"2023/03/27","800310","528975","2804905","0","4134190"
"2023/03/24","71495","78465","9219685","0","9369645"
"2023/03/23","412310","47650","5628370","0","6088330"
"2023/03/22","1032795","1058455","11318665","0","13409915"
"2023/03/21","306830","300750","3793975","0","4401555"
"2023/03/20","125225","3325","5665300","1130745","6924595"
"2023/03/17","2062090","0","26698745","36220","28797055"
"2023/03/16","5390210","0","18583420","6560","23980190"
"2023/03/15","3881590","6610","80700075","69415","84657690"
"2023/03/14","3722265","7003885","138702820","349350","149778320"
"2023/03/10","2706115",,"28540775","248855","31495745"
"2023/03/09","990380","3575","10340050","95315","11429320"
"2023/03/08","2389920","3625","19927495","760075","23081115"
