일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","42930740","20040","53977565","34801470","131729815"
"2023/05/03","18692930","4995","67978795","5654025","92330745"
"2023/05/02","24740865","4985","44779215","3927815","73452880"
"2023/04/28","9339040","4980","29794325","1154090","40292435"
"2023/04/27","43886875",,"28318225","4826740","77031840"
"2023/04/26","37176645","1001610","42526830","552625","81257710"
"2023/04/25","60347625","490000","157620155","87442510","305900290"
"2023/04/24","65862540","9986675","163440925","42204610","281494750"
"2023/04/21","103130505","0","72776825","7467795","183375125"
"2023/04/20","88486630","0","133374045","56902930","278763605"
"2023/04/19","75997050","1500000","113196460","19860","190713370"
"2023/04/18","60209605","15355010","90162735","27334475","193061825"
"2023/04/17","63646445","2005500","146175805","28975460","240803210"
"2023/04/14","72657380","498500","80960115","67297120","221413115"
"2023/04/13","249691670",,"122913735","31072650","403678055"
"2023/04/12","66548270","246000","98148990","12919245","177862505"
"2023/04/11","40023535","0","140069620","17301220","197394375"
"2023/04/10","26794230","9925","40045150","1208110","68057415"
"2023/04/07","71113550","0","70256550","16132980","157503080"
"2023/04/06","32631755","4975","103729850","9525930","145892510"
"2023/04/05","75752080","0","73264570","14307460","163324110"
"2023/04/04","90866380",,"49493305","12400630","152760315"
"2023/04/03","51331515","9975","46007890","16181190","113530570"
"2023/03/31","98088540","0","101443940","51320565","250853045"
"2023/03/30","46942455","3435895","84975810","8855095","144209255"
"2023/03/29","29491970","0","84156615","2078855","115727440"
"2023/03/28","80096070","0","102448870","25476940","208021880"
"2023/03/27","58645960","0","142741585","0","201387545"
"2023/03/24","29339480","5228080","80396475","133530","115097565"
"2023/03/23","57258700","764235","131904635","7661400","197588970"
"2023/03/22","50565705","44980","66340900","0","116951585"
"2023/03/21","76521960","29955","74542345","2958870","154053130"
"2023/03/20","45891330","4990","118056580","40020","163992920"
"2023/03/17","29576330","3011010","60355510","0","92942850"
"2023/03/16","33003840","753940","22670030","4740110","61167920"
"2023/03/15","57556630","0","24904600","11507790","93969020"
"2023/03/14","45953880","35230","72559640","5044930","123593680"
"2023/03/13","54329840","9979520","120088880","7214340","191612580"
"2023/03/10","24973800","0","94807850","0","119781650"
"2023/03/09","31493570","6987000","92460440","15022460","145963470"
"2023/03/08","37593420","0","128466020","4970600","171030040"
"2023/03/07","44700510","0","146488280","14218650","205407440"
"2023/03/06","90815990","0","142492490","7499850","240808330"
"2023/03/03","30240030","20660","48361040","790720","79412450"
"2023/03/02","35019120","0","60219400","1752640","96991160"
"2023/02/28","79251190","2610420","52288020","27689230","161838860"
"2023/02/27","33172010","20660","74728240","3925280","111846190"
"2023/02/24","96738940",,"83303900","21876560","201919400"
"2023/02/23","9682804530","0","32046350","0","9714850880"
"2023/02/22","9582950","512000","15957720","2762690","28815360"
"2023/02/21","41590690","696600","88095120","2507850","132890260"
"2023/02/20","24247060","5140","123346870","22072280","169671350"
"2023/02/17","51450870","15478000","120103960","7755880","194788710"
"2023/02/16","70061040","4316050","132401670","1344760","208123520"
"2023/02/15","72335110","460220","64654790","8506150","145956270"
"2023/02/14","79294300","5220","142378010","14988610","236666140"
"2023/02/13","64365580",,"146756100","5253810","216375490"
"2023/02/10","54420640",,"86761020","857880","142039540"
"2023/02/09","32710830","5340","67077070","909270","100702510"
"2023/02/08","44300880","5350","100939400","11534240","156779870"
"2023/02/07","116322310","42870","73687400","1521630","191574210"
"2023/02/06","110328520","564080","33249700","3271190","147413490"
"2023/02/03","37117250","5360","38960690","1704740","77788040"
"2023/02/02","48164510","80380","88059220","11468440","147772550"
"2023/02/01","42294480","0","27675030","1027990","70997500"
"2023/01/31","74607430","5300","140866030","15638340","231117100"
"2023/01/30","61529000","26750","117646910","20162050","199364710"
