일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","19311675","4941465","12017595","128830","36399565"
"2023/05/03","2577685","8145000","49973485","180080","60876250"
"2023/05/02","6604930","0","35438035","0","42042965"
"2023/04/28","10235930","10616275","57596725","56375","78505305"
"2023/04/27","7044070","7515","19316665","0","26368250"
"2023/04/26","8309405","286900","109046985","180725","117824015"
"2023/04/25","42691205","3785","16829760","0","59524750"
"2023/04/24","4961085","0","73646760","7555","78615400"
"2023/04/21","12538535","5677500","100662995","105725","118984755"
"2023/04/20","31096520","3780","56455255","1213970","88769525"
"2023/04/19","8864670","0","57300515","517150","66682335"
"2023/04/18","8180000","3835000","64777715","107410","76900125"
"2023/04/17","9051425","76800","15883205","0","25011430"
"2023/04/14","20889970","3835","26167415","0","47061220"
"2023/04/13","13786190","0","10410585","57375","24254150"
"2023/04/12","8672865","30710","27454130","53705","36211410"
"2023/04/11","23621720","7630","43936970","297635","67863955"
"2023/04/10","9878415","0","66410190","83325","76371930"
"2023/04/07","3268995","0","30862205","0","34131200"
"2023/04/06","2375070","0","14290115","0","16665185"
"2023/04/05","7017615","13265095","62913665","41700","83238075"
"2023/04/04","26246855","14039210","134571775","1160910","176018750"
"2023/04/03","12176340","7966760","28509815","3805","48656720"
"2023/03/31","23654510","44659600","117615315","1478495","187407920"
"2023/03/30","602475","6839150","23335345","219730","30996700"
"2023/03/29","7453260","7144975","6751550","46440","21396225"
"2023/03/28","198110","240250","20084885","0","20523245"
"2023/03/27","901920","0","31824840","0","32726760"
"2023/03/24","2507005","7408500","9555970","0","19471475"
"2023/03/23","3617305","0","20898870","0","24516175"
"2023/03/22","6085535","493340","29058425","0","35637300"
"2023/03/21","4179265","1146135","25226270","0","30551670"
"2023/03/20","5372990","659650","4043295","0","10075935"
"2023/03/17","13863220","0","16244535","0","30107755"
"2023/03/16","1666770","5263800","11551365","0","18481935"
"2023/03/15","9657080","1528450","8951125","0","20136655"
"2023/03/14","1002725","23625","44811570","0","45837920"
"2023/03/13","3993860","454720","26218485","3920","30670985"
