일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","72757760","2086510","54280335","418655","129543260"
"2023/05/03","8234150","537350","56844790","2999335","68615625"
"2023/05/02","5143085","800515","25685900","4570025","36199525"
"2023/04/28","43108040","804370","55463150","344895","99720455"
"2023/04/27","25108165","799845","34833495","0","60741505"
"2023/04/26","81712860","2031720","20086685","6064105","109895370"
"2023/04/25","4670040","804960","26707310","0","32182310"
"2023/04/24","128210585","797460","107078690","19765640","255852375"
"2023/04/21","62357665","2232790","22758615","17760520","105109590"
"2023/04/20","82550175","805235","14477285","38600045","136432740"
"2023/04/19","59588850","5692750","52596570","3866950","121745120"
"2023/04/18","68149150","2248825","218151125","33455630","322004730"
"2023/04/17","50826305","2423075","23454530","32990630","109694540"
"2023/04/14","57066000","802680","59646750","38388725","155904155"
"2023/04/13","26566010","807025","19474100","0","46847135"
"2023/04/12","75410305","800545","47731445","230250","124172545"
"2023/04/11","48394235","4069395","39899285","18383195","110746110"
"2023/04/10","10430430","4035190","122004980","0","136470600"
"2023/04/07","50073265","2019385","22301865","17623660","92018175"
"2023/04/06","65249630","1824845","34305090","582815","101962380"
"2023/04/05","258867085","3026985","43534150","13020075","318448295"
"2023/04/04","8639890","420485","24701890","15143185","48905450"
"2023/04/03","24848720","9874220","33412690","60509695","128645325"
"2023/03/31","20931020","0","74350025","4541460","99822505"
"2023/03/30","8640935","4450","50732955","1343965","60722305"
"2023/03/29","15701185","0","79859390","0","95560575"
"2023/03/28","50397925","685620","48925700","19055300","119064545"
"2023/03/27","89267085","5493510","158301855","1965660","255028110"
"2023/03/24","5280500","781805","77756825","48895","83868025"
"2023/03/23","47066010","2255370","76832675","28082815","154236870"
"2023/03/22","20283925","10185770","40707325","68345","71245365"
"2023/03/21","11500575","1050385","48590655","459000","61600615"
"2023/03/20","15073430","59463675","253272830","18572420","346382355"
"2023/03/17","37730695","613460","95440380","1929920","135714455"
"2023/03/16","24399090","305915","54979615","8938955","88623575"
"2023/03/15","22817690","1990000","13391635","5001850","43201175"
"2023/03/14","56348860","1234875","93481195","12362185","163427115"
"2023/03/13","22808205","916880","60171285","1579390","85475760"
"2023/03/10","10840860","605120","27039135","0","38485115"
"2023/03/09","5906630","691980","23420560","0","30019170"
"2023/03/08","52478990","786125","16490790","0","69755905"
"2023/03/07","65454555","5328185","52056920","13635500","136475160"
"2023/03/06","85831815","569815","89857480","2595720","178854830"
"2023/03/03","57209685","14270","33200925","15838350","106263230"
"2023/03/02","90398470","2292605","180394255","1102850","274188180"
"2023/02/28","4476345","755665","24933005","0","30165015"
"2023/02/27","18470880","1241990","105025160","9933690","134671720"
"2023/02/24","31061720","5932590","296899860","9626670","343520840"
"2023/02/23","849110","678450","171183700","17684120","190395380"
"2023/02/22","3466870","678150","84857630","0","89002650"
"2023/02/21","46000330","1305800","77701580","0","125007710"
"2023/02/20","26690310","702700","64500990","1450780","93344780"
"2023/02/17","19324620","603600","118937960","59452410","198318590"
"2023/02/16","15833120","624340","46281940","4931700","67671100"
"2023/02/15","35448295","461840","121896965","355090","158162190"
"2023/02/14","14289290","20080","124214580","6138450","144662400"
"2023/02/13","37375840","20120","118358035","3978740","159732735"
"2023/02/10","21291150","20080","33192980","5050","54509260"
"2023/02/09","15097470","5010","125221010","3486820","143810310"
"2023/02/08","30111560","781200","59313000","15743620","105949380"
"2023/02/07","15380430","0","66025690","4865910","86272030"
"2023/02/06","31251880","5040","34193310","934250","66384480"
"2023/02/03","77065760","5060","171793690","13259310","262123820"
"2023/02/02","39337640","1049180","37733160","17838280","95958260"
"2023/02/01","61206985",,"68809320","2049595","132065900"
"2023/01/31","54076520","253995","121648565","11605325","187584405"
"2023/01/30","50889890","7329320","116059685","22479920","196758815"
"2023/01/27","4077350","10135180","149377100","5922150","169511780"
"2023/01/26","13995380","207770","110089110","0","124292260"
"2023/01/25","16867600","508400","170817240","20712160","208905400"
"2023/01/20","55966480","1962850","140251500","47548950","245729780"
"2023/01/19","17157610","16774690","59932110","4845720","98710130"
"2023/01/18","88919810","24665000","150112850","42747345","306445005"
"2023/01/17","83776600","54464220","53663100","20049690","211953610"
"2023/01/16","190223595","3519975","306174255","34832610","534750435"
"2023/01/13","87821125","2012000","102821505","38321790","230976420"
"2023/01/12","161973205","2008000","72869205","28106395","264956805"
"2023/01/11","71097270","1997990","39619360","5331270","118045890"
"2023/01/10","51222935","2621250","75581265","2308740","131734190"
"2023/01/09","46248995","2019835","87782310","21245325","157296465"
"2023/01/06","138875805","2010000","27015365","875080","168776250"
"2023/01/05","227879775","2005605","48955400","18289155","297129935"
"2023/01/04","53884015","1954840","48905205","11628055","116372115"
"2023/01/03","28818760","1951830","80491705","1879300","113141595"
"2023/01/02","48105505","1944855","89362655","587990","140001005"
"2022/12/29","69772455","1956205","24562710","2060660","98352030"
"2022/12/28","101590700","1924795","34523360","2890085","140928940"
"2022/12/27","19790200","1903000","30614755","376040","52683995"
"2022/12/26","39123120","1909500","17993430","1272155","60298205"
"2022/12/23","64729615","1889490","56516670","13852170","136987945"
"2022/12/22","49564275","1884670","25327085","11781015","88557045"
"2022/12/21","36718800","1872670","52412990","7164765","98169225"
