일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","395787290","8739275","635429895","41554645","1081511105"
"2023/05/03","189761985","187685725","768623730","35198270","1181269710"
"2023/05/02","124247715","428864450","844395310","30705765","1428213240"
"2023/04/28","114389795","96564705","489434845","405341385","1105730730"
"2023/04/27","212977995","335813580","354686545","137249090","1040727210"
"2023/04/26","188346730","86325925","752993890","208660815","1236327360"
"2023/04/25","154693010","454170","952648665","95605570","1203401415"
"2023/04/24","408457360","67527565","936737605","10529200","1423251730"
"2023/04/21","428761600","836605","1397493675","9406925","1836498805"
"2023/04/20","277563095","8820","866660890","192582590","1336815395"
"2023/04/19","352255485","976705","1041061205","72586165","1466879560"
"2023/04/18","262319440","20511835","875468895","370952650","1529252820"
"2023/04/17","332685185","1561385","536098920","225015485","1095360975"
"2023/04/14","305480350","163070735","1104856970","872671655","2446079710"
"2023/04/13","336934355","0","781547790","149814020","1268296165"
"2023/04/12","206738360","78822620","406981450","96590665","789133095"
"2023/04/11","309265760","91430000","547986835","142529530","1091212125"
"2023/04/10","332965015","44775770","689075950","50199365","1117016100"
"2023/04/07","96687685","31947800","310209075","56638760","495483320"
"2023/04/06","313067140","96250","370464210","57475990","741103590"
"2023/04/05","443965350","44389430","498483875","21867820","1008706475"
"2023/04/04","202252205","61234335","333654130","323377755","920518425"
"2023/04/03","489361565","37471850","335462485","205330345","1067626245"
"2023/03/31","587185520","7349635","407532415","333322390","1335389960"
"2023/03/30","291623375","21429295","518524580","36108110","867685360"
"2023/03/29","348392205","55819250","345703365","6147495","756062315"
"2023/03/28","145097750","52649470","627508575","197297680","1022553475"
"2023/03/27","481164695","372053460","1496626090","165196320","2515040565"
"2023/03/24","92456075","0","646937635","56679855","796073565"
"2023/03/23","223568465","64527500","749983205","154558710","1192637880"
"2023/03/22","453189495","44542040","827602210","1716905","1327050650"
"2023/03/21","298536530","32650420","814765000","146999910","1292951860"
"2023/03/20","123115410","88740000","645937795","38092145","895885350"
"2023/03/17","280714705","167269895","408987515","627543280","1484515395"
"2023/03/16","196446040","164812630","222030765","52666855","635956290"
"2023/03/15","226954680","356601465","406038775","46018645","1035613565"
