일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1147136","0","30906369","6341554","38395059"
"2023/05/03","601132","0","67072343","12231897","79905372"
"2023/05/02","341042","35168","38943437","6825724","46145371"
"2023/04/28","3634532","1007","67859165","940398","72435102"
"2023/04/27","14612634","0","128775710","12890235","156278579"
"2023/04/26","7776572","7656956","115778538","10739343","141951409"
"2023/04/25","452236","306416000","87484816","7895694","402248746"
"2023/04/24","2239456","5100100","98262387","9045","105610988"
"2023/04/21","14775528","2003","117408569","337204","132523304"
"2023/04/20","6419343","0","99401705","2085119","107906167"
"2023/04/19","13190029","0","559964999","31724792","604879820"
"2023/04/18","6663301","675006731","219323513","3041462","904035007"
"2023/04/17","50324160","0","233225641","11619345","295169146"
"2023/04/14","1092800","17898414","169632397","3196333","191819944"
"2023/04/13","1246064","0","78525702","1552424","81324190"
"2023/04/12","18783111","0","54827030","2190015","75800156"
"2023/04/11","5364047","0","96319448","1098454","102781949"
"2023/04/10","23213244","0","84236826","58743","107508813"
"2023/04/07","220820","91100","65347774","1636210","67295904"
"2023/04/06","3073198","0","112191766","0","115264964"
"2023/04/05","2058170","0","74851863","22625","76932658"
"2023/04/04","1638924","0","48905057","962446","51506427"
"2023/04/03","354205","499359","41646400","370716","42870680"
"2023/03/31","893948","0","250866728","1837064","253597740"
"2023/03/30","1123847","0","59841864","1299281","62264992"
"2023/03/29","425247","0","77613170","2037980","80076397"
"2023/03/28","576800","895","28880485","0","29458180"
"2023/03/27","7627727","0","37981006","305866","45914599"
"2023/03/24","411179","892","124469089","252206","125133366"
"2023/03/23","28497478","0","68779282","0","97276760"
"2023/03/22","5986566","0","30427212","10703","36424481"
"2023/03/21","563428","897","24392490","57408","25014223"
"2023/03/20","3621434","897","33309739","162890","37094960"
"2023/03/17","3749738","2716","39065564","0","42818018"
"2023/03/16","6935162","0","71621338","0","78556500"
"2023/03/15","21696728","903","51004320","7186","72709137"
"2023/03/14","1594109","7127","114978607","578438","117158281"
"2023/03/13","3053150","1771","101165351","30940","104251212"
"2023/03/10","671974","0","44113666","125912","44911552"
"2023/03/09","6287721","7161","111245764","3341375","120882021"
"2023/03/08","1312060","0","66615155","181866","68109081"
"2023/03/07","10018452","1753","87376363","102541","97499109"
"2023/03/06","411939","869","65962269","0","66375077"
"2023/03/03","704810","0","34936190","876","35641876"
"2023/03/02","4260228","501075","34041155","1749","38804207"
"2023/02/28","380850","2624","18469592","0","18853066"
"2023/02/27","3493961","873","52551537","180334","56226705"
"2023/02/24","4172362","0","43082370","0","47254732"
"2023/02/23","2676704","0","68103066","112553","70892323"
"2023/02/22","488956","882","101206507","323327","102019672"
"2023/02/21","482794","0","26234882","0","26717676"
"2023/02/20","18378065","7066","32011377","20263","50416771"
"2023/02/17","2639162","0","21179775","32634","23851571"
"2023/02/16","4975690","3539","22514172","0","27493401"
"2023/02/15","2807422","882","46820232","0","49628536"
"2023/02/14","118961","1777","24321300","887","24442925"
"2023/02/13","2152893","0","60758387","302555","63213835"
"2023/02/10","689941","892","32499591","1786","33192210"
"2023/02/09","543613","1800","46621512","34944","47201869"
"2023/02/08","841584","0","52159812","1194510","54195906"
"2023/02/07","238072","0","14030759","1861633","16130464"
"2023/02/06","4671232","3609","25873383","1641336","32189560"
"2023/02/03","3992831","1801","102809651","2164001","108968284"
"2023/02/02","21248517","32508","115026114","407627","136714766"
"2023/02/01","409351","999474","75081083","134959","76624867"
"2023/01/31","226702","0","16810065","46799","17083566"
"2023/01/30","1414559","0","26441845","134046","27990450"
"2023/01/27","2229775","910","38109155","0","40339840"
"2023/01/26","5020216","0","32369888","15393","37405497"
"2023/01/25","953054","0","19834709","221840","21009603"
"2023/01/20","39850858","14283","20851941","563316","61280398"
"2023/01/19","867780","0","10009921","5047882","15925583"
"2023/01/18","5820364","0","17237493","1260359","24318216"
"2023/01/17","570209","1797","59122827","3551658","63246491"
"2023/01/16","12536956","5348","81224971","1745581","95512856"
"2023/01/13","1487687","6205","34612069","1937669","38043630"
"2023/01/12","5673831","890","17141060","5354378","28170159"
"2023/01/11","4083242","6247","57830629","3991939","65912057"
"2023/01/10","1038170","3579","26239353","1303377","28584479"
"2023/01/09","3541165","3541","24476682","7390822","35412210"
"2023/01/06","1456733","1753261","64867918","716028","68793940"
"2023/01/05","10528030","5218","33687626","1090290","45311164"
"2023/01/04","1252404","6954","28346051","313602","29919011"
"2023/01/03","3695849","10381734","18698785","381842","33158210"
"2023/01/02","5270925","885","12243914","33474","17549198"
"2022/12/29","9507136","0","103724476","711723","113943335"
"2022/12/28","11442841","910","139029397","773133","151246281"
"2022/12/27","1893697","2004800","133902044","490206","138290747"
"2022/12/26","2648460","8169399","67650836","1214869","79683564"
"2022/12/23","1575808","2283408","19075687","0","22934903"
"2022/12/22","580403","954","23686795","0","24268152"
"2022/12/21","254077","1702904","10557802","168504","12683287"
"2022/12/20","329797","7445292","23459258","235274","31469621"
"2022/12/19","10965091","61736","41796049","29403","52852279"
"2022/12/16","5048180","0","72611945","2224645","79884770"
"2022/12/15","5044456","0","40078698","0","45123154"
"2022/12/14","5018136","0","16135080","0","21153216"
"2022/12/13","135933","2766500","37687728","1902","40592063"
"2022/12/12","388343","0","49205198","551865","50145406"
"2022/12/09","1340948","0","28628721","9480","29979149"
"2022/12/08","377394","0","24051106","953","24429453"
