일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","138659925","32725450","273741600","66141435","511268410"
"2023/05/03","77479820","9583500","66201885","3290340","156555545"
"2023/05/02","36392600","11020960","69239255","12064465","128717280"
"2023/04/28","49023185","23103000","119506730","5690020","197322935"
"2023/04/27","51988955","14705105","82661460","0","149355520"
"2023/04/26","38446810","15398320","110832455","6579420","171257005"
"2023/04/25","26754705","37908375","132000550","4513285","201176915"
"2023/04/24","64112505","38209470","205009400","78249515","385580890"
"2023/04/21","104440730","1638145","235812840","96956905","438848620"
"2023/04/20","60848975","1798960","103627755","28869895","195145585"
"2023/04/19","168659525","21186400","393460795","177570070","760876790"
"2023/04/18","112779865","11004610","209166090","74104475","407055040"
"2023/04/17","167252805","12313715","155273960","46534900","381375380"
"2023/04/14","96732600","10145710","302462225","192088395","601428930"
"2023/04/13","233289540","2211670","165909880","149051930","550463020"
"2023/04/12","247931950","36660010","210346090","300976410","795914460"
"2023/04/11","77591585","43023250","290558775","163483350","574656960"
"2023/04/10","151065950","1620425","426314050","97807655","676808080"
"2023/04/07","76704985","22471560","486942725","78152930","664272200"
"2023/04/06","168787915","3777785","332273900","117112260","621951860"
"2023/04/05","236108410","19323695","362396815","122579570","740408490"
"2023/04/04","32203700","4024680","45999435","679315","82907130"
"2023/04/03","38618685","2537350","92752205","32150960","166059200"
"2023/03/31","54789555","0","114665050","61189450","230644055"
"2023/03/30","49014030","261600","77227395","61146135","187649160"
"2023/03/29","89368085","0","148962410","7848615","246179110"
"2023/03/28","155181295","725370","141804905","166307725","464019295"
"2023/03/27","52066400","1805315","416218285","12175655","482265655"
"2023/03/24","52983495","0","123554885","807975","177346355"
"2023/03/23","64398970","427000","111745815","4280","176576065"
"2023/03/22","22409800","172300","60481640","499380","83563120"
"2023/03/21","34327540","572155","43060495","10711480","88671670"
"2023/03/20","45804760","7034900","59307005","3513280","115659945"
"2023/03/17","20290485","0","50013915","16671190","86975590"
"2023/03/16","79790745","2569000","91805810","11184300","185349855"
"2023/03/15","96326960","1182920","495426865","28378985","621315730"
"2023/03/14","78275210","26680000","110348890","305775","215609875"
"2023/03/13","82901230","0","46023790","231655","129156675"
