일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","316190370","1535050","165358390","46867990","529951800"
"2023/05/03","160799830","16526670","77057250","17940230","272323980"
"2023/05/02","243018800","12291170","114375140","58691560","428376670"
"2023/04/28","265776430","3252300","63757650","26048120","358834500"
"2023/04/27","166359560","1502130","166524110","38668820","373054620"
"2023/04/26","112787330","8491460","161987100","204399300","487665190"
"2023/04/25","306256035","1658910","98665190","134737575","541317710"
"2023/04/24","241739425","11092855","338961175","28753740","620547195"
"2023/04/21","221887990","4718490","88982650","40787850","356376980"
"2023/04/20","249783610","1719240","130413270","128783410","510699530"
"2023/04/19","188361920","4146430","133463010","37520170","363491530"
"2023/04/18","253603140","3049230","147380300","25033580","429066250"
"2023/04/17","219316660","3017400","144661470","33208730","400204260"
"2023/04/14","202247150","29311780","286655940","176819540","695034410"
"2023/04/13","225142715","54285120","60239955","84669800","424337590"
"2023/04/12","177780130","2144440","137052030","52980930","369957530"
"2023/04/11","165191395","1883635","127048465","718455","294841950"
"2023/04/10","80708050","1639760","114038420","14975","196401205"
"2023/04/07","193685010","1504770","141554480","181080","336925340"
"2023/04/06","88157080","1575460","59190340","13984950","162907830"
"2023/04/05","188492190","1503360","56334900","135310","246465760"
"2023/04/04","100033915","2995960","116997500","107730080","327757455"
"2023/04/03","72266535","1901730","70937460","3672545","148778270"
"2023/03/31","107244420","448725","57991885","8453530","174138560"
"2023/03/30","44989415","296400","147967175","5089340","198342330"
"2023/03/29","75306790","293850","322006760","84750490","482357890"
"2023/03/28","90753275","1909415","63404350","10712505","166779545"
"2023/03/27","259634010","1678105","110937080","26978375","399227570"
"2023/03/24","38245290","1629360","35611670","18019260","93505580"
"2023/03/23","93257010","1503960","149659600","26806190","271226760"
"2023/03/22","96580860","1691140","89784990","4078410","192135400"
"2023/03/21","91435900","1576150","52225970","749710","145987730"
"2023/03/20","68556885","15751440","55140360","16412760","155861445"
"2023/03/17","87307930","16567530","36883600","4172450","144931510"
"2023/03/16","99339460","1589680","77680725","56591165","235201030"
"2023/03/15","124890290","1505170","52657400","63126855","242179715"
"2023/03/14","123208035","3494990","182263505","12136960","321103490"
"2023/03/13","122794580","1705160","134905400","26014730","285419870"
"2023/03/10","112629620","1715120","44825400","15184060","174354200"
"2023/03/09","68850260","4664880","111801970","21166780","206483890"
"2023/03/08","54522430","1714070","43364530","10120","99611150"
"2023/03/07","67484130","1823700","102901260","9239730","181448820"
"2023/03/06","49964340","2519860","61776240","1502690","115763130"
"2023/03/03","48913860","1411000","67699680","5816940","123841480"
"2023/03/02","37187120","2824970","147506980","80750810","268269880"
"2023/02/28","68923530","1912700","57966820","16802500","145605550"
"2023/02/27","63523160","3238080","56148580","9210700","132120520"
"2023/02/24","125913830","1879030","69275640","6237640","203306140"
"2023/02/23","149254010","2025130","50148380","6327000","207754520"
"2023/02/22","115654390","1503680","38839040","675520","156672630"
"2023/02/21","114691310","1538050","78410860","16177730","210817950"
"2023/02/20","160671980","10090800","145810230","36658130","353231140"
"2023/02/17","70689090","9496690","81378160","4638870","166202810"
"2023/02/16","91103000","26809920","162386520","42663990","322963430"
"2023/02/15","73438790","14885550","27764200","1857570","117946110"
"2023/02/14","64177770","83350","136930590","18604390","219796100"
"2023/02/13","95763410","2471360","58468280","26527870","183230920"
"2023/02/10","76302470","108250","146581830","14302750","237295300"
"2023/02/09","89023570","0","267326910","546200","356896680"
"2023/02/08","114988480","0","107127990","21766720","243883190"
"2023/02/07","94381260","31340","52528510","10764760","157705870"
"2023/02/06","118134930","5307770","58557690","1516900","183517290"
"2023/02/03","22184900","1021360","34875190","0","58081450"
"2023/02/02","145576130","52910","94629600","40986470","281245110"
"2023/02/01","77089830",,"151791190","1646380","230527400"
"2023/01/31","91683660","20980","131703720","2572720","225981080"
"2023/01/30","141962370","96860","69607060","1103310","212769600"
"2023/01/27","110372470","669590","121777420","55878760","288698240"
"2023/01/26","198800110","0","77267130","44126520","320193760"
"2023/01/25","80682270","0","117293700","5107160","203083130"
"2023/01/20","254160120","359180","365810770","78354670","698684740"
"2023/01/19","121888560","2744000","33109100","3005270","160746930"
"2023/01/18","269002800","2737480","113730110","18495390","403965780"
"2023/01/17","308426960","2740930","44469250","187774570","543411710"
"2023/01/16","191728480","2709360","120896210","33519200","348853250"
"2023/01/13","160548870","2706770","24860700","3931320","192047660"
"2023/01/12","162624250","2693390","141189720","42568360","349075720"
"2023/01/11","59258650","2700370","68818460","3930520","134708000"
"2023/01/10","77668590","2702000","56236620","3317950","139925160"
"2023/01/09","157198040","27778360","101360740","172800","286509940"
"2023/01/06","251589320","2699350","35137880","19176510","308603060"
"2023/01/05","152302920","2706280","49952370","46924190","251885760"
"2023/01/04","133795590","14655000","66071430","15745910","230267930"
"2023/01/03","316967270","2704720","44906150","15464050","380042190"
"2023/01/02","201711670","2712800","48489800","31574450","284488720"
