일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","7698784700","67171300","1233243975","102801530","9102001505"
"2023/05/03","114216435","0","104526305","17517775","236260515"
"2023/05/02","262985480","250500","75177580","19190260","357603820"
"2023/04/28","149890040","1024500","148135670","47734300","346784510"
"2023/04/27","435259870","461970","34492890","14309050","484523780"
"2023/04/26","606639990","0","188258770","49214230","844112990"
"2023/04/25","2104665420","12130280","291347010","176993590","2585136300"
"2023/04/24","1115949240","940940","230356920","62299060","1409546160"
"2023/04/21","1778920040","0","295539380","62996250","2137455670"
"2023/04/20","1402267845","0","123019755","134134875","1659422475"
"2023/04/19","36389285","232385","198717885","52486385","287825940"
"2023/04/18","113940080","29103125","181839980","65400570","390283755"
"2023/04/17","401816995","401650","221256895","16552070","640027610"
"2023/04/14","705921630","0","194597400","13102770","913621800"
"2023/04/13","1161357095","298600","63469325","43347705","1268472725"
"2023/04/12","441154645","0","124904670","49978480","616037795"
"2023/04/11","795166760","4920","57146100","9131450","861449230"
"2023/04/10","620789375","0","188871760","43665550","853326685"
"2023/04/07","331489025","0","115719625","20339100","467547750"
"2023/04/06","1679860880","0","627265455","199915260","2507041595"
"2023/04/05","1681202780","79077820","331578365","187099435","2278958400"
"2023/04/04","613706780","0","440069735","76257700","1130034215"
"2023/04/03","565547605","888110","445351965","233255975","1245043655"
"2023/03/31","403556630","378125","470997945","48525730","923458430"
"2023/03/30","388026590","6099125","407384120","48874995","850384830"
"2023/03/29","1049141120","5422550","889439385","25404635","1969407690"
"2023/03/28","1254988480","28338530","1836996235","42346705","3162669950"
"2023/03/27","5169172765","189245070","7606923215","20643950","12985985000"
