일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","47751","38249","47675","63443","197118"
"2023/05/03","74100","17939","89033","13595","194667"
"2023/05/02","28824","9770","39279","17632","95505"
"2023/04/28","62240","20010","72559","138851","293660"
"2023/04/27","65641","200","99029","42135","207005"
"2023/04/26","56822","1187","43745","41719","143473"
"2023/04/25","107685","12143","147929","74685","342442"
"2023/04/24","71944","7210","211471","63363","353988"
"2023/04/21","64556","151","156220","27331","248258"
"2023/04/20","71664","26238","119675","76755","294332"
"2023/04/19","118871","34387","149637","10030","312925"
"2023/04/18","73656","26591","49374","18365","167986"
"2023/04/17","89067","34312","62146","22554","208079"
"2023/04/14","43921","25278","63005","34462","166666"
"2023/04/13","60605","1","31206","16307","108119"
"2023/04/12","87089","572","127794","5887","221342"
"2023/04/11","71429","1300","116009","19870","208608"
"2023/04/10","23695","24201","53164","9729","110789"
"2023/04/07","94406","1001","35993","9764","141164"
"2023/04/06","71217","1001","63776","42433","178427"
"2023/04/05","90327","154","35026","19281","144788"
"2023/04/04","69010","5566","58039","32991","165606"
"2023/04/03","96179","103","43753","40910","180945"
"2023/03/31","83538","0","39042","59862","182442"
"2023/03/30","18472","101","41533","127287","187393"
"2023/03/29","37300",,"32141","10944","80385"
"2023/03/28","48026","180","35352","65742","149300"
"2023/03/27","93104","108","60476","30260","183948"
"2023/03/24","24854","110","57208","41886","124058"
"2023/03/23","69621","6161","110318","129428","315528"
"2023/03/22","59149","2503","102553","11488","175693"
"2023/03/21","66554","122","52216","24677","143569"
"2023/03/20","56438","3452","113871","41759","215520"
"2023/03/17","69913","2053","133370","311448","516784"
"2023/03/16","63401","105","34856","23038","121400"
"2023/03/15","91144","106","41193","31227","163670"
"2023/03/14","55192","5356","108565","37005","206118"
"2023/03/13","47708","544","69514","46183","163949"
"2023/03/10","91910","6307","94483","90713","283413"
"2023/03/09","69202","12265","182089","63220","326776"
"2023/03/08","60598","1186","108622","15853","186259"
"2023/03/07","81492","217","88428","10485","180622"
"2023/03/06","75133","811","62198","23262","161404"
"2023/03/03","43716","473","83575","36538","164302"
"2023/03/02","52747","2195","135230","17091","207263"
"2023/02/28","63294","13221","73784","60175","210474"
"2023/02/27","37738","132","15137","25164","78171"
"2023/02/24","76976","127","39321","23730","140154"
"2023/02/23","37002","2915","111446","10104","161467"
"2023/02/22","25048","98","84579","9682","119407"
"2023/02/21","25726","97","62855","23654","112332"
"2023/02/20","17471","96","46476","37632","101675"
"2023/02/17","14084","16750","60678","50926","142438"
"2023/02/16","24007","97","49644","48460","122208"
"2023/02/15","29379","11","47461","45170","122021"
"2023/02/14","24652","4003","40273","20866","89794"
"2023/02/13","37007","101","126630","37128","200866"
"2023/02/10","25446","0","108652","107005","241103"
"2023/02/09","45563","0","80678","46928","173169"
"2023/02/08","31802","2500","44516","46742","125560"
"2023/02/07","26300","3517","54194","49465","133476"
"2023/02/06","63370","106","75324","204110","342910"
"2023/02/03","45071","5503","115045","243473","409092"
"2023/02/02","40006","4","79878","39862","159750"
"2023/02/01","57619","100","83691","198446","339856"
"2023/01/31","46405","54","177774","24072","248305"
"2023/01/30","34387","4051","120462","225702","384602"
"2023/01/27","80063","7400","119326","160051","366840"
"2023/01/26","58930","16587","57881","108606","242004"
"2023/01/25","88578","7431","131123","76590","303722"
"2023/01/20","105664","101","57006","29369","192140"
"2023/01/19","169372","371","44887","7075","221705"
"2023/01/18","183790","370","57016","273082","514258"
"2023/01/17","147593","370","58464","111998","318425"
"2023/01/16","205536","2370","88712","72946","369564"
"2023/01/13","101029","370","37766","82630","221795"
"2023/01/12","71292","470","43548","162736","278046"
"2023/01/11","65384","371","46825","9690","122270"
"2023/01/10","49605","2671","31528","13750","97554"
"2023/01/09","122078","370","46572","13928","182948"
"2023/01/06","144228","370","68722","50209","263529"
"2023/01/05","83278","371","46221","31279","161149"
"2023/01/04","11818","370","28805","52426","93419"
"2023/01/03","50163","664","55019","9131","114977"
"2023/01/02","43056","376","19557","8478","71467"
"2022/12/29","121953","200290","105886","23871","452000"
"2022/12/28","63024","201712","66406","34735","365877"
"2022/12/27","68698","547","144284","7357","220886"
"2022/12/26","72913","139938","49030","15742","277623"
"2022/12/23","167212","2255","33550","23699","226716"
"2022/12/22","141302","3270","47111","109918","301601"
"2022/12/21","107266","2381","62209","41804","213660"
"2022/12/20","98160","409","78502","6290","183361"
"2022/12/19","69810","78","65884","18177","153949"
"2022/12/16","127015","5001","42867","129747","304630"
"2022/12/15","89195","57677","39092","34559","220523"
"2022/12/14","133759","1","30767","62462","226989"
"2022/12/13","131426","3112","100706","156217","391461"
"2022/12/12","87613","3399","74941","38110","204063"
"2022/12/09","93866","1700","77198","168721","341485"
"2022/12/08","68670","243","65155","38253","172321"
"2022/12/07","31251","92688","96425","27725","248089"
"2022/12/06","87136","302","66134","21080","174652"
"2022/12/05","116762","1008","51702","59050","228522"
"2022/12/02","119614","51725","68391","29744","269474"
"2022/12/01","71026","3011","61156","56020","191213"
"2022/11/30","68921","54268","158323","37853","319365"
"2022/11/29","135906","4813","52008","46588","239315"
"2022/11/28","47231","155727","100203","54339","357500"
"2022/11/25","37599","153003","90873","41920","323395"
"2022/11/24","93313","152407","95287","13775","354782"
"2022/11/23","29825","155203","104623","32721","322372"
"2022/11/22","48772","153308","68588","33192","303860"
"2022/11/21","87412","150890","117570","27947","383819"
"2022/11/18","42836","126485","63627","260501","493449"
"2022/11/17","75956","131880","88274","81395","377505"
"2022/11/16","80002","142450","79744","144220","446416"
"2022/11/15","116639","109384","187196","42312","455531"
"2022/11/14","58492","100000","206709","288383","653584"
"2022/11/11","176058","1803","185236","267701","630798"
"2022/11/10","64161","6100","116106","239589","425956"
"2022/11/09","30817",,"65240","257396","353453"
"2022/11/08","93685","27","144863","196028","434603"
"2022/11/07","80440","101","109150","164033","353724"
"2022/11/04","137416","3001","115469","96801","352687"
"2022/11/03","329699","29094","123233","93096","575122"
"2022/11/02","322527","2000","131606","83031","539164"
"2022/11/01","141707","15184","135956","93012","385859"
"2022/10/31","196902","2458","198036","50069","447465"
"2022/10/28","146465","7457","141789","268436","564147"
"2022/10/27","152289","5712","219397","325179","702577"
"2022/10/26","170579","7408","144389","167820","490196"
"2022/10/25","121880","0","126609","78413","326902"
"2022/10/24","211143","12906","264151","127674","615874"
"2022/10/21","273684","5696","653734","458542","1391656"
"2022/10/20","75733","6576","512943","241952","837204"
"2022/10/19","133007","177","273288","221389","627861"
"2022/10/18","119245","5224","266073","238168","628710"
"2022/10/17","88975","0","181585","169437","439997"
"2022/10/14","126918","5144","161571","92175","385808"
"2022/10/13","45035","7107","131039","46592","229773"
"2022/10/12","39313","8100","65547","20325","133285"
"2022/10/11","90313","18285","183574","35648","327820"
"2022/10/07","37030","9568","53395","20534","120527"
"2022/10/06","24402","7700","51551","29109","112762"
"2022/10/05","15521","8601","28076","15341","67539"
"2022/10/04","41768","19","42631","556493","640911"
"2022/09/30","7441","101","27448","216502","251492"
"2022/09/29","19403","0","19693","16420","55516"
"2022/09/28","12695","14012","60445","24739","111891"
"2022/09/27","37895","0","21570","32639","92104"
"2022/09/26","34536","36700","29332","101320","201888"
"2022/09/23","11884","6046","19224","9571","46725"
"2022/09/22","35799","23826","8862","12555","81042"
"2022/09/21","52717","20149","11479","56043","140388"
"2022/09/20","83241","30000","3386","46354","162981"
"2022/09/19","64308","30400","20291","45830","160829"
"2022/09/16","35059","0","13286","621079","669424"
"2022/09/15","4468","0","13895","71901","90264"
"2022/09/14","68293","0","12466","73376","154135"
"2022/09/13","54586","48","11169","103145","168948"
"2022/09/08","9545","2486","18071","122608","152710"
"2022/09/07","20569","10000","16532","33034","80135"
"2022/09/06","18784","100","14226","91170","124280"
"2022/09/05","12386","3000","10450","14029","39865"
"2022/09/02","3474","100","18079","118871","140524"
"2022/09/01","11464","1","9515","99198","120178"
"2022/08/31","20471","0","9711","46235","76417"
"2022/08/30","38750","0","14319","16923","69992"
"2022/08/29","5269","5771","9637","126283","146960"
"2022/08/26","6178","3129","11171","33756","54234"
