일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","25998","2493","4006","5056","37553"
"2023/05/03","18946","30","10615","1","29592"
"2023/05/02","8518","668","11746","1","20933"
"2023/04/28","3102",,"18817","1466","23385"
"2023/04/27","12408","265","13358","2255","28286"
"2023/04/26","14826","69","7807","2","22704"
"2023/04/25","17498","16045","62419","6880","102842"
"2023/04/24","18347",,"33307","11704","63358"
"2023/04/21","36967","9","9129","12373","58478"
"2023/04/20","27603","250","29183","12413","69449"
"2023/04/19","22482",,"26977","1182","50641"
"2023/04/18","25673","4300","28586","1758","60317"
"2023/04/17","27584",,"16565","2071","46220"
"2023/04/14","13804","25678","30887","16652","87021"
"2023/04/13","8898","4322","23004","1255","37479"
"2023/04/12","16827","13132","19021","641","49621"
"2023/04/11","8686","6300","11316","1","26303"
"2023/04/10","7692","5013","20870","860","34435"
"2023/04/07","6445","5000","18948","483","30876"
"2023/04/06","15035","191","31217","714","47157"
"2023/04/05","19524","3887","8115","1536","33062"
"2023/04/04","6571","18189","5136","1","29897"
"2023/04/03","12532","4500","3440","10675","31147"
"2023/03/31","25106","4960","35874","15089","81029"
"2023/03/30","9640","7082","29660","5689","52071"
"2023/03/29","4272","3775","9427","1738","19212"
"2023/03/28","5952","4857","8399","845","20053"
"2023/03/27","16860","13030","33073","0","62963"
"2023/03/24","4638","100","10280","2703","17721"
"2023/03/23","7822","7000","15193","805","30820"
"2023/03/22","16240","3052","15533","841","35666"
"2023/03/21","10613","9","11994","571","23187"
"2023/03/20","2610","0","9801","27","12438"
"2023/03/17","7366","1000","8954","408","17728"
"2023/03/16","20547","8397","8047","1894","38885"
"2023/03/15","18974","360","13819","3758","36911"
"2023/03/14","10412","40589","19638","3797","74436"
"2023/03/13","11362","5222","44367","3740","64691"
"2023/03/10","28750","4051","19882","2247","54930"
"2023/03/09","8130","0","5711","1042","14883"
"2023/03/08","14502","0","7567","2521","24590"
"2023/03/07","12290","0","8921","2419","23630"
"2023/03/06","17890",,"17722","941","36553"
"2023/03/03","6723","200","7753","1","14677"
"2023/03/02","19788","119","13982","1993","35882"
"2023/02/28","16990","252","15198","475","32915"
"2023/02/27","14277","175","33208","19633","67293"
"2023/02/24","23211",,"21318","5237","49766"
"2023/02/23","21729","323","22164","1469","45685"
"2023/02/22","8453",,"23416","1","31870"
"2023/02/21","15540",,"14132","1","29673"
"2023/02/20","8541",,"29043","7","37591"
"2023/02/17","2265","2","17102","3","19372"
"2023/02/16","5781","4","20952","656","27393"
"2023/02/15","15777","10","26075","30","41892"
"2023/02/14","19245","62","21521","1","40829"
"2023/02/13","6706",,"20768","0","27474"
"2023/02/10","10687","2023","24311","11","37032"
"2023/02/09","4511",,"9746","11","14268"
"2023/02/08","22933","0","7318","676","30927"
"2023/02/07","8041","203","10041","0","18285"
"2023/02/06","10894",,"11869","805","23568"
"2023/02/03","12749","432","47352","5633","66166"
"2023/02/02","61449","1505","112054","37543","212551"
"2023/02/01","56792",,"26181","11638","94611"
"2023/01/31","51220","173","74585","3281","129259"
"2023/01/30","19629","88181","69608","18767","196185"
"2023/01/27","17314","126981","91799","2757","238851"
"2023/01/26","11359","166715","58286","8679","245039"
"2023/01/25","16489","70945","74975","31653","194062"
"2023/01/20","17476","170","30818","1972","50436"
"2023/01/19","16097","20","26125","235","42477"
"2023/01/18","26438","20","39105","4002","69565"
"2023/01/17","56068","120","57835","27789","141812"
"2023/01/16","32287","132","65818","62333","160570"
"2023/01/13","11316","5221","29990","5927","52454"
"2023/01/12","8323","0","17833","834","26990"
"2023/01/11","13189","0","36367","13","49569"
"2023/01/10","20066",,"11225","1017","32308"
"2023/01/09","15772","0","43895","2107","61774"
"2023/01/06","29678","1448","29471","22706","83303"
"2023/01/05","28343","329","33866","6591","69129"
"2023/01/04","8933","405","32734","758","42830"
"2023/01/03","12454","181","15133","3798","31566"
"2023/01/02","7979","190","38083","95","46347"
"2022/12/29","17569","40","9885","6296","33790"
"2022/12/28","20777","438","78051","34938","134204"
"2022/12/27","16201","6221","31059","1281","54762"
"2022/12/26","23046","2457","81895","7230","114628"
"2022/12/23","26081","2106","18356","8628","55171"
"2022/12/22","24753","0","16442","5351","46546"
"2022/12/21","6169","0","21657","191","28017"
"2022/12/20","9009","0","22346","818","32173"
"2022/12/19","13151","224","21304","10","34689"
"2022/12/16","11161","0","11237","63705","86103"
"2022/12/15","25884","908","23168","275","50235"
"2022/12/14","20757","1109","13187","1399","36452"
"2022/12/13","28081","188","5982","88","34339"
"2022/12/12","9904","5442","18334","3501","37181"
"2022/12/09","11857","217","9080","144","21298"
"2022/12/08","36512","0","5960","547","43019"
"2022/12/07","42902","2348","29047","2449","76746"
"2022/12/06","64866","1683","69672","1308","137529"
"2022/12/05","36111","1535","21921","13439","73006"
"2022/12/02","31743","631","12954","7952","53280"
"2022/12/01","44071","223","24512","3149","71955"
"2022/11/30","27965","2000","31130","24893","85988"
"2022/11/29","56271","228","21900","18740","97139"
"2022/11/28","40998","2742","20366","6186","70292"
"2022/11/25","42460","2756","19355","30974","95545"
"2022/11/24","35327","229","29463","14013","79032"
"2022/11/23","17816","1000","37061","2","55879"
"2022/11/22","22785","950","9270","250","33255"
"2022/11/21","29870",,"27010","2000","58880"
"2022/11/18","28358","229","29228","10673","68488"
"2022/11/17","20724","227","17041","125","38117"
"2022/11/16","5431","10444","26561","2809","45245"
"2022/11/15","7433","13189","47662","3950","72234"
"2022/11/14","23938","1498","32556","2995","60987"
"2022/11/11","24969","32004","60297","10696","127966"
"2022/11/10","30240","100","26796","2683","59819"
"2022/11/09","13911","1000","22582","3024","40517"
"2022/11/08","30230",,"26755","4764","61749"
"2022/11/07","47954","0","11290","370","59614"
"2022/11/04","11892",,"34450","1649","47991"
"2022/11/03","3158",,"27256","2","30416"
"2022/11/02","1186",,"115686","406","117278"
"2022/11/01","11622",,"44135","3167","58924"
"2022/10/31","5705",,"56556","1858","64119"
"2022/10/28","9405",,"28462","2011","39878"
"2022/10/27","17679","0","57592","4153","79424"
"2022/10/26","19516",,"45008","4177","68701"
"2022/10/25","25988",,"41053","3950","70991"
"2022/10/24","16591","1180","69029","7741","94541"
"2022/10/21","10458","0","93016","2945","106419"
"2022/10/20","438355","1285","132994","40066","612700"
"2022/10/19","1285661","100","217754","128676","1632191"
"2022/10/18","855467","0","112923","77672","1046062"
"2022/10/17","604032","219","79192","52106","735549"
"2022/10/14","118079","3300","279930","4096","405405"
"2022/10/13","139197","12377","215369","15769","382712"
"2022/10/12","73366","3561","286661","2492","366080"
"2022/10/11","195225","15230","283333","1983","495771"
"2022/10/07","276890","0","275343","6790","559023"
"2022/10/06","723627","159542","2391380","7182","3281731"
