일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","31849","0","16571","2468","50888"
"2023/05/03","29399","180","68054","6691","104324"
"2023/05/02","14473","0","21416","10925","46814"
"2023/04/28","18957","0","37009","1897","57863"
"2023/04/27","3774","0","28900","85","32759"
"2023/04/26","17675","298","16261","4799","39033"
"2023/04/25","23022","1121","19418","142","43703"
"2023/04/24","16581","0","42468","4544","63593"
"2023/04/21","19257","0","55626","9828","84711"
"2023/04/20","22684","0","22477","2796","47957"
"2023/04/19","34179","13240","82419","18784","148622"
"2023/04/18","23130","468","83990","19242","126830"
"2023/04/17","27756","15100","110110","20708","173674"
"2023/04/14","30003","11937","130845","36481","209266"
"2023/04/13","15913","21000","126221","32499","195633"
"2023/04/12","30074","1679","159227","15756","206736"
"2023/04/11","25821","10520","167647","17551","221539"
"2023/04/10","18671","0","81844","2702","103217"
"2023/04/07","51646","15150","123281","3621","193698"
"2023/04/06","52937","20242","150583","3964","227726"
"2023/04/05","72228","9185","126621","20869","228903"
"2023/04/04","42240","674","22136","18459","83509"
"2023/04/03","31985","10040","34409","9084","85518"
"2023/03/31","35504","2492","35614","16920","90530"
"2023/03/30","3702","5366","24052","7443","40563"
"2023/03/29","9583","5190","26870","4853","46496"
"2023/03/28","14084","12109","44864","4634","75691"
"2023/03/27","33087","10730","53829","767","98413"
"2023/03/24","12645","50","22106","13623","48424"
"2023/03/23","12950","333","35770","1514","50567"
"2023/03/22","15382","469","29847","2968","48666"
"2023/03/21","5881","5078","22333","0","33292"
"2023/03/20","16155","150","30770","1917","48992"
"2023/03/17","19559","0","27919","15913","63391"
"2023/03/16","30958","4608","47288","18698","101552"
"2023/03/15","65090","15114","161579","17311","259094"
"2023/03/14","62759","524","75406","40510","179199"
"2023/03/13","149297","19766","228931","47828","445822"
"2023/03/10","60058","2473","62932","2163","127626"
"2023/03/09","8138","2070","25824","5405","41437"
"2023/03/08","21689","88","33294","182","55253"
"2023/03/07","16393","88","59625","16864","92970"
"2023/03/06","7208","5975","25245","1306","39734"
"2023/03/03","14992","2598","36633","24","54247"
"2023/03/02","19689","2041","20836","736","43302"
"2023/02/28","14713","2019","18363","5383","40478"
"2023/02/27","17012","137","23683","2311","43143"
"2023/02/24","22474","25","37224","4885","64608"
"2023/02/23","20651","1775","44316","4348","71090"
"2023/02/22","18991","1860","20987","379","42217"
"2023/02/21","21944","0","52717","5780","80441"
"2023/02/20","23350","1149","21326","3090","48915"
"2023/02/17","38573","934","30974","2645","73126"
"2023/02/16","14828","35485","70037","31","120381"
"2023/02/15","30458","7120","45249","5834","88661"
"2023/02/14","25654","80","12762","48","38544"
"2023/02/13","14765","20","16906","2732","34423"
"2023/02/10","9076","0","14920","4750","28746"
"2023/02/09","38530","0","46018","1399","85947"
"2023/02/08","34242","2250","34419","10344","81255"
"2023/02/07","40082","1171","91254","7031","139538"
"2023/02/06","40310","8666","69965","4018","122959"
"2023/02/03","45449","620","89770","1360","137199"
"2023/02/02","63426","1675","41612","51951","158664"
"2023/02/01","51687","207","34380","5549","91823"
"2023/01/31","44389","177","20419","6664","71649"
"2023/01/30","48572","310","26562","4320","79764"
"2023/01/27","71356","10900","39121","1384","122761"
"2023/01/26","72808","10390","63233","0","146431"
"2023/01/25","43852","154","63913","4512","112431"
"2023/01/20","124056","310","37358","26925","188649"
"2023/01/19","105614","215","144288","22794","272911"
"2023/01/18","89922","28020","100266","40620","258828"
"2023/01/17","141078","5805","86049","2910","235842"
"2023/01/16","121038","1110","92464","49782","264394"
"2023/01/13","25257","0","43022","1921","70200"
"2023/01/12","53709","0","29613","12722","96044"
"2023/01/11","58842","0","12576","1222","72640"
"2023/01/10","83409","88","24463","10388","118348"
"2023/01/09","85429","237","65159","230","151055"
"2023/01/06","59236","0","68785","22274","150295"
"2023/01/05","267733","1000","40291","103275","412299"
"2023/01/04","63141","1420","58061","42998","165620"
"2023/01/03","46917","293","99939","2052","149201"
"2023/01/02","38285","301","44180","5027","87793"
"2022/12/29","125728","0","36212","15011","176951"
"2022/12/28","101386","200","37382","10613","149581"
"2022/12/27","156054","19000","57365","19346","251765"
"2022/12/26","70815","0","27623","86","98524"
"2022/12/23","90588","0","53582","11055","155225"
"2022/12/22","116132","25000","25027","51160","217319"
"2022/12/21","76884","25093","21286","6399","129662"
"2022/12/20","78528","24150","95774","4111","202563"
"2022/12/19","42480","150","27901","5149","75680"
"2022/12/16","85381","100","40379","26197","152057"
"2022/12/15","48145","100","88582","20047","156874"
"2022/12/14","26492","1536","44621","10658","83307"
"2022/12/13","49973","151","63913","1679","115716"
"2022/12/12","23779","150","84003","752","108684"
"2022/12/09","20581","0","67123","1451","89155"
"2022/12/08","44497","413","35847","1208","81965"
"2022/12/07","46812","0","123254","19330","189396"
"2022/12/06","64913","13900","76588","28683","184084"
"2022/12/05","48573","9357","112358","39328","209616"
"2022/12/02","48587","0","84394","41766","174747"
"2022/12/01","38589","0","136289","118924","293802"
"2022/11/30","10504","9025","100205","30135","149869"
"2022/11/29","19522","21436","95118","44579","180655"
"2022/11/28","14552","18264","148275","1308","182399"
"2022/11/25","20969","0","51544","39392","111905"
"2022/11/24","15480","0","21672","8970","46122"
"2022/11/23","15423","0","52737","16225","84385"
"2022/11/22","16556","0","60043","8274","84873"
"2022/11/21","21595","2023","73738","2667","100023"
"2022/11/18","13769","0","55306","5928","75003"
"2022/11/17","117299","3656","98919","6961","226835"
"2022/11/16","17528","96","121454","8488","147566"
"2022/11/15","30860","0","61756","3063","95679"
"2022/11/14","19377","0","214550","19563","253490"
"2022/11/11","47694","6741","109278","41619","205332"
"2022/11/10","22075","383","86036","19027","127521"
"2022/11/09","53408","15000","80049","17016","165473"
"2022/11/08","9416","0","107825","8109","125350"
"2022/11/07","14314","800","89323","6553","110990"
"2022/11/04","23929","200","116191","848","141168"
"2022/11/03","186626","1800","101593","42303","332322"
"2022/11/02","326798","100","102244","23735","452877"
"2022/11/01","12235","252","98310","24549","135346"
"2022/10/31","50640","24060","161308","5747","241755"
"2022/10/28","83103","103","112656","30470","226332"
"2022/10/27","125439","10956","157602","64887","358884"
"2022/10/26","56133","40447","161396","25956","283932"
"2022/10/25","139704","88121","129655","41378","398858"
"2022/10/24","121617","53127","172423","19016","366183"
"2022/10/21","54527","34383","233600","14698","337208"
"2022/10/20","26339","10389","276221","1789","314738"
"2022/10/19","85356","297","396306","31614","513573"
"2022/10/18","68579","8061","197443","28808","302891"
"2022/10/17","65266","12807","71626","3965","153664"
"2022/10/14","28203","8328","90197","9114","135842"
"2022/10/13","68847","5950","206181","53657","334635"
"2022/10/12","46260","16057","228483","22634","313434"
"2022/10/11","28493","13010","90475","2214","134192"
"2022/10/07","18352","3223","25589","3604","50768"
"2022/10/06","42895","1100","78968","6366","129329"
"2022/10/05","18507","650","28660","1064","48881"
"2022/10/04","7964","783","26252","278","35277"
"2022/09/30","15250","0","32477","341","48068"
"2022/09/29","1250","1300","18928","361","21839"
"2022/09/28","11640","3930","17151","2613","35334"
"2022/09/27","8322","0","33424","607","42353"
"2022/09/26","24495","7604","55596","15239","102934"
"2022/09/23","2701","2600","24561","45","29907"
"2022/09/22","2271","7455","13481","652","23859"
"2022/09/21","4707","2601","3665","6471","17444"
"2022/09/20","15698","2800","35197","11360","65055"
"2022/09/19","434","2800","4180","11705","19119"
"2022/09/16","5819","1140","8875","66957","82791"
"2022/09/15","3255","0","7106","906","11267"
"2022/09/14","6915","1170","13097","1754","22936"
"2022/09/13","3957","100","8401","1681","14139"
"2022/09/08","3218","0","9458","1201","13877"
"2022/09/07","3428","1000","13706","1464","19598"
"2022/09/06","3904","219","8564","541","13228"
"2022/09/05","6774","3820","14345","30","24969"
"2022/09/02","5994","9155","21689","3108","39946"
"2022/09/01","15033","8209","130024","15604","168870"
"2022/08/31","3966","2119","7208","1428","14721"
"2022/08/30","5149","2000","39197","473","46819"
"2022/08/29","3487","1150","39912","30","44579"
"2022/08/26","21211","5150","45709","5462","77532"
"2022/08/25","4153","0","19221","2337","25711"
"2022/08/24","11404","505","14414","4","26327"
"2022/08/23","4411","1996","5409","871","12687"
"2022/08/22","7380","0","11259","524","19163"
"2022/08/19","7091","0","3678","1614","12383"
"2022/08/18","4088","0","9276","954","14318"
"2022/08/17","4999","0","7497","1","12497"
"2022/08/16","23939","0","25071","1509","50519"
"2022/08/12","10226","356","39856","969","51407"
"2022/08/11","9192","0","36921","791","46904"
"2022/08/10","3903","0","24648","682","29233"
"2022/08/09","13572","0","33568","5255","52395"
"2022/08/08","4954","0","5351","6","10311"
"2022/08/05","30704","0","6151","1129","37984"
"2022/08/04","13508","0","8462","2553","24523"
"2022/08/03","40861","490","8844","2347","52542"
"2022/08/02","23168","150","7347","1887","32552"
"2022/08/01","46081","0","8146","3534","57761"
"2022/07/29","33215","19000","25099","15199","92513"
"2022/07/28","9704","150","10310","2895","23059"
"2022/07/27","7945","1100","31639","2521","43205"
"2022/07/26","4447","10000","12528","201","27176"
"2022/07/25","28611","0","7937","1986","38534"
"2022/07/22","30835","2780","56994","993","91602"
"2022/07/21","15909","3035","59633","6243","84820"
"2022/07/20","6832","2555","50108","2402","61897"
"2022/07/19","28844","1887","84906","5414","121051"
"2022/07/18","11962","4357","15567","4098","35984"
"2022/07/15","24836","45","35769","1472","62122"
"2022/07/14","6261",,"12088","550","18899"
"2022/07/13","12090","1200","5423","1774","20487"
"2022/07/12","13773","1525","24344","576","40218"
"2022/07/11","6683","7663","21693","9","36048"
"2022/07/08","5029","16168","15376","4825","41398"
"2022/07/07","13713","6025","10280","677","30695"
"2022/07/06","16103","600","22983","1055","40741"
"2022/07/05","22429","2500","43096","4375","72400"
"2022/07/04","31798","11667","276341","78796","398602"
"2022/07/01","31705","4000","84579","7924","128208"
"2022/06/30","14152","2005","46015","809","62981"
"2022/06/29","28633","205","62984","8432","100254"
"2022/06/28","28758","5","48180","4193","81136"
"2022/06/27","14383","6873","30700","3116","55072"
"2022/06/24","14932","5469","64374","6598","91373"
"2022/06/23","43354","3450","89056","3715","139575"
"2022/06/22","39398","6795","129665","2489","178347"
"2022/06/21","4854","32126","90531","987","128498"
"2022/06/20","18040","250","88211","65522","172023"
"2022/06/17","52517","2000","64987","270049","389553"
"2022/06/16","16683","30","21691","17060","55464"
"2022/06/15","46095","1500","37803","19387","104785"
"2022/06/14","47742","3650","95518","27064","173974"
"2022/06/13","20189","5130","41573","19834","86726"
"2022/06/10","17768","0","77470","17640","112878"
"2022/06/09","6873","0","16613","11763","35249"
"2022/06/08","28122","0","20069","19293","67484"
"2022/06/07","32064","0","38779","23619","94462"
"2022/06/03","42164","0","22406","8576","73146"
"2022/06/02","17747","0","35795","18288","71830"
"2022/05/31","19590","0","93426","13725","126741"
"2022/05/30","49383","9360","74939","13765","147447"
"2022/05/27","32814","0","64501","9675","106990"
"2022/05/26","28019","2005","35632","298","65954"
"2022/05/25","42742","5","124480","7839","175066"
"2022/05/24","50426","115","32181","1385","84107"
"2022/05/23","9691","15","14758","0","24464"
"2022/05/20","31088","390","41763","5707","78948"
"2022/05/19","4794","11314","30944","457","47509"
"2022/05/18","137876","8180","291142","5481","442679"
"2022/05/17","16482","505","13340","26","30353"
"2022/05/16","26462","1005","4676","1285","33428"
"2022/05/13","33642","1008","7304","172","42126"
"2022/05/12","54116","2","19572","274","73964"
"2022/05/11","46324","1000","10392","49","57765"
"2022/05/10","21061","3200","77964","3342","105567"
"2022/05/09","6575","0","39692","2700","48967"
"2022/05/06","50044","5550","10199","5999","71792"
"2022/05/04","28278","2450","36748","801","68277"
"2022/05/03","54340","3550","180976","20379","259245"
"2022/05/02","70029","0","57341","1326","128696"
"2022/04/29","19893","0","53036","0","72929"
"2022/04/28","42139","3114","36450","72","81775"
"2022/04/27","75728","1325","90599","4609","172261"
"2022/04/26","113579","7450","35250","4844","161123"
"2022/04/25","65610","174","30954","677","97415"
"2022/04/22","54002","1","19672","568","74243"
"2022/04/21","61066","0","23251","669","84986"
"2022/04/20","97347","0","14114","2483","113944"
"2022/04/19","54777","300","49532","645","105254"
"2022/04/18","102562","150","95232","421","198365"
"2022/04/15","296648","0","101526","40095","438269"
"2022/04/14","109921","1000","23484","1263","135668"
"2022/04/13","209190","0","34825","20184","264199"
"2022/04/12","70136","4912","66871","325","142244"
"2022/04/11","43164","500","34698","140","78502"
"2022/04/08","83459","1971","64115","3603","153148"
"2022/04/07","45256","0","18422","146","63824"
"2022/04/06","62972","11500","27824","1027","103323"
"2022/04/05","92095","17578","61146","44","170863"
"2022/04/04","54103","0","53927","3351","111381"
"2022/04/01","116055","20000","73240","5496","214791"
"2022/03/31","101443","939","61481","33327","197190"
"2022/03/30","45672","0","63716","5971","115359"
"2022/03/29","49585","1000","36150","2387","89122"
"2022/03/28","50753","1910","23676","1027","77366"
"2022/03/25","36479","3245","7139","28","46891"
"2022/03/24","31276","1702","28695","174","61847"
"2022/03/23","18237","0","17891","45","36173"
"2022/03/22","32401","0","32021","72","64494"
"2022/03/21","41370","9210","39132","6339","96051"
"2022/03/18","49978","4002","63251","56","117287"
"2022/03/17","18356","4010","35692","16","58074"
"2022/03/16","20813","5010","19629","1","45453"
"2022/03/15","30516","862","22004","3","53385"
"2022/03/14","36696","168","53041","511","90416"
"2022/03/11","26884","0","32935","1094","60913"
"2022/03/10","89073","10","35124","411","124618"
"2022/03/08","36435","0","11353","3629","51417"
"2022/03/07","56799","220","60399","937","118355"
"2022/03/04","50812","210","96005","300","147327"
"2022/03/03","152409","940","12729","12401","178479"
"2022/03/02","85982","10","41477","1","127470"
"2022/02/28","55794","0","12436","989","69219"
"2022/02/25","51722","100","20604","2267","74693"
"2022/02/24","62895","255","44999","1568","109717"
"2022/02/23","45458","525","18827","37","64847"
"2022/02/22","58502","1510","40835","934","101781"
"2022/02/21","168934","500","60132","39382","268948"
"2022/02/18","509140","3510","51874","33318","597842"
"2022/02/17","53330","0","19653","2456","75439"
"2022/02/16","43892","200","12288","4032","60412"
"2022/02/15","36287","0","12762","920","49969"
"2022/02/14","35924","200","16753","5263","58140"
"2022/02/11","37871","1000","25077","13","63961"
"2022/02/10","30649","2000","39834","1676","74159"
"2022/02/09","50546","0","27347","43","77936"
"2022/02/08","53198","0","48506","2822","104526"
"2022/02/07","45586","4000","38829","7950","96365"
"2022/02/04","20023","211","36557","1249","58040"
"2022/02/03","64775","0","33335","10596","108706"
"2022/01/28","39339","1200","31619","1569","73727"
"2022/01/27","45065","2800","76025","4267","128157"
"2022/01/26","23959","2000","23795","21","49775"
"2022/01/25","52858","1281","59083","12921","126143"
"2022/01/24","41939","310","32114","762","75125"
"2022/01/21","64009","1000","14727","227","79963"
"2022/01/20","46089","401","24274","1079","71843"
"2022/01/19","52918","6160","45033","957","105068"
"2022/01/18","58549","2000","16874","7976","85399"
"2022/01/17","89321","26350","216418","923","333012"
"2022/01/14","70136","4293","200113","3","274545"
"2022/01/13","51986","2109","151933","61","206089"
"2022/01/12","43140","3000","129619","2949","178708"
"2022/01/11","115484","4","16416","1455","133359"
"2022/01/10","87605","9027","75425","4415","176472"
"2022/01/07","66032","6201","65041","1169","138443"
"2022/01/06","45939","10168","44727","22142","122976"
"2022/01/05","14686","36576","39795","0","91057"
