일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","5743","3","3596","55","9397"
"2023/05/03","5778","3","1355","81","7217"
"2023/05/02","3210","1","2281","52","5544"
"2023/04/28","6165","2001","4888","224","13278"
"2023/04/27","2499","250","9806","252","12807"
"2023/04/26","5748","0","4502","4","10254"
"2023/04/25","5109","1000","5399","0","11508"
"2023/04/24","3954",,"2669","0","6623"
"2023/04/21","3289",,"2139","2","5430"
"2023/04/20","361",,"3055","0","3416"
"2023/04/19","5084","101","5960","6","11151"
"2023/04/18","4780",,"11459","280","16519"
"2023/04/17","5955",,"3020","19","8994"
"2023/04/14","4501","0","7064","849","12414"
"2023/04/13","411","476","1912","1047","3846"
"2023/04/12","3810","0","21300","0","25110"
"2023/04/11","2503","101","5749","0","8353"
"2023/04/10","5026","502","11812","5","17345"
"2023/04/07","3070","0","15929","0","18999"
"2023/04/06","13609","304","1185","1","15099"
"2023/04/05","669","1","8481","0","9151"
"2023/04/04","5360","202","2944","0","8506"
"2023/04/03","3998","0","1659","242","5899"
"2023/03/31","5123","0","1731","48","6902"
"2023/03/30","3884",,"1579","12","5475"
"2023/03/29","5656","500","1650","0","7806"
"2023/03/28","4623","3","4026","10","8662"
"2023/03/27","7458","0","13856","64","21378"
"2023/03/24","934","1","7353","0","8288"
"2023/03/23","3100","0","13107","27","16234"
"2023/03/22","11409","2","14010","198","25619"
"2023/03/21","5843","0","12219","11","18073"
"2023/03/20","10273","1","5903","0","16177"
"2023/03/17","4924","0","5946","0","10870"
"2023/03/16","5608","161","4439","28","10236"
"2023/03/15","6965","9","1211","22","8207"
"2023/03/14","6918","1","2248","11","9178"
"2023/03/13","5920","75","17373","340","23708"
"2023/03/10","31",,"1855","1","1887"
"2023/03/09","377","2","230","0","609"
"2023/03/08","5037","1","10315","2","15355"
"2023/03/07","5325","1","4985","1","10312"
"2023/03/06","4862","0","5063","625","10550"
"2023/03/03","3518","357","2204","1","6080"
"2023/03/02","5692","23","1105","0","6820"
"2023/02/28","9935","2","2826","0","12763"
"2023/02/27","5815","0","2105","96","8016"
"2023/02/24","6326","1","9613","1089","17029"
"2023/02/23","24893","424","40008","1976","67301"
"2023/02/22","6064",,"1159","0","7223"
"2023/02/21","8856","1","5550","161","14568"
"2023/02/20","1794","0","983","1","2778"
"2023/02/17","15358","0","3000","1054","19412"
"2023/02/16","12886","0","6217","59","19162"
"2023/02/15","7341","6","5438","0","12785"
"2023/02/14","6204","0","14027","2135","22366"
"2023/02/13","5093","0","1595","33","6721"
"2023/02/10","493","1","851","4","1349"
"2023/02/09","8487","0","9078","1","17566"
"2023/02/08","2231","0","11688","0","13919"
"2023/02/07","1555",,"1535","1061","4151"
"2023/02/06","1807","100","2402","206","4515"
"2023/02/03","12414","0","6056","1069","19539"
"2023/02/02","6407","87","3216","589","10299"
"2023/02/01","879",,"2549","239","3667"
"2023/01/31","12826","0","4404","256","17486"
"2023/01/30","7146","1071","7740","1756","17713"
"2023/01/27","8657","3","7340","898","16898"
"2023/01/26","9760","0","1698","0","11458"
"2023/01/25","13761","0","6585","768","21114"
"2023/01/20","13558","101","5684","545","19888"
"2023/01/19","6000",,"3848","0","9848"
"2023/01/18","10893",,"2822","98","13813"
"2023/01/17","6159","1","4841","13","11014"
"2023/01/16","39297","1","3228","1634","44160"
"2023/01/13","13464","2","2623","131","16220"
"2023/01/12","28974","2","2013","290","31279"
"2023/01/11","26909","0","6347","702","33958"
"2023/01/10","17302","364","4142","399","22207"
"2023/01/09","11505","75","3862","470","15912"
"2023/01/06","19210","0","8715","1760","29685"
"2023/01/05","134930","5","42359","839","178133"
"2023/01/04","3044","1","2478","0","5523"
"2023/01/03","5634","4","8690","16","14344"
"2023/01/02","5670","0","2949","1","8620"
"2022/12/29","3349","0","7664","86","11099"
"2022/12/28","3392","202","1332","291","5217"
"2022/12/27","3959","104","6297","0","10360"
"2022/12/26","5019","1","8362","3","13385"
"2022/12/23","5059","1","4345","0","9405"
"2022/12/22","5497","2","3924","0","9423"
"2022/12/21","8525","2","7868","13","16408"
"2022/12/20","8836","102","5199","1","14138"
"2022/12/19","4862","0","9170","269","14301"
"2022/12/16","11522","0","22133","209","33864"
"2022/12/15","4739",,"6006","0","10745"
"2022/12/14","6208","1","8424","0","14633"
"2022/12/13","6252",,"18863","6","25121"
"2022/12/12","3515","0","2167","0","5682"
"2022/12/09","3163","2","2008","3","5176"
"2022/12/08","4027","2","3038","5","7072"
"2022/12/07","2590",,"2389","0","4979"
"2022/12/06","6682","1","5345","400","12428"
"2022/12/05","3352",,"14914","53","18319"
"2022/12/02","6208","0","11215","968","18391"
"2022/12/01","8617",,"5984","817","15418"
"2022/11/30","2824","1","9016","315","12156"
"2022/11/29","17801","1","14337","354","32493"
"2022/11/28","3224","18000","7107","67","28398"
"2022/11/25","5346","0","4293","51","9690"
"2022/11/24","11555",,"3330","987","15872"
"2022/11/23","2431","0","2107","872","5410"
"2022/11/22","2461","0","2100","289","4850"
"2022/11/21","34565","1","3213","0","37779"
"2022/11/18","5103",,"11055","857","17015"
"2022/11/17","30970","1","42850","251","74072"
"2022/11/16","3083","75","38478","1633","43269"
"2022/11/15","3798","15","10858","789","15460"
"2022/11/14","15014","0","17545","565","33124"
"2022/11/11","4665","1","15071","1405","21142"
"2022/11/10","3905","0","8777","1385","14067"
"2022/11/09","5440",,"5970","1","11411"
"2022/11/08","3493","0","9992","3","13488"
"2022/11/07","2348","101","8381","32","10862"
"2022/11/04","9230","1176","55623","277","66306"
"2022/11/03","3716","101","4859","0","8676"
"2022/11/02","3800","1","7264","0","11065"
"2022/11/01","6956","0","9700","0","16656"
"2022/10/31","10828","1","17602","20","28451"
"2022/10/28","8749","0","6901","22","15672"
"2022/10/27","16799","0","9432","2987","29218"
"2022/10/26","6015","1840","10870","0","18725"
"2022/10/25","6839","1","7049","1960","15849"
"2022/10/24","5682","0","3473","1","9156"
"2022/10/21","10959","1","21718","1201","33879"
"2022/10/20","8988","0","9697","1585","20270"
"2022/10/19","25909","0","9717","327","35953"
"2022/10/18","8194","1","20848","641","29684"
"2022/10/17","10444","2","11721","232","22399"
"2022/10/14","10816","6","19752","969","31543"
"2022/10/13","20658","3321","41068","913","65960"
"2022/10/12","2324","102","20645","657","23728"
"2022/10/11","14740","0","16077","1179","31996"
"2022/10/07","11200","2","8666","0","19868"
"2022/10/06","1265","1","11060","0","12326"
"2022/10/05","6142","113","9094","13","15362"
"2022/10/04","26085","2","2663","0","28750"
"2022/09/30","36138","1","5624","1356","43119"
"2022/09/29","4095","0","3826","15","7936"
"2022/09/28","44036","10","8361","23","52430"
"2022/09/27","44298","3","4466","0","48767"
"2022/09/26","19690","1002","13905","2","34599"
"2022/09/23","4801","5","14713","103","19622"
"2022/09/22","27","48","6238","1","6314"
"2022/09/21","495","0","1227","0","1722"
"2022/09/20","6890","0","6044","0","12934"
"2022/09/19","4235","1","3175","90","7501"
"2022/09/16","4608","336","6965","0","11909"
"2022/09/15","2912","0","3722","2","6636"
"2022/09/14","14211","0","3287","29","17527"
"2022/09/13","10382","2","9224","337","19945"
"2022/09/08","3704","4","7872","1","11581"
"2022/09/07","6989","8","2450","41","9488"
"2022/09/06","5322","1","8437","286","14046"
"2022/09/05","6041","0","10238","2","16281"
"2022/09/02","4307","3","14236","14","18560"
"2022/09/01","8883","818","19746","186","29633"
"2022/08/31","2734","0","26284","12","29030"
"2022/08/30","7568","1","14552","1","22122"
"2022/08/29","9851","6000","16650","4656","37157"
