일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","59862","0","27108","103807","190777"
"2023/05/03","23161","237","22326","9674","55398"
"2023/05/02","12659","0","16719","25628","55006"
"2023/04/28","8652","0","33677","10992","53321"
"2023/04/27","41707","0","48347","7609","97663"
"2023/04/26","28287","2040","18922","23147","72396"
"2023/04/25","46889","7525","81982","38713","175109"
"2023/04/24","35780","0","85375","71686","192841"
"2023/04/21","66521","106","129117","23400","219144"
"2023/04/20","44552","100","101237","83395","229284"
"2023/04/19","36812","5200","50353","31140","123505"
"2023/04/18","29074","4000","38728","117527","189329"
"2023/04/17","40338","700","50949","49956","141943"
"2023/04/14","84432","100","64863","97576","246971"
"2023/04/13","16474","586","69408","23365","109833"
"2023/04/12","31732","5004","42782","28869","108387"
"2023/04/11","32866","122","28400","37475","98863"
"2023/04/10","23437","1621","60630","22586","108274"
"2023/04/07","14820","7","35737","14209","64773"
"2023/04/06","65613","0","47143","67047","179803"
"2023/04/05","44966","4","69720","10362","125052"
"2023/04/04","24556","1988","70334","67590","164468"
"2023/04/03","19472","100","86005","31996","137573"
"2023/03/31","29973","300","55644","38418","124335"
"2023/03/30","10836","111","45736","783","57466"
"2023/03/29","20453","0","31108","23471","75032"
"2023/03/28","68989","11564","25562","70888","177003"
"2023/03/27","104028","0","27161","43141","174330"
"2023/03/24","12191","1002","47808","4460","65461"
"2023/03/23","16243","5511","45997","4220","71971"
"2023/03/22","41331","47","34293","17241","92912"
"2023/03/21","16612","9097","39081","15794","80584"
"2023/03/20","23502","6600","85648","460","116210"
"2023/03/17","16251","300","60728","76808","154087"
"2023/03/16","6890","1000","41303","19419","68612"
"2023/03/15","34951","6300","53913","5113","100277"
"2023/03/14","13739","3050","75317","19826","111932"
"2023/03/13","11470","3222","52092","23082","89866"
"2023/03/10","18736","0","47704","15623","82063"
"2023/03/09","10117","5000","24730","102","39949"
"2023/03/08","28954","0","42973","238","72165"
"2023/03/07","37907","6","39452","3549","80914"
"2023/03/06","26518","101","28520","966","56105"
"2023/03/03","9397","5284","20037","11495","46213"
"2023/03/02","23747","5204","28067","2622","59640"
"2023/02/28","22403","501","13988","22761","59653"
"2023/02/27","19974","193","55667","3066","78900"
"2023/02/24","47222","50","33286","76207","156765"
"2023/02/23","12103","10445","36178","33765","92491"
"2023/02/22","11941","10345","53241","8016","83543"
"2023/02/21","16777","32","65154","12166","94129"
"2023/02/20","7701","100","43166","2302","53269"
"2023/02/17","3481","0","45282","8723","57486"
"2023/02/16","9060","31","49692","35739","94522"
"2023/02/15","17498","4008","39232","4849","65587"
"2023/02/14","11636","231","58573","2317","72757"
"2023/02/13","14754","1090","59815","4695","80354"
"2023/02/10","26508","0","56542","23357","106407"
"2023/02/09","19556","500","34504","14605","69165"
"2023/02/08","49093","0","57829","9949","116871"
"2023/02/07","39021","35102","30145","13260","117528"
"2023/02/06","38687","2","21868","54733","115290"
"2023/02/03","85429","14936","70823","83296","254484"
"2023/02/02","51997","291","33657","57811","143756"
"2023/02/01","15405","24","55875","6409","77713"
"2023/01/31","36976","737","150834","7648","196195"
"2023/01/30","22283","63","77341","11438","111125"
"2023/01/27","24070","316","39933","13771","78090"
"2023/01/26","37972","0","32772","34572","105316"
"2023/01/25","32583","40","42855","48374","123852"
"2023/01/20","60899","0","31888","30623","123410"
"2023/01/19","69778","4041","18868","11570","104257"
"2023/01/18","30511","6","60473","21100","112090"
"2023/01/17","70217","0","27549","8044","105810"
"2023/01/16","64694","0","40274","20094","125062"
"2023/01/13","26163","0","25281","27429","78873"
"2023/01/12","21313","50","19028","26109","66500"
"2023/01/11","29278","0","38985","3235","71498"
"2023/01/10","31001","0","25894","33413","90308"
"2023/01/09","67736","136","40542","89542","197956"
"2023/01/06","73710","0","11875","57136","142721"
"2023/01/05","20814","0","24194","176396","221404"
"2023/01/04","19567","50","41279","69571","130467"
"2023/01/03","38593","15","22221","73031","133860"
"2023/01/02","69567","102","44163","17736","131568"
"2022/12/29","80104","0","20038","216698","316840"
"2022/12/28","43347","629","24938","60085","128999"
"2022/12/27","67684","163","45515","30330","143692"
"2022/12/26","31758","0","39003","63754","134515"
"2022/12/23","138655","50","34995","115953","289653"
"2022/12/22","107598","0","32964","238004","378566"
"2022/12/21","91268","0","29007","108599","228874"
"2022/12/20","49181","101","17610","150767","217659"
"2022/12/19","45738","200","52950","170439","269327"
"2022/12/16","87344","200","191360","4522334","4801238"
"2022/12/15","83852","0","19147","452537","555536"
"2022/12/14","91117","0","22346","350274","463737"
"2022/12/13","16662","0","29443","123126","169231"
"2022/12/12","61636","100","48225","155540","265501"
"2022/12/09","32238","10","52571","296777","381596"
"2022/12/08","48745","759","73670","412131","535305"
"2022/12/07","59316","0","33429","278846","371591"
"2022/12/06","91059","50","166515","512034","769658"
"2022/12/05","53903","425","302020","1224240","1580588"
"2022/12/02","48456","1519","90214","4167","144356"
"2022/12/01","138038","35211","75343","34867","283459"
"2022/11/30","73116","1591","78167","74754","227628"
"2022/11/29","36137","220","40201","12537","89095"
"2022/11/28","25399","483","70747","18450","115079"
"2022/11/25","48345","355","87972","54383","191055"
"2022/11/24","46698","3417","101972","16815","168902"
"2022/11/23","25332","400","63528","6418","95678"
"2022/11/22","21784","216","63787","7463","93250"
"2022/11/21","32490","105","75322","7628","115545"
"2022/11/18","32645","325","66540","8071","107581"
"2022/11/17","33602","7242","39846","25733","106423"
"2022/11/16","34742","473","65647","13600","114462"
"2022/11/15","39715","1217","110725","6801","158458"
"2022/11/14","84763","2337","102630","9127","198857"
"2022/11/11","159107","202","111727","162659","433695"
"2022/11/10","66194","6200","60770","44646","177810"
"2022/11/09","32966","0","111857","6910","151733"
"2022/11/08","86189","8094","92046","31822","218151"
"2022/11/07","61884","57843","69048","30280","219055"
"2022/11/04","75549","3320","77186","13497","169552"
"2022/11/03","68710","100","67425","9004","145239"
"2022/11/02","76201","300","53919","8457","138877"
"2022/11/01","70837","847","54632","56179","182495"
"2022/10/31","46482","42420","60227","9940","159069"
"2022/10/28","44885","76677","30368","13095","165025"
"2022/10/27","65546","1004","59669","15727","141946"
"2022/10/26","49201","2467","49140","14034","114842"
"2022/10/25","68503","37","51611","7246","127397"
"2022/10/24","61616","4","48734","3387","113741"
"2022/10/21","113939","7260","72293","16255","209747"
"2022/10/20","93273","3707","191587","22933","311500"
"2022/10/19","199840","200","50732","33403","284175"
"2022/10/18","503310","3458","73935","30744","611447"
"2022/10/17","349077","10217","51855","44715","455864"
"2022/10/14","105524","4146","220947","40812","371429"
"2022/10/13","70411","3763","161744","133982","369900"
"2022/10/12","38121","3708","96234","6522","144585"
"2022/10/11","51176","9487","133751","13785","208199"
"2022/10/07","64156","0","34048","21716","119920"
"2022/10/06","43697","400","122078","36253","202428"
"2022/10/05","44633","6903","89096","57687","198319"
"2022/10/04","53312","212","129172","43111","225807"
"2022/09/30","39039","1101","107583","11644","159367"
"2022/09/29","45519","1003","70729","9420","126671"
"2022/09/28","70042","3252","148231","3546","225071"
"2022/09/27","58615","100","105814","10693","175222"
"2022/09/26","103619","3107","154038","6269","267033"
"2022/09/23","36811","41302","59298","165985","303396"
"2022/09/22","55105","41187","77433","13032","186757"
"2022/09/21","39088","8653","26551","18580","92872"
"2022/09/20","41361","22147","49917","26376","139801"
