일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","69501","0","41065","48596","159162"
"2023/05/03","39707","0","55977","12025","107709"
"2023/05/02","5592","0","20948","3574","30114"
"2023/04/28","12260","40","51988","4446","68734"
"2023/04/27","9309","0","19807","344","29460"
"2023/04/26","7533","300","23463","43","31339"
"2023/04/25","12181",,"36632","8537","57350"
"2023/04/24","37201","200","34495","1141","73037"
"2023/04/21","12217",,"62527","616","75360"
"2023/04/20","28159","50","63422","2379","94010"
"2023/04/19","31786","100","26873","11625","70384"
"2023/04/18","31026","45","54896","5911","91878"
"2023/04/17","37849","100","83082","18959","139990"
"2023/04/14","63278","0","68600","36598","168476"
"2023/04/13","18771","303","36238","42803","98115"
"2023/04/12","25324","100","60328","18727","104479"
"2023/04/11","33346",,"134777","28867","196990"
"2023/04/10","17459",,"54257","3479","75195"
"2023/04/07","19567","15125","47013","1066","82771"
"2023/04/06","19785",,"76388","95","96268"
"2023/04/05","54385","60","192555","3121","250121"
"2023/04/04","13841","145","63239","2324","79549"
"2023/04/03","19946","0","65254","15636","100836"
"2023/03/31","15153","25","66686","2106","83970"
"2023/03/30","29228","110","104681","6531","140550"
"2023/03/29","85839","0","43020","44931","173790"
"2023/03/28","40805","6978","55001","1806","104590"
"2023/03/27","45228","125","72607","1692","119652"
"2023/03/24","31727","6661","20892","4682","63962"
"2023/03/23","44247","75","45130","3","89455"
"2023/03/22","49632","9","37845","0","87486"
"2023/03/21","39202","2030","55906","2792","99930"
"2023/03/20","6225","3000","40988","2781","52994"
"2023/03/17","7244","273","39005","7980","54502"
"2023/03/16","9367","300","13338","0","23005"
"2023/03/15","40221","300","21938","10518","72977"
"2023/03/14","10617","286","57479","451","68833"
"2023/03/13","21869","814","42917","1701","67301"
"2023/03/10","8787","90","54810","207","63894"
"2023/03/09","3719","60","49355","2125","55259"
"2023/03/08","14669","5000","48361","868","68898"
"2023/03/07","16423","9802","65176","17063","108464"
"2023/03/06","27387",,"57365","7890","92642"
"2023/03/03","6599","60","21296","0","27955"
"2023/03/02","25888","379","48040","4478","78785"
"2023/02/28","25786",,"50715","6759","83260"
"2023/02/27","14274","72","25795","1237","41378"
"2023/02/24","33851","2278","44434","9946","90509"
"2023/02/23","10238","40","28229","344","38851"
"2023/02/22","4230","1103","24377","2440","32150"
"2023/02/21","40978","28","70620","15748","127374"
"2023/02/20","16425","3050","66364","11776","97615"
"2023/02/17","10413","1501","61667","5205","78786"
"2023/02/16","17145","5136","47197","3149","72627"
"2023/02/15","30888","2521","37406","2695","73510"
"2023/02/14","21038","252","39312","1856","62458"
"2023/02/13","11454","6500","77199","9283","104436"
"2023/02/10","26393","12835","87455","1990","128673"
"2023/02/09","19618","11775","74105","5644","111142"
"2023/02/08","14980","3805","52021","10664","81470"
"2023/02/07","22942","19964","55354","1306","99566"
"2023/02/06","24242","23059","42817","5313","95431"
"2023/02/03","19600","56","74701","3785","98142"
"2023/02/02","36003","1707","35079","21970","94759"
"2023/02/01","29361","14520","59922","8172","111975"
"2023/01/31","42169","3375","47037","1878","94459"
"2023/01/30","29106","518","56116","4900","90640"
"2023/01/27","80821","6437","87217","1380","175855"
"2023/01/26","54537","1040","34888","6842","97307"
"2023/01/25","92876","11121","78659","12916","195572"
"2023/01/20","27823","100","53291","42693","123907"
