일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","34147","1005","80394","53748","169294"
"2023/05/03","53691","2028","53698","20465","129882"
"2023/05/02","15776","4022","78994","30391","129183"
"2023/04/28","49793","3000","72997","43139","168929"
"2023/04/27","59458","6715","122436","10315","198924"
"2023/04/26","39443","1204","76917","25966","143530"
"2023/04/25","63062","6490","152511","37120","259183"
"2023/04/24","37801","10419","192624","30756","271600"
"2023/04/21","72955","13315","223913","15597","325780"
"2023/04/20","48829","859","104540","106714","260942"
"2023/04/19","64398","420","125101","9647","199566"
"2023/04/18","45396","7250","82280","146569","281495"
"2023/04/17","54383","3504","190004","25512","273403"
"2023/04/14","43368","7155","94928","105796","251247"
"2023/04/13","20047","788","90619","99742","211196"
"2023/04/12","26625","2","63498","65749","155874"
"2023/04/11","58054","9128","118159","35330","220671"
"2023/04/10","49081","39140","153376","8772","250369"
"2023/04/07","21044","304","89127","8041","118516"
"2023/04/06","45099","8701","130216","11968","195984"
"2023/04/05","52223","6383","167290","24973","250869"
"2023/04/04","45526","300","89928","19980","155734"
"2023/04/03","16845","3260","78498","39115","137718"
"2023/03/31","93718","4186","88505","70650","257059"
"2023/03/30","11963","2435","73296","73903","161597"
"2023/03/29","46896","962","81240","2231","131329"
"2023/03/28","15810","1750","55440","7679","80679"
"2023/03/27","32028","4258","231699","8362","276347"
"2023/03/24","17932","690","92799","5613","117034"
"2023/03/23","31853","1130","129536","8383","170902"
"2023/03/22","35752","79","47153","11657","94641"
"2023/03/21","27710","3","17792","2653","48158"
"2023/03/20","11454","500","35966","16287","64207"
"2023/03/17","69774","2157","209581","11038","292550"
"2023/03/16","14669","2389","78209","11195","106462"
"2023/03/15","34174","1648","21023","4709","61554"
"2023/03/14","25203","1606","125817","5130","157756"
"2023/03/13","15002","7601","78255","30382","131240"
"2023/03/10","27284","3982","65730","19197","116193"
"2023/03/09","15809","4132","35432","21746","77119"
"2023/03/08","24290","6102","27851","43259","101502"
"2023/03/07","31375","2","42284","44191","117852"
"2023/03/06","31641","0","51199","37070","119910"
"2023/03/03","26541","7293","34992","24749","93575"
"2023/03/02","19839","7149","55612","42639","125239"
"2023/02/28","32556","4676","48894","68024","154150"
"2023/02/27","29949","360","42726","84776","157811"
"2023/02/24","71399","2932","61626","65616","201573"
"2023/02/23","20015","6450","88216","11858","126539"
"2023/02/22","22143","13559","145295","54362","235359"
"2023/02/21","28827","817","123530","5553","158727"
"2023/02/20","25123","2805","126171","8268","162367"
"2023/02/17","25446","3105","87323","3607","119481"
"2023/02/16","16758","277","68193","16019","101247"
"2023/02/15","48440","2779","99822","7276","158317"
"2023/02/14","20358","4854","72100","2623","99935"
"2023/02/13","46754","3175","183171","8636","241736"
"2023/02/10","55422","6754","292486","32154","386816"
"2023/02/09","23663","2821","71100","635","98219"
"2023/02/08","31223","4","44193","4483","79903"
"2023/02/07","52846","650","110174","3588","167258"
"2023/02/06","79359","874","88411","6203","174847"
"2023/02/03","72826","34742","150793","93438","351799"
"2023/02/02","93567","1047","103944","42581","241139"
"2023/02/01","83538","2463","243187","19740","348928"
"2023/01/31","65021","0","32035","1385970","1483026"
"2023/01/30","77735","9512","131252","23861","242360"
"2023/01/27","73033","1393","137588","35898","247912"
"2023/01/26","71414","3313","195052","1060","270839"
"2023/01/25","67396","4523","117109","1368","190396"
"2023/01/20","139153","9255","130670","14760","293838"
"2023/01/19","113484","9761","73786","20310","217341"
"2023/01/18","107289","5016","75466","77077","264848"
"2023/01/17","116025","7106","63795","24905","211831"
"2023/01/16","170243","1844","108608","137757","418452"
"2023/01/13","39054","1851","59357","28652","128914"
"2023/01/12","65760","15626","67570","141979","290935"
"2023/01/11","73274","4435","37650","10645","126004"
"2023/01/10","89531","1370","25313","1672","117886"
"2023/01/09","66620","1027","39395","16655","123697"
"2023/01/06","102767","2","42726","19944","165439"
"2023/01/05","103208","633","43152","122389","269382"
"2023/01/04","37512","7163","47516","6957","99148"
"2023/01/03","106623","5928","277073","28780","418404"
"2023/01/02","35401","272","33146","1656","70475"
"2022/12/29","66910","178","56514","38378","161980"
"2022/12/28","138641","3778","258282","16084","416785"
"2022/12/27","115438","1003","67544","21933","205918"
"2022/12/26","84852","3960","26968","19542","135322"
"2022/12/23","75860","4","42586","15571","134021"
"2022/12/22","141278","16001","35932","18150","211361"
"2022/12/21","46302","3105","18013","12112","79532"
"2022/12/20","29667","1599","119958","994","152218"
"2022/12/19","29238","510","61043","926","91717"
"2022/12/16","68812","1522","137279","30028","237641"
"2022/12/15","175527","1003","55434","3814","235778"
"2022/12/14","123318","1","45550","110241","279110"
"2022/12/13","49875","102","51203","9435","110615"
"2022/12/12","48128","502","46640","13621","108891"
"2022/12/09","60467","2510","32850","529","96356"
"2022/12/08","45332","96","42185","15715","103328"
"2022/12/07","23288","27166","48637","17260","116351"
"2022/12/06","27230","2636","46310","5176","81352"
"2022/12/05","27070","3241","55726","4793","90830"
"2022/12/02","14169","400","87817","25896","128282"
"2022/12/01","40828","0","183168","85246","309242"
"2022/11/30","20165","2000","218625","60078","300868"
"2022/11/29","70034","2660","95897","19352","187943"
"2022/11/28","29284","2807","140415","38730","211236"
"2022/11/25","35277","300","78143","17532","131252"
"2022/11/24","22689","2310","65403","7578","97980"
"2022/11/23","24162","0","67871","20083","112116"
"2022/11/22","15434","0","56750","10688","82872"
"2022/11/21","58171","0","116631","13255","188057"
"2022/11/18","78434","0","72033","38407","188874"
"2022/11/17","10842","0","138370","11513","160725"
"2022/11/16","16916","7998","119011","68150","212075"
"2022/11/15","24204","80","113838","5830","143952"
"2022/11/14","76906","0","299663","67535","444104"
"2022/11/11","35055","1000","291455","86509","414019"
"2022/11/10","27387","2000","101285","3674","134346"
"2022/11/09","38052","299","172768","22894","234013"
"2022/11/08","8409","0","110406","16077","134892"
"2022/11/07","16547","31801","119407","64325","232080"
"2022/11/04","58563","22870","491923","121950","695306"
