일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","344","70","5989","1522","7925"
"2023/05/03","1527","592","8554","604","11277"
"2023/05/02","2652","0","4893","778","8323"
"2023/04/28","2193","2","7729","960","10884"
"2023/04/27","2750","100","9051","361","12262"
"2023/04/26","8666","304","4432","2322","15724"
"2023/04/25","24110","702","30151","2408","57371"
"2023/04/24","13886","1093","39437","855","55271"
"2023/04/21","2561","0","9872","305","12738"
"2023/04/20","13777","0","9386","2160","25323"
"2023/04/19","25951","5799","177912","23505","233167"
"2023/04/18","12954","3725","40245","4215","61139"
"2023/04/17","2865","3062","19312","3187","28426"
"2023/04/14","12894","20","32256","14086","59256"
"2023/04/13","865","0","19420","811","21096"
"2023/04/12","6881","474","24693","3532","35580"
"2023/04/11","8339","1901","83921","1389","95550"
"2023/04/10","18726","1829","21589","0","42144"
"2023/04/07","1065","517","14677","1033","17292"
"2023/04/06","19827","1103","25959","3008","49897"
"2023/04/05","3295","19","38570","3103","44987"
"2023/04/04","4584","284","24863","1642","31373"
"2023/04/03","11742","1114","23775","4405","41036"
"2023/03/31","9017","675","33617","1174","44483"
"2023/03/30","13983","7254","130451","7507","159195"
"2023/03/29","11064","2172","74164","2703","90103"
"2023/03/28","13590","1561","81130","2667","98948"
"2023/03/27","7725","1556","36300","1","45582"
"2023/03/24","4957","1425","44729","1021","52132"
"2023/03/23","10275","1458","33744","18","45495"
"2023/03/22","1872","2010","17445","7","21334"
"2023/03/21","2186","20","6445","10","8661"
"2023/03/20","19533","5006","61376","1316","87231"
"2023/03/17","12838","0","11033","1553","25424"
"2023/03/16","7177","0","10887","16","18080"
"2023/03/15","9006","60","11975","433","21474"
"2023/03/14","6234","1988","31002","464","39688"
"2023/03/13","2889","200","21436","51","24576"
"2023/03/10","1913","0","12910","0","14823"
"2023/03/09","2423",,"13603","556","16582"
"2023/03/08","10945","60","10256","17","21278"
"2023/03/07","23758","10","64535","6824","95127"
"2023/03/06","12996","70","20558","2439","36063"
"2023/03/03","4291","200","15108","0","19599"
"2023/03/02","8509","60","7115","34","15718"
"2023/02/28","6873","105","22053","23","29054"
"2023/02/27","7832","40","4072","16","11960"
"2023/02/24","2457","0","11835","180","14472"
"2023/02/23","9913","371","15902","68","26254"
"2023/02/22","9866","59","7162","137","17224"
"2023/02/21","12947","0","3626","44","16617"
"2023/02/20","4952","80","11232","5","16269"
"2023/02/17","13161","101","5795","39","19096"
"2023/02/16","5522","850","13827","1144","21343"
"2023/02/15","18950","550","7732","37","27269"
"2023/02/14","22396","2260","14595","0","39251"
"2023/02/13","19728","2122","7265","8","29123"
"2023/02/10","5243","131","13373","342","19089"
