일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","323","30","13094","1079","14526"
"2023/05/03","2","29","10769","1275","12075"
"2023/05/02","1801","0","23425","649","25875"
"2023/04/28","639","0","11715","320","12674"
"2023/04/27","208","1","10311","3431","13951"
"2023/04/26","194","1205","13433","1385","16217"
"2023/04/25","7048","6503","112878","20582","147011"
"2023/04/24","9057","517","52724","4669","66967"
"2023/04/21","2514",,"24860","4333","31707"
"2023/04/20","973","0","64367","1623","66963"
"2023/04/19","5149","15783","103109","5794","129835"
"2023/04/18","479","0","167469","15263","183211"
"2023/04/17","4178","1","27969","5409","37557"
"2023/04/14","2636","0","69513","1647","73796"
"2023/04/13","80","0","17082","515","17677"
"2023/04/12","2959","1","44738","3974","51672"
"2023/04/11","12","0","23325","363","23700"
"2023/04/10","3374","0","16068","92","19534"
"2023/04/07","54","1","27371","67","27493"
"2023/04/06","44","0","18744","0","18788"
"2023/04/05","702","1","41471","1921","44095"
"2023/04/04","5787","0","28592","1481","35860"
"2023/04/03","1674","1","64664","3031","69370"
"2023/03/31","364","1000","18045","420","19829"
"2023/03/30","314","0","12286","196","12796"
"2023/03/29","151","0","5744","91","5986"
"2023/03/28","18","0","2076","0","2094"
"2023/03/27","29","2","2637","10","2678"
"2023/03/24","142","0","1849","0","1991"
"2023/03/23","1394","0","1596","0","2990"
"2023/03/22","247","11001","2209","0","13457"
"2023/03/21","157","0","864","0","1021"
"2023/03/20","190","0","6828","0","7018"
"2023/03/17","397","0","2976","1","3374"
"2023/03/16","220","1","2476","0","2697"
"2023/03/15","127","0","2403","81","2611"
"2023/03/14","944","0","11128","260","12332"
"2023/03/13","1882","1","23470","823","26176"
"2023/03/10","322","0","7811","16","8149"
"2023/03/09","7","0","1140","100","1247"
"2023/03/08","376","1000","3782","35","5193"
"2023/03/07","308","1","1716","0","2025"
"2023/03/06","738","0","4957","101","5796"
"2023/03/03","34","0","6029","30","6093"
"2023/03/02","382","2","5565","16","5965"
"2023/02/28","10","1","3693","145","3849"
"2023/02/27","1645","81","8441","59","10226"
"2023/02/24","121","50","4323","293","4787"
"2023/02/23","320","60","5103","147","5630"
"2023/02/22","655","0","18054","16","18725"
"2023/02/21","89","3","4501","0","4593"
"2023/02/20","1351","95","24109","0","25555"
"2023/02/17","2133","1112","21012","228","24485"
"2023/02/16","197","128","8108","0","8433"
"2023/02/15","561","92","2324","273","3250"
"2023/02/14","907","1","5107","2041","8056"
"2023/02/13","3957","1","4423","257","8638"
"2023/02/10","1739","0","13017","258","15014"
"2023/02/09","100","1","2678","82","2861"
"2023/02/08","3902","0","11758","787","16447"
"2023/02/07","170","1","6966","165","7302"
"2023/02/06","600","0","6398","820","7818"
"2023/02/03","347","2","6969","185","7503"
"2023/02/02","1382","9","11922","2191","15504"
"2023/02/01","547","1","13796","599","14943"
"2023/01/31","203","0","5957","1478","7638"
"2023/01/30","3582","0","19168","806","23556"
"2023/01/27","4603","2","14126","1104","19835"
"2023/01/26","2247","3","9227","366","11843"
"2023/01/25","6203","0","17722","205","24130"
"2023/01/20","1513","2","16538","994","19047"
"2023/01/19","88","0","9569","612","10269"
"2023/01/18","5172","2","12377","1010","18561"
"2023/01/17","20","6","7607","408","8041"
"2023/01/16","1605","2","7451","765","9823"
"2023/01/13","2482","1","9459","957","12899"
"2023/01/12","4712","5","11482","1213","17412"
"2023/01/11","877","1","9834","743","11455"
"2023/01/10","2677","2","2489","112","5280"
"2023/01/09","1258","2","18116","958","20334"
"2023/01/06","232","4","5099","711","6046"
"2023/01/05","1702","1506","10417","324","13949"
"2023/01/04","198","6","7204","3","7411"
"2023/01/03","10834","1004","49593","1874","63305"
"2023/01/02","3764","10","13015","0","16789"
"2022/12/29","5094","18","48852","75","54039"
"2022/12/28","3684","1000","187808","3489","195981"
"2022/12/27","2200","4","17115","484","19803"
"2022/12/26","2874","1","21114","395","24384"
"2022/12/23","705","2","11336","193","12236"
"2022/12/22","1214","3","2833","642","4692"
"2022/12/21","21","0","2000","302","2323"
"2022/12/20","6461","1","1197","0","7659"
"2022/12/19","10276","7","5439","279","16001"
"2022/12/16","2370","27","2064","199","4660"
"2022/12/15","3668","0","3018","232","6918"
"2022/12/14","1101","0","1857","1","2959"
"2022/12/13","172","0","799","59","1030"
"2022/12/12","75","0","6322","65","6462"
"2022/12/09","670","0","4297","160","5127"
"2022/12/08","1037","0","21765","114","22916"
"2022/12/07","2563","0","22684","3537","28784"
"2022/12/06","21166","1","6949","107","28223"
"2022/12/05","4998","2","15801","0","20801"
"2022/12/02","4201","3","3032","77","7313"
"2022/12/01","22640","1","15860","1267","39768"
"2022/11/30","2580","0","10462","190","13232"
"2022/11/29","2910","0","14931","2592","20433"
"2022/11/28","4608","0","16572","3869","25049"
"2022/11/25","315","0","21547","58","21920"
"2022/11/24","1031","2","35381","1629","38043"
"2022/11/23","1212","1","18376","2015","21604"
"2022/11/22","8","0","36596","631","37235"
"2022/11/21","4179","0","25066","2336","31581"
"2022/11/18","1442","0","29074","267","30783"
"2022/11/17","767","2","2780","0","3549"
"2022/11/16","464","0","25485","7","25956"
"2022/11/15","280","2","12464","342","13088"
"2022/11/14","1097","0","26494","364","27955"
