일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","17787","90","21541","250","39668"
"2023/05/03","5440","0","9984","1941","17365"
"2023/05/02","3854","10","8981","2065","14910"
"2023/04/28","4634",,"12260","9","16903"
"2023/04/27","10878","1","14555","2669","28103"
"2023/04/26","6762","0","27628","0","34390"
"2023/04/25","26906","50","13516","5036","45508"
"2023/04/24","16378","8","8555","0","24941"
"2023/04/21","18978","0","54352","496","73826"
"2023/04/20","18780","9","22238","0","41027"
"2023/04/19","12117","10","32381","1770","46278"
"2023/04/18","4756","400","35415","41","40612"
"2023/04/17","2227","0","29345","765","32337"
"2023/04/14","4552","10","32949","2921","40432"
"2023/04/13","9334","0","14393","1386","25113"
"2023/04/12","4347","0","13858","5071","23276"
"2023/04/11","6013","0","12119","6509","24641"
"2023/04/10","25396","19","28342","78","53835"
"2023/04/07","12936","155","59125","6603","78819"
"2023/04/06","4690","500","18630","13","23833"
"2023/04/05","20050","0","34488","1","54539"
"2023/04/04","12476","0","6175","0","18651"
"2023/04/03","13696","0","16075","522","30293"
"2023/03/31","24334","550","63173","21898","109955"
"2023/03/30","22630","0","35808","3998","62436"
"2023/03/29","18181","150","79694","340","98365"
"2023/03/28","25609","1","28996","1098","55704"
"2023/03/27","3466","0","27384","0","30850"
"2023/03/24","5965","1","35137","131","41234"
"2023/03/23","18782","0","21084","3136","43002"
"2023/03/22","3079","12","33628","0","36719"
"2023/03/21","9377","3","32516","329","42225"
"2023/03/20","10440","5","37440","10","47895"
"2023/03/17","8730","103","11731","2602","23166"
"2023/03/16","49801","0","17718","8895","76414"
"2023/03/15","15799","0","24068","1450","41317"
"2023/03/14","25000","200","12760","3168","41128"
"2023/03/13","18104","700","25869","2398","47071"
"2023/03/10","10375","100","14624","2326","27425"
"2023/03/09","16235","0","8472","5556","30263"
"2023/03/08","15537","0","7182","1605","24324"
"2023/03/07","12449","0","21721","13282","47452"
"2023/03/06","13773","0","14756","7199","35728"
"2023/03/03","6745","0","8847","0","15592"
"2023/03/02","4669","16","12799","160","17644"
"2023/02/28","8514","2955","12737","44","24250"
"2023/02/27","5925","0","6253","2627","14805"
"2023/02/24","7969","0","8281","0","16250"
"2023/02/23","18082","500","12820","405","31807"
"2023/02/22","7236","0","10309","573","18118"
"2023/02/21","6838","2","10886","0","17726"
"2023/02/20","14391","1","10657","1750","26799"
"2023/02/17","13779","1094","12953","2270","30096"
"2023/02/16","9088","8","35899","1803","46798"
"2023/02/15","9649","4002","14088","1010","28749"
"2023/02/14","2743","201","22128","0","25072"
"2023/02/13","4516","301","25440","2348","32605"
"2023/02/10","72571","6150","76518","9561","164800"
"2023/02/09","25704","2500","43055","0","71259"
