일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1605","44","11695","117","13461"
"2023/05/03","1040","21","4230","100","5391"
"2023/05/02","2269","18","16926","0","19213"
"2023/04/28","6593","1","6948","40","13582"
"2023/04/27","649","101","6981","70","7801"
"2023/04/26","2361","3","5081","748","8193"
"2023/04/25","567","20","14968","30","15585"
"2023/04/24","8063","49","8634","178","16924"
"2023/04/21","3870","160","19452","656","24138"
"2023/04/20","1996","0","15697","534","18227"
"2023/04/19","2094",,"6352","571","9017"
"2023/04/18","5278","14","8285","242","13819"
"2023/04/17","5421","29","12082","5214","22746"
"2023/04/14","2413","0","7443","1615","11471"
"2023/04/13","3188","2","16697","1538","21425"
"2023/04/12","5192","2","26452","899","32545"
"2023/04/11","1891","6028","9936","967","18822"
"2023/04/10","11300","0","12531","844","24675"
"2023/04/07","5929","2","11796","36","17763"
"2023/04/06","11238","0","9025","0","20263"
"2023/04/05","49531","0","9803","54","59388"
"2023/04/04","3055","1201","15188","0","19444"
"2023/04/03","14967","125","13225","362","28679"
"2023/03/31","4891","25","5887","0","10803"
"2023/03/30","2626","64","11529","87","14306"
"2023/03/29","2446","0","20873","10","23329"
"2023/03/28","5123","293","9263","20","14699"
"2023/03/27","2762","81","25549","1370","29762"
"2023/03/24","3433","76","28152","29","31690"
"2023/03/23","949","51","19665","38","20703"
"2023/03/22","770","0","13499","0","14269"
"2023/03/21","186","32","9895","38","10151"
"2023/03/20","1856","0","49811","40","51707"
"2023/03/17","2313","15","2789","0","5117"
"2023/03/16","3122","0","4831","0","7953"
"2023/03/15","2016","2","5521","2","7541"
"2023/03/14","4035","0","13584","80","17699"
"2023/03/13","2859","1","16607","1884","21351"
"2023/03/10","915",,"9465","126","10506"
"2023/03/09","878","2","12988","1","13869"
"2023/03/08","1643","6","6867","20","8536"
"2023/03/07","8757","1","6982","0","15740"
"2023/03/06","1751","1","9178","3","10933"
"2023/03/03","3902","2","20578","1661","26143"
"2023/03/02","1324","1","15920","1403","18648"
"2023/02/28","4993","2411","16149","71","23624"
"2023/02/27","568",,"7356","227","8151"
"2023/02/24","8224","0","10066","164","18454"
"2023/02/23","204","0","8528","10","8742"
"2023/02/22","1835","1","2333","36","4205"
"2023/02/21","3767","2","7108","42","10919"
"2023/02/20","10139","0","24672","208","35019"
"2023/02/17","1950","131","32091","62","34234"
"2023/02/16","2888","1","7913","4","10806"
"2023/02/15","3286","0","20225","5","23516"
"2023/02/14","10472",,"9750","12","20234"
"2023/02/13","1995","1","9202","25","11223"
"2023/02/10","2031",,"18192","50","20273"
"2023/02/09","4075","0","4733","10","8818"
"2023/02/08","9746","5500","14921","1281","31448"
"2023/02/07","3069","56","13218","111","16454"
"2023/02/06","3400","20","15827","550","19797"
"2023/02/03","4671","256","24334","1000","30261"
"2023/02/02","3770","9","10708","2493","16980"
"2023/02/01","7764","285","18400","2445","28894"
"2023/01/31","14655","2130","12943","1927","31655"
"2023/01/30","8024","125","26285","2628","37062"
"2023/01/27","3362","111","28968","2096","34537"
"2023/01/26","6944","150","26739","4560","38393"
"2023/01/25","3321","1683","41151","1712","47867"
"2023/01/20","7284","4092","12793","3128","27297"
"2023/01/19","4837","45","16870","410","22162"
"2023/01/18","4350","101","30818","2925","38194"
"2023/01/17","9249","588","15934","531","26302"
"2023/01/16","3948","2000","22780","5691","34419"
"2023/01/13","2470","4901","17015","5379","29765"
"2023/01/12","11748","1","28039","5882","45670"
"2023/01/11","3841","107","10319","528","14795"
"2023/01/10","5186","7101","20070","2041","34398"
"2023/01/09","4202","4502","12685","966","22355"
"2023/01/06","2746","2000","18233","2504","25483"
"2023/01/05","924","2","27222","310","28458"
"2023/01/04","13641","1","20914","2320","36876"
"2023/01/03","12418","504","5142","1205","19269"
"2023/01/02","7091","85","3589","0","10765"
"2022/12/29","564","1","8132","0","8697"
"2022/12/28","1071","2","12130","0","13203"
"2022/12/27","8815","638","24843","3448","37744"
"2022/12/26","4465","364","10504","0","15333"
"2022/12/23","5254","1","7447","177","12879"
"2022/12/22","350","0","16209","0","16559"
"2022/12/21","5672","1","12802","7079","25554"
"2022/12/20","602","0","16349","0","16951"
"2022/12/19","3215","0","21340","221","24776"
"2022/12/16","625","3","21666","87","22381"
"2022/12/15","5843","0","19129","65","25037"
"2022/12/14","8692","0","11017","1051","20760"
"2022/12/13","2554","3","10513","2137","15207"
"2022/12/12","3914","3","9610","2673","16200"
"2022/12/09","8459","10","9959","5276","23704"
"2022/12/08","1050","7","8322","0","9379"
"2022/12/07","1250",,"8657","0","9907"
"2022/12/06","6406","0","12271","84","18761"
"2022/12/05","7531","1141","20808","0","29480"
"2022/12/02","12773","500","11742","116","25131"
"2022/12/01","17436","100","34174","20","51730"
"2022/11/30","2518","3","15538","193","18252"
"2022/11/29","10105","1524","79008","1978","92615"
"2022/11/28","38641","8809","74025","10915","132390"
"2022/11/25","28272","0","37730","18435","84437"
"2022/11/24","12385","2000","36902","16815","68102"
"2022/11/23","53375","0","34863","3682","91920"
"2022/11/22","5938","0","48260","5897","60095"
"2022/11/21","18116","1000","79393","9760","108269"
"2022/11/18","14870","1","60199","6322","81392"
"2022/11/17","3275",,"9690","450","13415"
"2022/11/16","9690",,"31044","346","41080"
"2022/11/15","2426","1","13447","140","16014"
"2022/11/14","1096","0","26261","3060","30417"
"2022/11/11","8240",,"54913","14328","77481"
"2022/11/10","12299","3369","10276","1987","27931"
"2022/11/09","20486","0","17766","1793","40045"
"2022/11/08","5607","0","27575","1346","34528"
"2022/11/07","3203","2600","15149","3","20955"
"2022/11/04","9958","0","29881","20","39859"
"2022/11/03","4048","206","69294","8809","82357"
"2022/11/02","10677","0","24959","6","35642"
"2022/11/01","7173","100","46969","2597","56839"
"2022/10/31","3917","510","56882","345","61654"
"2022/10/28","6702","0","53709","2803","63214"
