일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","19954","238","75915","4903","101010"
"2023/05/03","78294","118","103420","4764","186596"
"2023/05/02","7834","233","79229","350","87646"
"2023/04/28","14154","152","99372","4658","118336"
"2023/04/27","98325","152","123047","8730","230254"
"2023/04/26","82154","2054","130791","3137","218136"
"2023/04/25","241922","147","164509","33188","439766"
"2023/04/24","232080","148","210608","12123","454959"
"2023/04/21","202030","156","255525","34732","492443"
"2023/04/20","350364","4046","189888","16830","561128"
"2023/04/19","433612","277","202993","4179","641061"
"2023/04/18","610715","45844","224967","32492","914018"
"2023/04/17","476598","161","326948","48451","852158"
"2023/04/14","415766","247","290984","31765","738762"
"2023/04/13","327661","181","223191","14136","565169"
"2023/04/12","259748","167","322137","3804","585856"
"2023/04/11","491422","1610","623287","5869","1122188"
"2023/04/10","681523","70083","2721199","7939","3480744"
