일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","24475",,"23456","2825","50756"
"2023/05/03","7468",,"10310","0","17778"
"2023/05/02","8740","0","18717","5810","33267"
"2023/04/28","24299",,"38183","11327","73809"
"2023/04/27","25637",,"47874","10625","84136"
"2023/04/26","15055",,"13999","590","29644"
"2023/04/25","29683","0","37535","4435","71653"
"2023/04/24","23074",,"39214","2880","65168"
"2023/04/21","15399",,"14320","1195","30914"
"2023/04/20","16294","0","34579","5913","56786"
"2023/04/19","14584","0","35540","2455","52579"
"2023/04/18","24136","3300","27417","7843","62696"
"2023/04/17","25548","20","23909","3593","53070"
"2023/04/14","26507",,"27276","12683","66466"
"2023/04/13","11065",,"14455","8106","33626"
"2023/04/12","37619","3","18696","12313","68631"
"2023/04/11","227547","0","54658","4322","286527"
"2023/04/10","27903","2","59441","9539","96885"
"2023/04/07","13130","0","19222","2656","35008"
"2023/04/06","5201","0","11681","632","17514"
"2023/04/05","21047",,"15790","4285","41122"
"2023/04/04","18819",,"20035","3449","42303"
"2023/04/03","9704","0","22333","1058","33095"
"2023/03/31","8286","0","20780","7715","36781"
"2023/03/30","5288","0","21677","1472","28437"
"2023/03/29","6156","5002","38171","2449","51778"
"2023/03/28","33114","87","60495","6503","100199"
"2023/03/27","14891",,"30425","318","45634"
"2023/03/24","6388","0","3854","1","10243"
"2023/03/23","24070",,"9185","3418","36673"
"2023/03/22","27329","12","3169","1239","31749"
"2023/03/21","30456","3","1846","5618","37923"
"2023/03/20","11854","0","1730","579","14163"
"2023/03/17","27411","0","13804","9506","50721"
"2023/03/16","19100","0","1538","1685","22323"
"2023/03/15","26892","0","10635","4521","42048"
"2023/03/14","14017","2","12573","1196","27788"
"2023/03/13","29055","87","15204","2555","46901"
"2023/03/10","5259",,"4647","0","9906"
"2023/03/09","3867","2000","3376","1","9244"
"2023/03/08","21035","0","3776","2268","27079"
"2023/03/07","27556","0","4515","5147","37218"
"2023/03/06","20012","0","1560","384","21956"
