일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","20922","22","40145","18924","80013"
"2023/05/03","34917","1","25268","38869","99055"
"2023/05/02","51129","347","54445","5743","111664"
"2023/04/28","91202","471","69933","28925","190531"
"2023/04/27","24841","5107","54907","28922","113777"
"2023/04/26","48102","17869","72906","33402","172279"
"2023/04/25","100140","80636","76156","169121","426053"
"2023/04/24","72251","2700","89641","2832","167424"
"2023/04/21","64416","700","77152","8872","151140"
"2023/04/20","61107","0","62284","37836","161227"
"2023/04/19","83148","56","212119","15552","310875"
"2023/04/18","104810","11006","95045","152551","363412"
"2023/04/17","183890","3142","201256","206913","595201"
"2023/04/14","86210","11232","161119","125477","384038"
"2023/04/13","89067","1162","117547","60418","268194"
"2023/04/12","69466","0","72869","109794","252129"
"2023/04/11","146258","300","163038","100641","410237"
"2023/04/10","141094","46901","148739","138736","475470"
"2023/04/07","136523","4395","175611","38163","354692"
"2023/04/06","105446","27199","198594","24531","355770"
"2023/04/05","38274","7700","85902","16468","148344"
"2023/04/04","18387","10718","54259","1706","85070"
"2023/04/03","31383","2134","73028","61688","168233"
"2023/03/31","31922","303","63197","7715","103137"
"2023/03/30","71564","1678","192192","16104","281538"
"2023/03/29","70166","987","67964","11838","150955"
"2023/03/28","26603","1438","94817","4455","127313"
"2023/03/27","34781","1256","101490","15043","152570"
"2023/03/24","34146","3055","84707","23011","144919"
"2023/03/23","27444","5413","69061","8167","110085"
"2023/03/22","28307","2828","100334","4339","135808"
"2023/03/21","10071","1604","31523","3276","46474"
"2023/03/20","38487","6126","104708","3399","152720"
"2023/03/17","23031","4309","57132","125167","209639"
"2023/03/16","57062","2","26524","4271","87859"
"2023/03/15","56410","49","39664","11796","107919"
"2023/03/14","40115","1","20217","12889","73222"
"2023/03/13","24813","0","19897","4415","49125"
"2023/03/10","32146","0","22831","15006","69983"
"2023/03/09","7338","19","21164","3073","31594"
"2023/03/08","32588","380","61289","4418","98675"
"2023/03/07","45395","708","67762","4502","118367"
"2023/03/06","39496","1001","52037","588","93122"
"2023/03/03","99942","2475","93025","28499","223941"
"2023/03/02","27412","2","27699","14793","69906"
"2023/02/28","19588","1","21949","5565","47103"
"2023/02/27","9826","207","32561","2859","45453"
"2023/02/24","25146","879","37400","15695","79120"
"2023/02/23","10788","0","70305","18615","99708"
"2023/02/22","12143","202","38955","6898","58198"
"2023/02/21","13081","427","45429","345","59282"
"2023/02/20","11316","1679","46147","3074","62216"
"2023/02/17","21958","3","16313","4127","42401"
"2023/02/16","28260","551","37104","23224","89139"
"2023/02/15","27693","419","26574","5858","60544"
"2023/02/14","22064","436","25990","1912","50402"
"2023/02/13","23769","1247","50134","21481","96631"
"2023/02/10","18541","733","27288","3294","49856"
"2023/02/09","30595","92","40837","13916","85440"
"2023/02/08","32602","315","27766","3546","64229"
"2023/02/07","29852","1006","29611","7515","67984"
"2023/02/06","25628","1","22197","9065","56891"
"2023/02/03","32912","22296","45949","35242","136399"
"2023/02/02","50959","7638","8507","6700","73804"
"2023/02/01","32395","7393","26032","9741","75561"
"2023/01/31","27353","0","23151","23583","74087"
"2023/01/30","41195","66","25362","16223","82846"
"2023/01/27","37921","2581","14647","18810","73959"
"2023/01/26","42511","11200","14407","6361","74479"
"2023/01/25","27464","0","16013","25659","69136"
"2023/01/20","36700","102","13850","20966","71618"
"2023/01/19","22528","40771","7240","634","71173"
"2023/01/18","41327","2","12488","18350","72167"
"2023/01/17","29449","1","11192","502","41144"
"2023/01/16","37796","2","15394","16867","70059"
"2023/01/13","8743","2","23843","2728","35316"
"2023/01/12","7460","602","17221","4000","29283"
"2023/01/11","10230","3","13473","7145","30851"
"2023/01/10","24553","3045","25254","17696","70548"
"2023/01/09","29112","0","22320","18797","70229"
"2023/01/06","27009","1","13062","12930","53002"
"2023/01/05","37536","54","42424","54430","134444"
"2023/01/04","18240","204256","22494","16228","261218"
"2023/01/03","24956","14142","9647","35118","83863"
"2023/01/02","30591","10470","8359","45406","94826"
"2022/12/29","13152","133","7820","4988","26093"
"2022/12/28","12210","730","13736","8923","35599"
"2022/12/27","22188","0","21300","518","44006"
"2022/12/26","31952","1","14224","1577","47754"
"2022/12/23","36749","1","11986","10483","59219"
"2022/12/22","47861","101","32054","17834","97850"
"2022/12/21","15295","3","12580","18628","46506"
"2022/12/20","29750","123","19572","7796","57241"
"2022/12/19","19982","1546","18223","22276","62027"
"2022/12/16","45615","101","11371","29193","86280"
"2022/12/15","28606","24","23807","16405","68842"
