일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","103","0","788","296","1187"
"2023/05/03","14","3","2613","22","2652"
"2023/05/02","49","1","2314","6","2370"
"2023/04/28","0","8","400","422","830"
"2023/04/27","137","0","11577","282","11996"
"2023/04/26","90","250","504","465","1309"
"2023/04/25","1","1","5333","478","5813"
"2023/04/24","219","0","1315","697","2231"
"2023/04/21","10","1","869","3767","4647"
"2023/04/20","296","1","4087","593","4977"
"2023/04/19","93","24","954","247","1318"
"2023/04/18","685",,"4065","891","5641"
"2023/04/17","115","68","4728","4370","9281"
"2023/04/14","323","589","6430","52","7394"
"2023/04/13","360","14","3951","40","4365"
"2023/04/12","23","12","2102","9","2146"
"2023/04/11","1443","1","6306","57","7807"
"2023/04/10","256","9","1431","6","1702"
"2023/04/07","3153",,"4181","62","7396"
"2023/04/06","965","567","1828","9","3369"
"2023/04/05","689","46","1542","0","2277"
"2023/04/04","578","38","1028","0","1644"
"2023/04/03","161","25","1960","65","2211"
"2023/03/31","16","26","6215","59","6316"
"2023/03/30","113","549","10832","125","11619"
"2023/03/29","52","22","9410","0","9484"
"2023/03/28","331","1562","2801","5","4699"
"2023/03/27","236","156","823","0","1215"
"2023/03/24","21","23","2703","0","2747"
"2023/03/23","122","14","1662","0","1798"
"2023/03/22","309","314","3376","0","3999"
"2023/03/21","95","91","1158","0","1344"
"2023/03/20","38","1","1717","341","2097"
"2023/03/17","618","0","8099","11","8728"
"2023/03/16","1651","0","5669","2","7322"
"2023/03/15","1183","2","24513","21","25719"
"2023/03/14","1124","2124","41828","106","45182"
"2023/03/10","772",,"8148","71","8991"
"2023/03/09","279","1","2900","27","3207"
"2023/03/08","663","1","5524","210","6398"
"2023/03/07","44","2","3114","864","4024"
"2023/03/06","1","1","4708","0","4710"
"2023/03/03","541","0","2171","1","2713"
"2023/03/02","118",,"6441","27","6586"
"2023/02/28","1830","184","999","1","3014"
"2023/02/27","318","21","2458","50","2847"
"2023/02/24","345","6","1203","0","1554"
"2023/02/23","131","27","4845","36","5039"
"2023/02/22","2244","1","3213","3","5461"
"2023/02/21","3","7","5343","73","5426"
"2023/02/20","1527","202","9697","16","11442"
"2023/02/17","152","1","4975","39","5167"
"2023/02/16","530","225","6125","103","6983"
"2023/02/15","2724","2","19191","110","22027"
"2023/02/14","321","2","4841","32","5196"
"2023/02/13","918","1","5122","32","6073"
"2023/02/10","1799",,"11797","3","13599"
"2023/02/09","244","0","12100","351","12695"
"2023/02/08","211",,"10622","1183","12016"
"2023/02/07","662",,"10672","586","11920"
"2023/02/06","651",,"10797","370","11818"
"2023/02/03","1938","1","12913","3114","17966"
"2023/02/02","884","133","96924","11076","109017"
"2023/02/01","11556","146","156854","10289","178845"
"2023/01/31","547","159","8211","2835","11752"
"2023/01/30","646",,"4045","36","4727"
"2023/01/27","256","4","1268","1","1529"
"2023/01/26","147","0","1112","9","1268"
"2023/01/25","231",,"3013",,"3244"
"2023/01/20","2925","3","1499","1","4428"
"2023/01/19","1793",,"1144","16","2953"
"2023/01/18","241","1","1194","0","1436"
"2023/01/17","92","2","798","71","963"
"2023/01/16","434",,"3111","28","3573"
"2023/01/13","496","2","1511","1","2010"
"2023/01/12","487","3","2683",,"3173"
"2023/01/11","113","4","2088","0","2205"
"2023/01/10","225","1","1579","1","1806"
"2023/01/09","164","1","819","0","984"
"2023/01/06","111","1","1364","0","1476"
"2023/01/05","16","3","858","35","912"
"2023/01/04","112","1","1594","1","1708"
"2023/01/03","134","3","911","0","1048"
"2023/01/02","1288","2","2349","22","3661"
"2022/12/29","614","2","1357","32","2005"
"2022/12/28","445","1","1420","0","1866"
"2022/12/27","1280","0","1187","900","3367"
"2022/12/26","591","3","4634","11","5239"
"2022/12/23","426","0","1035",,"1461"
"2022/12/22","4633","0","4466","30","9129"
"2022/12/21","267","1","646","0","914"
"2022/12/20","0","7","2235","1","2243"
"2022/12/19","1","14","1947","0","1962"
"2022/12/16","156","1","1775",,"1932"
"2022/12/15","280",,"1690","0","1970"
"2022/12/14","550",,"1287","0","1837"
"2022/12/13","68","0","216","0","284"
"2022/12/12","155","1","912","6","1074"
"2022/12/09","478",,"1145","0","1623"
"2022/12/08","241",,"3667","117","4025"
"2022/12/07","93",,"2410","0","2503"
"2022/12/06","574",,"2114","0","2688"
