일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","8559","4","10831","6960","26354"
"2023/05/03","3743","1","13607","1132","18483"
"2023/05/02","4962","1","8982","786","14731"
"2023/04/28","1878","1","5987","232","8098"
"2023/04/27","8871",,"5724","976","15571"
"2023/04/26","7508","202","8590","112","16412"
"2023/04/25","12279","100","32088","17865","62332"
"2023/04/24","13386","2035","33287","8594","57302"
"2023/04/21","20824","0","14703","1507","37034"
"2023/04/20","17783","0","26900","11462","56145"
"2023/04/19","15244","300","22760","4","38308"
"2023/04/18","12009","3079","18031","5477","38596"
"2023/04/17","12659","400","29068","5784","47911"
"2023/04/14","14582","100","16342","13530","44554"
"2023/04/13","50505",,"24869","6290","81664"
"2023/04/12","13537","50","20000","2629","36216"
"2023/04/11","8114","0","28490","3517","40121"
"2023/04/10","5399","2","8080","244","13725"
"2023/04/07","14289","0","14170","3254","31713"
"2023/04/06","6584","1","20912","1919","29416"
"2023/04/05","15133","0","14686","2863","32682"
"2023/04/04","18129",,"9890","2474","30493"
"2023/04/03","10293","2","9230","3246","22771"
"2023/03/31","19740","0","20462","10390","50592"
"2023/03/30","9612","701","17413","1809","29535"
"2023/03/29","6003","0","17150","425","23578"
"2023/03/28","16415","0","20999","5223","42637"
"2023/03/27","11954","0","29132","0","41086"
"2023/03/24","5910","1053","16221","27","23211"
"2023/03/23","11482","153","26539","1534","39708"
"2023/03/22","10106","9","13268","0","23383"
"2023/03/21","15311","6","14909","592","30818"
"2023/03/20","9175","1","23628","8","32812"
"2023/03/17","5882","601","11972","0","18455"
"2023/03/16","6543","149","4496","939","12127"
"2023/03/15","11338","0","4919","2272","18529"
"2023/03/14","9144","7","14433","1000","24584"
"2023/03/13","10777","1984","23835","1433","38029"
"2023/03/10","4910","0","18634","0","23544"
"2023/03/09","6142","1370","18053","2934","28499"
"2023/03/08","7302","0","25019","967","33288"
"2023/03/07","8676","0","28462","2762","39900"
"2023/03/06","17608","0","27656","1454","46718"
"2023/03/03","5860","4","9347","153","15364"
"2023/03/02","6746","0","11624","338","18708"
"2023/02/28","15218","502","10081","5332","31133"
"2023/02/27","6417","4","14454","758","21633"
"2023/02/24","18568",,"16017","4208","38793"
"2023/02/23","1872892","0","6206","0","1879098"
"2023/02/22","1867","100","3115","540","5622"
"2023/02/21","8096","135","17149","489","25869"
"2023/02/20","4732","1","24041","4324","33098"
"2023/02/17","9939","2991","23255","1505","37690"
"2023/02/16","13412","831","25442","258","39943"
"2023/02/15","13829","88","12377","1629","27923"
"2023/02/14","15134","1","27233","2876","45244"
"2023/02/13","12216",,"27943","1003","41162"
"2023/02/10","10198",,"16335","161","26694"
"2023/02/09","6118","1","12615","170","18904"
"2023/02/08","8277","1","18846","2152","29276"
"2023/02/07","21667","8","13725","283","35683"
"2023/02/06","20471","103","6191","605","27370"
"2023/02/03","6881","1","7238","316","14436"
"2023/02/02","8997","15","16453","2143","27608"
"2023/02/01","7942","0","5204","193","13339"
"2023/01/31","14020","1","26484","2949","43454"
"2023/01/30","11439","5","21962","3752","37158"
"2023/01/27","13930","1","17441","845","32217"
"2023/01/26","7324","2","12533","9228","29087"
"2023/01/25","11625","0","23401","2245","37271"
"2023/01/20","20708","100","30873","4160","55841"
"2023/01/19","8908",,"13257","13557","35722"
"2023/01/18","23429","1","25379","8030","56839"
"2023/01/17","27942","101","80902","8636","117581"
"2023/01/16","36659","2","19480","16086","72227"
"2023/01/13","11292","0","10532","307","22131"
