일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","5101","1309","3191","34","9635"
"2023/05/03","688","2172","13322","48","16230"
"2023/05/02","1757","0","9424","0","11181"
"2023/04/28","2704","2831","15260","15","20810"
"2023/04/27","1875","2","5138","0","7015"
"2023/04/26","2206","76","28987","48","31317"
"2023/04/25","11281","1","4451","0","15733"
"2023/04/24","1314","0","19493","2","20809"
"2023/04/21","3304","1500","26616","28","31448"
"2023/04/20","8199","1","14911","321","23432"
"2023/04/19","2321","0","15022","135","17478"
"2023/04/18","2135","1000","16881","28","20044"
"2023/04/17","2360","20","4139","0","6519"
"2023/04/14","5447","1","6825","0","12273"
"2023/04/13","3596","0","2715","15","6326"
"2023/04/12","2263","8","7159","14","9444"
"2023/04/11","6161","2","11507","78","17748"
"2023/04/10","2616","0","17472","22","20110"
"2023/04/07","860","0","8122","0","8982"
"2023/04/06","627","0","3768","0","4395"
"2023/04/05","1852","3502","16609","11","21974"
"2023/04/04","6939","3690","35648","307","46584"
"2023/04/03","3182","2085","7456","1","12724"
"2023/03/31","6196","11728","30862","388","49174"
"2023/03/30","156","1775","6039","57","8027"
"2023/03/29","1925","1845","1742","12","5524"
"2023/03/28","51","62","5190","0","5303"
"2023/03/27","233","0","8212","0","8445"
"2023/03/24","643","1900","2454","0","4997"
"2023/03/23","927","0","5357","0","6284"
"2023/03/22","1553","126","7418","0","9097"
"2023/03/21","1061","292","6400","0","7753"
"2023/03/20","1360","167","1020","0","2547"
"2023/03/17","3495","0","4112","0","7607"
"2023/03/16","420","1334","2911","0","4665"
"2023/03/15","2436","385","2250","0","5071"
"2023/03/14","255","6","11315","0","11576"
"2023/03/13","1012","116","6662","1","7791"
"2023/03/10","1193","1793","5781","17","8784"
"2023/03/09","2168","2","740","0","2910"
"2023/03/08","908","908","4241","0","6057"
"2023/03/07","6686","3801","10893","38","21418"
"2023/03/06","2886","703","4570","0","8159"
"2023/03/03","4086","3819","9314","0","17219"
"2023/03/02","2631","901","2556","16","6104"
"2023/02/28","8135","1277","5364","0","14776"
"2023/02/27","324","3720","5223","47","9314"
"2023/02/24","355","3147","2426","0","5928"
"2023/02/23","3268","6993","1709","1","11971"
"2023/02/22","5205","6649","6270","0","18124"
"2023/02/21","834","3167","4541","0","8542"
"2023/02/20","3480","1","9004","3","12488"
"2023/02/17","2569","1","3226","0","5796"
"2023/02/16","1575","2","6856","0","8433"
"2023/02/15","3668","112","7875","0","11655"
"2023/02/14","443","2","15741","0","16186"
"2023/02/13","3694","0","6542","11","10247"
"2023/02/10","1742","0","5742","114","7598"
"2023/02/09","11139","0","12357","59","23555"
"2023/02/08","7081","1","16578","0","23660"
"2023/02/07","3752","2","4436","0","8190"
"2023/02/06","5538","0","12340","399","18277"
"2023/02/03","8474","1","35373","272","44120"
"2023/02/02","4420","2106","10946","0","17472"
"2023/02/01","1348","1000","12926","0","15274"
"2023/01/31","352","1501","10733","20","12606"
"2023/01/30","2379","102","7802","0","10283"
"2023/01/27","5522","2002","4857","139","12520"
"2023/01/26","5444","0","16224","59","21727"
"2023/01/25","2771","4000","10627","0","17398"
"2023/01/20","7077","139","32096","1894","41206"
"2023/01/19","2190","0","4811","0","7001"
"2023/01/18","5399","1818","7545","0","14762"
"2023/01/17","3495","2","9606","15","13118"
"2023/01/16","2194","6131","4990","0","13315"
"2023/01/13","3817","1","5888","862","10568"
"2023/01/12","1290","340","12374","96","14100"
"2023/01/11","1958","2","3399","49","5408"
"2023/01/10","3692","1501","12493","402","18088"
"2023/01/09","4301","5192","16769","796","27058"
"2023/01/06","6284","2","14058","2418","22762"
"2023/01/05","4828","3","15251","3313","23395"
"2023/01/04","3509","2","7784","1468","12763"
"2023/01/03","1348","4","8460","1","9813"
"2023/01/02","3242","153","9941","21","13357"
"2022/12/29","4702","2","26511","13","31228"
"2022/12/28","982","301","37821","577","39681"
"2022/12/27","5688","0","3465","166","9319"
"2022/12/26","3813","2","8303","434","12552"
"2022/12/23","6299","1","15301","3427","25028"
"2022/12/22","6968","1","5089","3324","15382"
"2022/12/21","4825","3","13269","579","18676"
"2022/12/20","13334","1","41853","1183","56371"
"2022/12/19","13906","0","60432","4302","78640"
"2022/12/16","12748","0","4056","48","16852"
"2022/12/15","2614","191","5924","0","8729"
"2022/12/14","3285","0","8024","532","11841"
"2022/12/13","5389","1","7563","646","13599"
"2022/12/12","2646","0","10001","1089","13736"
"2022/12/09","4144","2","5984","8","10138"
"2022/12/08","16317","8","13576","181","30082"
"2022/12/07","11443","0","8424","0","19867"
"2022/12/06","15491","0","17644","1215","34350"
"2022/12/05","6675","0","6289","493","13457"
"2022/12/02","5659","16026","13181","947","35813"
"2022/12/01","29980","6396","30361","24202","90939"
"2022/11/30","9451","1112","17941","2304","30808"
"2022/11/29","10264","0","26896","9092","46252"
"2022/11/28","5998","1500","41153","993","49644"
"2022/11/25","47296","3500","27403","7332","85531"
"2022/11/24","5178","1000","5079","201","11458"
"2022/11/23","2628","400","5514","0","8542"
"2022/11/22","4020","1","21246","1619","26886"
"2022/11/21","19933","215","12771","94","33013"
"2022/11/18","5229","0","8609","145","13983"
"2022/11/17","9046","100","12950","105","22201"
"2022/11/16","6068","0","30063","6032","42163"
"2022/11/15","5402","0","17035","478","22915"
"2022/11/14","7635","3754","28803","418","40610"
"2022/11/11","26156","0","42483","9958","78597"
"2022/11/10","803","1017","23433","48","25301"
"2022/11/09","10607","0","19110","578","30295"
"2022/11/08","1631","1","23133","539","25304"
"2022/11/07","2078","1004","23358","2320","28760"
"2022/11/04","13607","2079","20163","0","35849"
"2022/11/03","1751","1000","12865","1594","17210"
"2022/11/02","463","0","14908","508","15879"
"2022/11/01","4821","1","20301","4089","29212"
"2022/10/31","2766","123","36335","14183","53407"
"2022/10/28","12199","1001","26473","5683","45356"
"2022/10/27","4988","2127","40061","33495","80671"
"2022/10/26","12645","6574","60957","29233","109409"
"2022/10/25","7489","894","30694","1578","40655"
"2022/10/24","11567","14112","46287","8365","80331"
"2022/10/21","8455","4","50651","270","59380"
"2022/10/20","19567","14923","80648","10598","125736"
"2022/10/19","9001","5001","42830","962","57794"
"2022/10/18","44251","2","24392","15519","84164"
"2022/10/17","6245","5000","36429","773","48447"
"2022/10/14","4052","6000","30002","1385","41439"
"2022/10/13","7101","11001","25113","404","43619"
"2022/10/12","427","1000","20990","254","22671"
"2022/10/11","9598","16404","70176","1200","97378"
"2022/10/07","2369","955","23659","212","27195"
"2022/10/06","5677","1000","32531","2186","41394"
"2022/10/05","24022","7778","41515","1053","74368"
"2022/10/04","14129","5301","33085","12732","65247"
"2022/09/30","2133","36","24741","470","27380"
"2022/09/29","2779","2001","16607","0","21387"
"2022/09/28","10809","14009","20071","9512","54401"
"2022/09/27","5706","10000","40200","2823","58729"
"2022/09/26","14438","15000","37780","4","67222"
"2022/09/23","6241","4009","16151","8","26409"
"2022/09/22","8114","8468","4961","30","21573"
"2022/09/21","2334","1020","4849","0","8203"
"2022/09/20","3743","5960","5819","758","16280"
"2022/09/19","3992","4004","15516","179","23691"
"2022/09/16","6284","0","10413","1002","17699"
"2022/09/15","2250","2914","12757","18","17939"
"2022/09/14","10087","2684","12117","464","25352"
"2022/09/13","9600","1","33180","2911","45692"
"2022/09/08","1004","9","18978","1102","21093"
"2022/09/07","1325","5004","14393","848","21570"
"2022/09/06","3327","0","5998","1003","10328"
"2022/09/05","2314","1001","13317","0","16632"
"2022/09/02","9325","2001","14195","4119","29640"
"2022/09/01","4199","1005","20040","565","25809"
"2022/08/31","1814","0","14843","1529","18186"
"2022/08/30","4818","1791","25795","184","32588"
"2022/08/29","3257","4170","22183","3227","32837"
"2022/08/26","6080","540","18342","0","24962"
"2022/08/25","14809","0","20008","771","35588"
"2022/08/24","4995","1001","19975","1132","27103"
"2022/08/23","11972","503","20261","6076","38812"
"2022/08/22","17495","5000","77169","9017","108681"
"2022/08/19","1118","0","36507","2140","39765"
"2022/08/18","6785","1477","59722","6416","74400"
"2022/08/17","22060","1","14642","81","36784"
"2022/08/16","2199","0","12045","58","14302"
"2022/08/12","18796","0","3261","5509","27566"
"2022/08/11","652","1","4149","1133","5935"
"2022/08/10","12009","0","33364","6125","51498"
"2022/08/09","18224","0","5671","3","23898"
"2022/08/08","24434","0","12699","3626","40759"
"2022/08/05","25630","4","5548","7595","38777"
"2022/08/04","25077","6058","58480","27387","117002"
"2022/08/03","48287","10567","27302","14598","100754"
"2022/08/02","32767","0","36695","1371","70833"
"2022/08/01","9064","1266","15708","5138","31176"
"2022/07/29","14505","1600","32946","9381","58432"
"2022/07/28","16401","10000","46541","32965","105907"
"2022/07/27","25693","5","35593","29340","90631"
"2022/07/26","14893","1115","46915","2056","64979"
"2022/07/25","17461",,"61526","15278","94265"
"2022/07/22","25690","3794","87553","3911","120948"
"2022/07/21","14963","10077","58191","277","83508"
"2022/07/20","3092","2197","31157","199","36645"
"2022/07/19","19441","3181","32434","2540","57596"
"2022/07/18","3666","5695","9251","6","18618"
"2022/07/15","15063","1","25961","3302","44327"
"2022/07/14","6201",,"31507","418","38126"
"2022/07/13","1407","0","9046","66","10519"
"2022/07/12","14804","2877","38144","6124","61949"
"2022/07/11","14429","6040","17638","248","38355"
"2022/07/08","10255","910","6474","8","17647"
"2022/07/07","15198","5300","13555","6260","40313"
"2022/07/06","18740","4000","17639","4830","45209"
"2022/07/05","3061","2200","29710","15532","50503"
"2022/07/04","8575","5","62192","2173","72945"
"2022/07/01","6085","2002","48761","3271","60119"
"2022/06/30","5892","4575","22769","459","33695"
"2022/06/29","12058","14227","15921","8169","50375"
"2022/06/28","29862","18993","22777","2575","74207"
"2022/06/27","19028","17058","45661","1537","83284"
"2022/06/24","14854","16276","27727","3737","62594"
"2022/06/23","12939","14838","21782","9218","58777"
"2022/06/22","27025","101","66531","19257","112914"
"2022/06/21","11905","0","43933","7915","63753"
"2022/06/20","9953","103","49339","4294","63689"
"2022/06/17","13820","15256","35724","1064","65864"
"2022/06/16","8618","1032","40395","21","50066"
"2022/06/15","13646","32064","13217","9405","68332"
"2022/06/14","17373","3","24473","16607","58456"
"2022/06/13","20501","100","18002","1980","40583"
"2022/06/10","5081","10","15138","2677","22906"
"2022/06/09","17211","0","18177","3890","39278"
"2022/06/08","7068","0","10355","1926","19349"
"2022/06/07","5280","0","9312","2994","17586"
"2022/06/03","8387","3","11074","137","19601"
"2022/06/02","10279","0","8727","0","19006"
"2022/05/31","10661","3","6375","11805","28844"
"2022/05/30","9821","4","2323","0","12148"
"2022/05/27","4964","1200","16440","4","22608"
"2022/05/26","15821","5","25173","5302","46301"
"2022/05/25","15595","1","10969","9691","36256"
"2022/05/24","11035","5","3786","585","15411"
"2022/05/23","5357","5","28058","2101","35521"
"2022/05/20","1659","6","11039","843","13547"
"2022/05/19","2976","10","9388","1744","14118"
"2022/05/18","31618","55","36691","12257","80621"
"2022/05/17","35674","7009","32914","967","76564"
"2022/05/16","9916","1","8757","20","18694"
"2022/05/13","14268","5024","12555","1273","33120"
"2022/05/12","16082","2","18058","1804","35946"
"2022/05/11","3574","7","6303","0","9884"
"2022/05/10","12180","2332","24416","29631","68559"
"2022/05/09","6420","1668","9587","783","18458"
"2022/05/06","4442","689","9207","2353","16691"
"2022/05/04","8869","5314","21038","3200","38421"
"2022/05/03","20179","1896","36368","0","58443"
"2022/05/02","15606",,"5727","6737","28070"
"2022/04/29","23729","0","14659","961","39349"
"2022/04/28","38461",,"36608","9170","84239"
"2022/04/27","14301","1371","14560","10743","40975"
"2022/04/26","19906","0","16052","7308","43266"
"2022/04/25","15568","0","27614","17937","61119"
"2022/04/22","19954","255","19429","6343","45981"
"2022/04/21","19673","0","19752","8857","48282"
"2022/04/20","14223","0","7407","7944","29574"
"2022/04/19","9469","2139","22311","7488","41407"
"2022/04/18","22094","2839","147326","15406","187665"
"2022/04/15","15561","0","47275","22266","85102"
"2022/04/14","22080","4000","41561","8044","75685"
"2022/04/13","50258","0","40270","3591","94119"
"2022/04/12","13791","0","18331","3521","35643"
"2022/04/11","21583","1411","19361","2487","44842"
"2022/04/08","16337","1966","23977","6460","48740"
"2022/04/07","10459","0","19221","1288","30968"
"2022/04/06","39031","3291","16030","113","58465"
"2022/04/05","24826","4289","39232","7675","76022"
"2022/04/04","23262","3337","38608","19720","84927"
"2022/04/01","9579","0","9396","2756","21731"
"2022/03/31","12159","252","10952","2222","25585"
"2022/03/30","4402","3262","13998","1","21663"
"2022/03/29","2474","3002","14107","0","19583"
"2022/03/28","9307","5854","17612","35","32808"
"2022/03/25","4507","3417","18900","68","26892"
"2022/03/24","6342","874","3961","5","11182"
"2022/03/23","8370","14785","14699","1","37855"
"2022/03/22","15744","10","4789","21","20564"
"2022/03/21","11243","385","5810","4","17442"
"2022/03/18","1966","11067","9123","4178","26334"
"2022/03/17","3851","5214","10719","62","19846"
"2022/03/16","15584","2325","23507","0","41416"
"2022/03/15","23375","828","12912","2588","39703"
"2022/03/14","13730","1904","28331","27401","71366"
"2022/03/11","12910","8979","24554","19066","65509"
"2022/03/10","2658","1897","8205","0","12760"
"2022/03/08","585","1445","7011","69","9110"
"2022/03/07","15212","1623","22362","8979","48176"
"2022/03/04","11869","1810","12449","3211","29339"
"2022/03/03","3632","1140","12090","0","16862"
"2022/03/02","7557","3951","11130","131","22769"
"2022/02/28","9586","23","11422","1232","22263"
"2022/02/25","363","3","3186","1536","5088"
"2022/02/24","17313","0","14886","5148","37347"
"2022/02/23","2775","20","19734","8698","31227"
"2022/02/22","12094","10","9734","120","21958"
"2022/02/21","6839","13","9302","3218","19372"
"2022/02/18","19941","0","5562","4999","30502"
"2022/02/17","51071","10","5523","6541","63145"
"2022/02/16","30385","10","4362","20718","55475"
"2022/02/15","22154","1","4365","9291","35811"
"2022/02/14","14274","24","5445","11683","31426"
"2022/02/11","26207","0","8533","5201","39941"
"2022/02/10","27706","30","13504","10175","51415"
"2022/02/09","26479","50","16597","10872","53998"
"2022/02/08","39927","1","2769","5586","48283"
"2022/02/07","31930","21","16244","14126","62321"
"2022/02/04","4440","20","6438","3320","14218"
"2022/02/03","6349","53","31993","6785","45180"
"2022/01/28","7249","0","6989","2490","16728"
"2022/01/27","10546","0","12537","6213","29296"
"2022/01/26","11966","26","3043","11958","26993"
"2022/01/25","14801","2159","62444","3478","82882"
"2022/01/24","18241","0","24101","6704","49046"
"2022/01/21","7399",,"22027","3161","32587"
"2022/01/20","10302","500","18643","2889","32334"
"2022/01/19","17621","1","17325","875","35822"
"2022/01/18","14290","1000","35409","11604","62303"
"2022/01/17","13645","1","27991","1701","43338"
"2022/01/14","293","0","4213","867","5373"
"2022/01/13","15260","500","4587","3612","23959"
"2022/01/12","12178","1001","37688","3151","54018"
"2022/01/11","2721","2","18448","223","21394"
"2022/01/10","8250","1","40527","6671","55449"
"2022/01/07","2394",,"36876","587","39857"
"2022/01/06","15685","500","26068","5269","47522"
"2022/01/05","13003","0","25618","4216","42837"
"2022/01/04","19149","0","22029","0","41178"
"2022/01/03","10153","0","38332","391","48876"
"2021/12/30","2868","3123","31816","265","38072"
"2021/12/29","3769","1000","36382","1927","43078"
"2021/12/28","7125","5000","91513","16952","120590"
"2021/12/27","25632","16276","31543","12490","85941"
"2021/12/24","16737","3385","34520","4658","59300"
"2021/12/23","13741","4957","10916",,"29614"
"2021/12/22","3885","3991","2634","1","10511"
"2021/12/21","9076","8","3394","10","12488"
"2021/12/20","9384","1","37648","661","47694"
"2021/12/17","3486","2000","26519","278","32283"
"2021/12/16","13340",,"12307","721","26368"
"2021/12/15","1919","25","8324","615","10883"
"2021/12/14","10367","1000","13808","387","25562"
"2021/12/13","105968",,"15321","4440","125729"
"2021/12/10","17712","1","21343","0","39056"
"2021/12/09","5766",,"23968","0","29734"
"2021/12/08","9021","1000","8280","1081","19382"
"2021/12/07","6702","1","15383","660","22746"
"2021/12/06","22932","2237","45383","198","70750"
"2021/12/03","34363","2000","19808","2683","58854"
"2021/12/02","15207","2","28643","542","44394"
