일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","15618","447","11626","90","27781"
"2023/05/03","1787","116","12307","643","14853"
"2023/05/02","1100","171","5497","985","7753"
"2023/04/28","9247","171","11866","74","21358"
"2023/04/27","5341","170","7378","0","12889"
"2023/04/26","17255","431","4251","1289","23226"
"2023/04/25","998","172","5703","0","6873"
"2023/04/24","27201","168","22701","4212","54282"
"2023/04/21","13057","469","4772","3724","22022"
"2023/04/20","17352","169","3050","8099","28670"
"2023/04/19","12407","1188","11011","806","25412"
"2023/04/18","14173","466","45175","6941","66755"
"2023/04/17","10767","517","4981","7013","23278"
"2023/04/14","12334","173","12906","8286","33699"
"2023/04/13","5776","175","4224","0","10175"
"2023/04/12","16334","173","10348","50","26905"
"2023/04/11","10444","874","8661","3983","23962"
"2023/04/10","2248","874","26353","0","29475"
"2023/04/07","10708","432","4813","3811","19764"
"2023/04/06","13974","391","7379","126","21870"
"2023/04/05","55318","650","9331","2795","68094"
"2023/04/04","1868","91","5336","3273","10568"
"2023/04/03","5519","2195","7427","13375","28516"
"2023/03/31","4703","0","16662","1022","22387"
"2023/03/30","1938","1","11396","301","13636"
"2023/03/29","3526","0","17853","0","21379"
"2023/03/28","11320","155","10981","4328","26784"
"2023/03/27","20358","1270","36431","450","58509"
"2023/03/24","1186","175","17456","11","18828"
"2023/03/23","10470","501","17106","6249","34326"
"2023/03/22","4426","2224","8895","15","15560"
"2023/03/21","2509","229","10591","100","13429"
"2023/03/20","3332","13134","55938","4107","76511"
"2023/03/17","8154","134","20871","423","29582"
"2023/03/16","5276","66","11900","1939","19181"
"2023/03/15","4939","430","2894","1085","9348"
"2023/03/14","12235","268","20337","2684","35524"
"2023/03/13","4880","196","12923","339","18338"
"2023/03/10","2301","128","5742","0","8171"
"2023/03/09","1249","146","4955","0","6350"
"2023/03/08","11086","166","3484","0","14736"
"2023/03/07","13814","1126","10989","2878","28807"
"2023/03/06","18143","120","18967","548","37778"
"2023/03/03","12006","3","6976","3324","22309"
"2023/03/02","18936","480","37841","231","57488"
"2023/02/28","924","156","5146","0","6226"
"2023/02/27","3805","256","21652","2043","27756"
"2023/02/24","6210","1184","59312","1921","68627"
"2023/02/23","169","135","34142","3525","37971"
"2023/02/22","692","135","16922","0","17749"
"2023/02/21","9154","260","15459","0","24873"
"2023/02/20","5307","140","12845","289","18581"
"2023/02/17","3844","120","23666","11825","39455"
"2023/02/16","3148","124","9214","980","13466"
"2023/02/15","7067","92","24302","71","31532"
"2023/02/14","2852","4","24794","1222","28872"
"2023/02/13","7428","4","23598","792","31822"
"2023/02/10","4242","4","6598","1","10845"
"2023/02/09","3016","1","24979","696","28692"
"2023/02/08","5968","155","11752","3120","20995"
"2023/02/07","3043","0","13073","964","17080"
"2023/02/06","6200","1","6781","185","13167"
"2023/02/03","15276","1","34156","2632","52065"
"2023/02/02","7834","209","7518","3554","19115"
"2023/02/01","12260",,"13778","411","26449"
"2023/01/31","10812","51","24348","2319","37530"
"2023/01/30","10109","1466","23086","4478","39139"
"2023/01/27","807","2003","29607","1171","33588"
"2023/01/26","2756","41","21679","0","24476"
"2023/01/25","3320","100","33593","4076","41089"
"2023/01/20","11122","391","27868","9411","48792"
"2023/01/19","3408","3321","11892","965","19586"
"2023/01/18","17639","4915","29770","8479","60803"
"2023/01/17","16681","10851","10689","3994","42215"
"2023/01/16","38117","704","61413","6972","107206"
"2023/01/13","17562","400","20555","7665","46182"
"2023/01/12","32420","400","14592","5622","53034"
"2023/01/11","14292","401","7976","1072","23741"
"2023/01/10","10322","527","15219","466","26534"
"2023/01/09","9320","402","17580","4184","31486"
"2023/01/06","27769","400","5400","175","33744"
"2023/01/05","45913","404","9916","3703","59936"
"2023/01/04","10982","402","10047","2395","23826"
"2023/01/03","5963","401","16621","390","23375"
"2023/01/02","9914","401","18403","121","28839"
"2022/12/29","14453","404","5110","427","20394"
"2022/12/28","21169","401","7270","604","29444"
"2022/12/27","4167","400","6453","79","11099"
"2022/12/26","8241","402","3792","268","12703"
"2022/12/23","13757","402","12089","2945","29193"
"2022/12/22","10603","401","5431","2522","18957"
"2022/12/21","7872","401","11249","1537","21059"
"2022/12/20","14373","2401","15270","951","32995"
"2022/12/19","10073","3","11456","250","21782"
"2022/12/16","14543",,"6054","16382","36979"
"2022/12/15","3419","0","3283","254","6956"
"2022/12/14","482","1","12276","1187","13946"
"2022/12/13","12985","221","7270","109","20585"
"2022/12/12","11256","338","5921","0","17515"
"2022/12/09","7752","1","11416","610","19779"
"2022/12/08","11310","7","7087","857","19261"
"2022/12/07","13305","2","8130","926","22363"
"2022/12/06","13010","0","25816","3495","42321"
"2022/12/05","2921","0","10151","510","13582"
"2022/12/02","5096","0","26214","2817","34127"
"2022/12/01","1948","0","15319","1108","18375"
"2022/11/30","3010","0","8896","1394","13300"
"2022/11/29","4322","0","10992","644","15958"
"2022/11/28","7772","0","16126","133","24031"
"2022/11/25","7599","223","14086","1196","23104"
"2022/11/24","6615","0","8286","997","15898"
"2022/11/23","2274","4","6627","559","9464"
"2022/11/22","18738","69","36132","13077","68016"
"2022/11/21","9108","0","3958","0","13066"
"2022/11/18","10434","2","4108","105","14649"
"2022/11/17","13539","1","3978","509","18027"
"2022/11/16","10473","4300","5286","45","20104"
"2022/11/15","9168","1","2891","0","12060"
"2022/11/14","3124","0","5049","151","8324"
"2022/11/11","35538",,"17223","19047","71808"
"2022/11/10","6456","64","6621","0","13141"
"2022/11/09","8314",,"4047","1489","13850"
"2022/11/08","2539","9943","17986","5409","35877"
"2022/11/07","5317","1136","8949","3263","18665"
"2022/11/04","11419","718","8086","702","20925"
"2022/11/03","8741","2","9573","23","18339"
"2022/11/02","6509","192","4784","4182","15667"
"2022/11/01","9288",,"7095","733","17116"
"2022/10/31","8328","1421","11626","1362","22737"
"2022/10/28","14604","6490","19517","5537","46148"
"2022/10/27","17722","5221","29837","4211","56991"
"2022/10/26","40073","2526","31186","22951","96736"
"2022/10/25","10394","0","6817","5259","22470"
"2022/10/24","24957","1251","23716","8647","58571"
"2022/10/21","18332","0","23042","2360","43734"
"2022/10/20","8264","1149","12377","22741","44531"
"2022/10/19","22102","6754","24533","3669","57058"
"2022/10/18","16045","2517","25822","2633","47017"
"2022/10/17","9677","1","44470","241","54389"
"2022/10/14","10051","899","27231","6434","44615"
"2022/10/13","10071","6","22946","22461","55484"
