일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","91551","2023","147010","9613","250197"
"2023/05/03","43828","43269","177598","8135","272830"
"2023/05/02","28524","98460","193810","7027","327821"
"2023/04/28","26287","22278","112700","92837","254102"
"2023/04/27","49325","77849","82165","31771","241110"
"2023/04/26","43654","20006","174619","48382","286661"
"2023/04/25","35665","105","220017","22061","277848"
"2023/04/24","93922","15508","215428","2427","327285"
"2023/04/21","97852","191","319166","2148","419357"
"2023/04/20","62970","2","196794","43674","303440"
"2023/04/19","79774","221","236007","16425","332427"
"2023/04/18","58955","4600","196745","83342","343642"
"2023/04/17","74891","352","120703","50688","246634"
"2023/04/14","69091","37078","251008","199054","556231"
"2023/04/13","77638","0","180214","34487","292339"
"2023/04/12","47443","18106","93415","22163","181127"
"2023/04/11","70933","21000","125776","32694","250403"
"2023/04/10","76400","10279","158271","11559","256509"
"2023/04/07","22030","7280","70654","12904","112868"
"2023/04/06","71090","22","84392","13140","168644"
"2023/04/05","100054","10001","112435","4924","227414"
"2023/04/04","45320","13756","74744","72467","206287"
"2023/04/03","110152","8465","75703","46234","240554"
"2023/03/31","134480","1690","93607","75995","305772"
"2023/03/30","67974","5001","120796","8409","202180"
"2023/03/29","81458","13090","80927","1439","176914"
"2023/03/28","33905","12313","146588","46106","238912"
"2023/03/27","112129","86572","349139","38576","586416"
"2023/03/24","21161","0","148156","12967","182284"
"2023/03/23","51137","14760","171601","35303","272801"
"2023/03/22","102827","10123","187865","390","301205"
"2023/03/21","67514","7398","184180","33280","292372"
"2023/03/20","27739","20000","145311","8563","201613"
"2023/03/17","63068","37596","91936","140869","333469"
"2023/03/16","44089","37018","49872","11833","142812"
"2023/03/15","50937","80211","91337","10339","232824"
"2023/03/14","92365","3420","210258","31487","337530"
"2023/03/13","57739","5003","216545","64877","344164"
"2023/03/10","148081","7850","198554","2678","357163"
"2023/03/09","36274","0","143226","2881","182381"
"2023/03/08","39756","1810","155167","3011","199744"
"2023/03/07","73242","3000","161626","47920","285788"
"2023/03/06","88823","5060","119441","32264","245588"
"2023/03/03","45664","443","113181","2977","162265"
"2023/03/02","73408","2915","258582","19105","354010"
"2023/02/28","51098","24593","169655","43191","288537"
"2023/02/27","35426","5052","159791","40925","241194"
"2023/02/24","58846","0","55943","18086","132875"
"2023/02/23","65345","15","108875","3203","177438"
"2023/02/22","42247","26","63781","3027","109081"
"2023/02/21","34603","313","88960","8354","132230"
"2023/02/20","33404","44278","105686","32009","215377"
"2023/02/17","25285","1","84163","20690","130139"
"2023/02/16","78731","732","138032","16389","233884"
"2023/02/15","51294","4007","111981","978","168260"
"2023/02/14","64898","3","159808","9011","233720"
"2023/02/13","43611","5986","274113","11164","334874"
"2023/02/10","29960","31","103788","4066","137845"
"2023/02/09","11554","380","97318","17540","126792"
"2023/02/08","30352","0","79855","23214","133421"
"2023/02/07","52604","33125","87293","2601","175623"
"2023/02/06","77637","136","138847","16774","233394"
"2023/02/03","74379","3180","164894","143217","385670"
"2023/02/02","94313","225","117798","68628","280964"
"2023/02/01","36657","0","198951","16724","252332"
"2023/01/31","120531","3002","234817","33708","392058"
"2023/01/30","68810","21502","171797","47828","309937"
"2023/01/27","93720","33859","324062","43412","495053"
"2023/01/26","60521","18819","346370","24936","450646"
"2023/01/25","70318","106960","357354","29584","564216"
"2023/01/20","80307","40002","136301","30326","286936"
"2023/01/19","89925","1611","163923","30802","286261"
"2023/01/18","115060","199","156695","29957","301911"
"2023/01/17","117537","200","130342","43330","291409"
"2023/01/16","112102","1225","242509","107098","462934"
"2023/01/13","95422","201","153384","110728","359735"
"2023/01/12","68838","1","111337","84127","264303"
"2023/01/11","89728","3002","113019","36552","242301"
"2023/01/10","59502","36936","147573","74005","318016"
"2023/01/09","68444","38895","174208","51215","332762"
"2023/01/06","92117","1001","138413","75090","306621"
"2023/01/05","42697","102","144822","2768","190389"
"2023/01/04","26807","3","118368","11755","156933"
"2023/01/03","42262","80295","119168","12242","253967"
"2023/01/02","30564","33054","96152","19867","179637"
"2022/12/29","32300","5850","159534","2992","200676"
"2022/12/28","89478","14646","428755","59826","592705"
"2022/12/27","282374","40105","462849","16911","802239"
"2022/12/26","322315","27962","283674","17839","651790"
"2022/12/23","147975","2","113167","49516","310660"
"2022/12/22","286501","1","102000","141142","529644"
"2022/12/21","168066","21601","190907","42570","423144"
"2022/12/20","171171","10501","262345","18045","462062"
"2022/12/19","111859","4551","113475","35390","265275"
"2022/12/16","152056","9041","136768","222940","520805"
"2022/12/15","163667","29305","73726","24991","291689"
"2022/12/14","152367","7145","174360","40456","374328"
"2022/12/13","93203","4","125216","8498","226921"
"2022/12/12","69198","1","80993","27599","177791"
"2022/12/09","117084","17","69996","20900","207997"
"2022/12/08","51036","2191","97673","9168","160068"
"2022/12/07","30753","1242","112052","13440","157487"
"2022/12/06","121426","2500","113314","30678","267918"
"2022/12/05","50164","5538","130511","1908","188121"
"2022/12/02","60018","2953","92197","34655","189823"
