일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1134","0","30516","6254","37904"
"2023/05/03","594","0","66054","12059","78707"
"2023/05/02","340","35","38849","6810","46034"
"2023/04/28","3605","1","67166","934","71706"
"2023/04/27","14874","0","129976","13048","157898"
"2023/04/26","7810","7679","116219","10793","142501"
"2023/04/25","449","304916","86879","7827","400071"
"2023/04/24","2239","5100","97911","9","105259"
"2023/04/21","14766","2","117302","337","132407"
"2023/04/20","6367","0","98089","2073","106529"
"2023/04/19","12957","0","547669","31142","591768"
"2023/04/18","6668","674965","219202","3040","903875"
"2023/04/17","50358","0","232297","11496","294151"
"2023/04/14","1126","18316","174967","3291","197700"
"2023/04/13","1314","0","82827","1634","85775"
"2023/04/12","19888","0","58277","2327","80492"
"2023/04/11","5803","0","104189","1189","111181"
"2023/04/10","25361","0","91958","64","117383"
"2023/04/07","242","100","71718","1797","73857"
"2023/04/06","3413","0","123737","0","127150"
"2023/04/05","2273","0","82410","25","84708"
"2023/04/04","1817","0","54203","1066","57086"
"2023/04/03","392","553","46129","411","47485"
"2023/03/31","995","0","278411","2034","281440"
"2023/03/30","1266","0","67245","1460","69971"
"2023/03/29","477","0","87339","2286","90102"
"2023/03/28","646","1","32360","0","33007"
"2023/03/27","8512","0","42340","341","51193"
"2023/03/24","462","1","139501","284","140248"
"2023/03/23","31948","0","77563","0","109511"
"2023/03/22","6714","0","34085","12","40811"
"2023/03/21","628","1","27173","64","27866"
"2023/03/20","4039","1","37193","182","41415"
"2023/03/17","4152","3","43309","0","47464"
"2023/03/16","7782","0","79813","0","87595"
"2023/03/15","24125","1","56753","8","80887"
"2023/03/14","1792","8","128890","650","131340"
"2023/03/13","3456","2","113744","35","117237"
"2023/03/10","758","0","49766","142","50666"
"2023/03/09","7025","8","124665","3753","135451"
"2023/03/08","1475","0","74769","204","76448"
"2023/03/07","11261","2","98917","117","110297"
"2023/03/06","472","1","75405","0","75878"
"2023/03/03","806","0","40010","1","40817"
"2023/03/02","4868","572","38746","2","44188"
"2023/02/28","436","3","21135","0","21574"
"2023/02/27","4008","1","60262","207","64478"
"2023/02/24","4730","0","49035","0","53765"
"2023/02/23","3056","0","77633","128","80817"
"2023/02/22","555","1","114819","367","115742"
"2023/02/21","545","0","29640","0","30185"
