일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","97779","139","9132","7599","114649"
"2023/05/03","7661","7208","11016","8927","34812"
"2023/05/02","10706","1200","13532","3384","28822"
"2023/04/28","24178","0","13594","6913","44685"
"2023/04/27","4493","0","10454","18785","33732"
"2023/04/26","4864","0","24784","9130","38778"
"2023/04/25","3088","0","29679","12824","45591"
"2023/04/24","42443","55","40681","4100","87279"
"2023/04/21","37407","0","56076","6536","100019"
"2023/04/20","19571","2500","19541","3168","44780"
"2023/04/19","128950","2500","29909","14050","175409"
"2023/04/18","60560","0","20982","11572","93114"
"2023/04/17","46789","252","32014","7776","86831"
"2023/04/14","112356","0","21420","3452","137228"
"2023/04/13","104090","44","17571","4538","126243"
"2023/04/12","127722","0","50010","5822","183554"
"2023/04/11","107316","0","16412","11448","135176"
"2023/04/10","118747","3048","27906","8965","158666"
"2023/04/07","128333","0","11455","15404","155192"
"2023/04/06","131602","0","5229","6879","143710"
"2023/04/05","137249","0","13284","17878","168411"
"2023/04/04","8903","0","5171","4560","18634"
"2023/04/03","16931","2991","12970","4608","37500"
"2023/03/31","26982","70","18401","6062","51515"
"2023/03/30","19842","0","14211","8894","42947"
"2023/03/29","29654","70","13905","11938","55567"
"2023/03/28","41212","2000","49053","14509","106774"
"2023/03/27","54183","0","43822","16886","114891"
"2023/03/24","21174","0","12980","7357","41511"
"2023/03/23","19759","0","12664","8809","41232"
"2023/03/22","11502","0","5556","2331","19389"
"2023/03/21","13359","0","3550","3630","20539"
"2023/03/20","12503","4550","9003","793","26849"
"2023/03/17","14816","301","5094","9","20220"
"2023/03/16","20112","0","16427","6657","43196"
"2023/03/15","129511","0","6919","6801","143231"
"2023/03/14","11885","0","23157","13404","48446"
"2023/03/13","11022","0","5991","11955","28968"
"2023/03/10","4449","229","9765","4764","19207"
"2023/03/09","7432","230","10589","5252","23503"
"2023/03/08","8738","0","13476","5408","27622"
"2023/03/07","8362","2511","7547","3589","22009"
"2023/03/06","26501","0","8851","4757","40109"
"2023/03/03","29579","0","5479","11459","46517"
"2023/03/02","7047","0","20183","9518","36748"
"2023/02/28","11508","0","9153","6705","27366"
"2023/02/27","13789","0","14479","10631","38899"
"2023/02/24","1780","0","23735","7483","32998"
"2023/02/23","6091","0","5878","7304","19273"
"2023/02/22","2068","0","10849","5078","17995"
"2023/02/21","2053","135","14560","2779","19527"
"2023/02/20","4992","136","10536","2840","18504"
"2023/02/17","4238",,"7512","1723","13473"
"2023/02/16","4456","0","7755","2318","14529"
"2023/02/15","12078","1787","13858","7473","35196"
"2023/02/14","7701","4372","16491","6557","35121"
"2023/02/13","16343","0","7044","7341","30728"
"2023/02/10","12704","0","15709","12859","41272"
"2023/02/09","9694","0","8929","3696","22319"
"2023/02/08","52640","2","22580","8916","84138"
"2023/02/07","37112","0","11725","1775","50612"
"2023/02/06","21752","0","5542","2928","30222"
"2023/02/03","124879","0","10869","981","136729"
"2023/02/02","47730","2518","8244","991","59483"
"2023/02/01","43026","3721","13597","3018","63362"
"2023/01/31","50439","3556","11049","1375","66419"
"2023/01/30","37197","900","20601","3646","62344"
"2023/01/27","32309","2994","5598","3376","44277"
"2023/01/26","29683","1253","9618","2027","42581"
"2023/01/25","40840","7897","5588","3570","57895"
"2023/01/20","33541","1250","6280","2245","43316"
"2023/01/19","37177","10385","3092","6669","57323"
"2023/01/18","18495","9270","5003","1904","34672"
"2023/01/17","19555","515","6744","4761","31575"
"2023/01/16","28881","1554","15830","2815","49080"
"2023/01/13","23392","465","19597","1723","45177"
"2023/01/12","23081","0","4789","1424","29294"
"2023/01/11","26261",,"4048","2836","33145"
"2023/01/10","18695",,"5406","2974","27075"
"2023/01/09","15284",,"11016","7659","33959"
"2023/01/06","34112","1962","23470","3750","63294"
"2023/01/05","25699","3729","39775","11210","80413"
"2023/01/04","13266","0","23004","810","37080"
"2023/01/03","12019","70","7740","3614","23443"
"2023/01/02","20683","0","14178","2502","37363"
"2022/12/29","9582","0","7766","4224","21572"
"2022/12/28","12034","0","3744","1535","17313"
"2022/12/27","11038","8039","7075","263","26415"
"2022/12/26","1934","1576","20423","2792","26725"
"2022/12/23","11658","0","10671","3852","26181"
"2022/12/22","9229","0","4830","1363","15422"
"2022/12/21","7959","0","8985","1138","18082"
"2022/12/20","38637","2604","12465","5334","59040"
"2022/12/19","25578","0","6273","3111","34962"
"2022/12/16","42102","0","6565","2052","50719"
"2022/12/15","53857","0","4562","1121","59540"
"2022/12/14","26002","5747","13971","574","46294"
"2022/12/13","15557","0","8924","1101","25582"
"2022/12/12","24924","0","5064","174","30162"
"2022/12/09","36829","0","4224","184","41237"
"2022/12/08","20913","0","2265","2928","26106"
"2022/12/07","16623","11017","2732","1262","31634"
"2022/12/06","22910","0","8858","626","32394"
"2022/12/05","16359","2317","6258","2943","27877"
"2022/12/02","28247","0","13136","4947","46330"
"2022/12/01","23678","0","30395","12744","66817"
"2022/11/30","15177","17","27491","4984","47669"
"2022/11/29","5221","1303","6673","3254","16451"
"2022/11/28","18713","119","8621","11646","39099"
"2022/11/25","33114","0","7221","4179","44514"
"2022/11/24","15630","0","11434","1858","28922"
"2022/11/23","13272","5","1344","2292","16913"
"2022/11/22","8109","0","4833","2544","15486"
"2022/11/21","14080","500","1357","7156","23093"
"2022/11/18","22114","124","2182","5099","29519"
"2022/11/17","12154","0","3444","8481","24079"
"2022/11/16","13004","3214","4711","7347","28276"
"2022/11/15","14509","0","6277","12559","33345"
"2022/11/14","16269","0","9141","5060","30470"
"2022/11/11","71706","1550","127582","57482","258320"
"2022/11/10","14380","150","21480","6006","42016"
"2022/11/09","22409","3","7046","2752","32210"
"2022/11/08","60505","0","12421","3847","76773"
"2022/11/07","70774","1530","26272","6849","105425"
"2022/11/04","4887",,"4352","2027","11266"
"2022/11/03","5988","0","2076","878","8942"
"2022/11/02","17332","0","7396","2544","27272"
"2022/11/01","27326","0","6234","954","34514"
"2022/10/31","24093","0","3916","3736","31745"
"2022/10/28","15348","0","3484","8725","27557"
"2022/10/27","17808",,"14815","5906","38529"
"2022/10/26","9543","100","5305","4544","19492"
"2022/10/25","35582","95","6380","4426","46483"
"2022/10/24","29737","405","7884","2545","40571"
"2022/10/21","60416","44","9505","7561","77526"
"2022/10/20","48597","825","12483","12544","74449"
"2022/10/19","78943","3211","14997","7604","104755"
"2022/10/18","172275","1100","37671","7491","218537"
"2022/10/17","97627","360","7457","5279","110723"
"2022/10/14","80583","0","17453","12007","110043"
"2022/10/13","103969","0","27382","14925","146276"
"2022/10/12","64794","4340","31886","14232","115252"
"2022/10/11","17388","893","24274","1409","43964"
"2022/10/07","30520","20038","8746","3252","62556"
"2022/10/06","38707","60","14778","6858","60403"
"2022/10/05","22397","15941","17491","777","56606"
"2022/10/04","40577","0","34314","1510","76401"
"2022/09/30","60689","0","24276","3753","88718"
"2022/09/29","40903","702","12350","4912","58867"
"2022/09/28","274738","9593","63034","32587","379952"
"2022/09/27","22215","6205","29858","1587","59865"
"2022/09/26","20677","100","36333","2039","59149"
"2022/09/23","17794","0","60541","199","78534"
"2022/09/22","6663","0","16039","13","22715"
"2022/09/21","14255","0","17235","1674","33164"
"2022/09/20","23390","0","13767","2382","39539"
"2022/09/19","19767","0","62705","1613","84085"
"2022/09/16","19452","0","25849","6276","51577"
"2022/09/15","4363","0","7164","1014","12541"
"2022/09/14","12394","0","13761","194","26349"
"2022/09/13","3485","0","13991","307","17783"
"2022/09/08","2872","0","17250","13","20135"
"2022/09/07","4385","0","18389","389","23163"
"2022/09/06","697","0","9436","3","10136"
"2022/09/05","727","0","26282","37","27046"
"2022/09/02","6849","0","5849","1067","13765"
"2022/09/01","9146","200","13586","471","23403"
"2022/08/31","656","0","14354","1273","16283"
"2022/08/30","2660","0","15264","1164","19088"
"2022/08/29","8854","0","33642","1787","44283"
"2022/08/26","44134","0","19665","5690","69489"
"2022/08/25","22050","40","11989","1711","35790"
"2022/08/24","5765","759","11275","802","18601"
"2022/08/23","9198","600","12091","1888","23777"
"2022/08/22","11288","0","18386","2664","32338"
"2022/08/19","9607","0","28522","4799","42928"
"2022/08/18","5816","2241","12815","1891","22763"
"2022/08/17","3695","0","11122","4534","19351"
"2022/08/16","31495",,"22006","1293","54794"
"2022/08/12","21719","0","8180","5175","35074"
"2022/08/11","26586","0","33311","2219","62116"
"2022/08/10","1129","0","13323","195","14647"
"2022/08/09","3409","0","5836","3647","12892"
"2022/08/08","1953","0","5569","5507","13029"
"2022/08/05","7214",,"13722","13254","34190"
"2022/08/04","7309","1855","8673","12912","30749"
"2022/08/03","22728","500","12498","9496","45222"
"2022/08/02","15129",,"14591","29294","59014"
"2022/08/01","20082","3191","36650","8224","68147"
"2022/07/29","16110","200","15518","124","31952"
"2022/07/28","19320","10000","8264","2753","40337"
"2022/07/27","9920","0","14048","1371","25339"
"2022/07/26","6278","0","4565","519","11362"
"2022/07/25","18535","0","3819","359","22713"
"2022/07/22","10546","420","12890","732","24588"
"2022/07/21","16186","0","11976","35745","63907"
"2022/07/20","38174","0","20451","3817","62442"
"2022/07/19","15875","6448","5504","2373","30200"
"2022/07/18","13663","0","20694","5493","39850"
"2022/07/15","30518","1000","16940","4948","53406"
"2022/07/14","7397","2893","18533","2449","31272"
"2022/07/13","10633","0","16711","11805","39149"
"2022/07/12","15173","1400","8154","16753","41480"
"2022/07/11","20088","0","8468","15467","44023"
"2022/07/08","24012","0","9654","2069","35735"
"2022/07/07","27968",,"34752","6887","69607"
"2022/07/06","17331","320","14727","2944","35322"
"2022/07/05","16476","2320","25369","18914","63079"
"2022/07/04","33352","4386","48991","5352","92081"
"2022/07/01","125632","51367","41014","13728","231741"
"2022/06/30","22080","0","16624","3911","42615"
"2022/06/29","10378","0","20293","2944","33615"
"2022/06/28","114944","0","38389","23028","176361"
"2022/06/27","96697","5607","54873","10506","167683"
"2022/06/24","33453","4166","52865","15954","106438"
"2022/06/23","10811","96","97243","19711","127861"
"2022/06/22","55783","704","73512","19113","149112"
"2022/06/21","18010","0","54661","20112","92783"
"2022/06/20","47788","0","187670","7451","242909"
"2022/06/17","5237","0","77478","1208","83923"
"2022/06/16","14978","0","52892","15793","83663"
"2022/06/15","11592","16","91467","4613","107688"
"2022/06/14","40007","4293","83995","4767","133062"
"2022/06/13","27608","7166","122168","30709","187651"
"2022/06/10","39609","14000","40156","1810","95575"
"2022/06/09","1380","0","18900","20","20300"
"2022/06/08","11505","10320","11774","6070","39669"
"2022/06/07","2751","0","45268","7727","55746"
"2022/06/03","2592","0","54458","3294","60344"
"2022/06/02","44","0","54759","4870","59673"
"2022/05/31","4747","0","61214","1684","67645"
"2022/05/30","12169","36945","36882","7593","93589"
"2022/05/27","35915","30555","80554","9203","156227"
"2022/05/26","19622","2010","88800","5188","115620"
"2022/05/25","5190","1617","138283","16195","161285"
"2022/05/24","2164","0","55687","2393","60244"
"2022/05/23","3211","0","42422","1506","47139"
"2022/05/20","19380","0","45299","1042","65721"
"2022/05/19","3169","4","23671","1675","28519"
"2022/05/18","12788","55","92328","6544","111715"
"2022/05/17","4593","11280","108126","14451","138450"
"2022/05/16","22012","1710","24910","9596","58228"
"2022/05/13","14618","9430","43505","11206","78759"
"2022/05/12","30440","10685","81993","11648","134766"
"2022/05/11","14222","0","32301","3473","49996"
"2022/05/10","28175","90","100345","10873","139483"
"2022/05/09","14140","0","63644","16686","94470"
"2022/05/06","16679","0","116872","7755","141306"
"2022/05/04","19962","2514","150246","15712","188434"
"2022/05/03","100300","2840","289846","9516","402502"
"2022/05/02","110534","4003","55181","7743","177461"
"2022/04/29","83299","23303","108905","16129","231636"
"2022/04/28","196955","26547","209720","37140","470362"
"2022/04/27","30136","649","205655","7880","244320"
"2022/04/26","37811","650","169726","36483","244670"
"2022/04/25","8517","4000","203727","7678","223922"
"2022/04/22","58753","5162","117842","8025","189782"
"2022/04/21","1973","15878","102958","2913","123722"
"2022/04/20","16850","6182","32977","2093","58102"
"2022/04/19","38831","25219","70567","5347","139964"
"2022/04/18","104555","24281","77484","26025","232345"
"2022/04/15","83147","3984","123633","5799","216563"
"2022/04/14","10079","3674","139627","5603","158983"
"2022/04/13","9726","0","86184","8271","104181"
"2022/04/12","50914","7131","174487","4093","236625"
"2022/04/11","19968","2000","108553","9037","139558"
"2022/04/08","95725","40000","155908","42156","333789"
"2022/04/07","72515","8790","245774","30359","357438"
"2022/04/06","40231","44635","650698","104660","840224"
"2022/04/05","318642","5212","641430","53388","1018672"
"2022/04/04","67570","87725","469574","51089","675958"
"2022/04/01","322315","6936","394038","47782","771071"
"2022/03/31","226358","14285","318595","6059","565297"
"2022/03/30","190149","32833","363075","43562","629619"
"2022/03/29","261409","12877","418591","1017","693894"
"2022/03/28","2715256","214805","5260102","896720","9086883"
