일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","60113","292","31518","8947","100870"
"2023/05/03","30625","3149","14764","3451","51989"
"2023/05/02","46652","2360","21947","11304","82263"
"2023/04/28","51724","637","12449","5077","69887"
"2023/04/27","32629","296","32837","7683","73445"
"2023/04/26","22119","1654","31927","40115","95815"
"2023/04/25","61124","331","19745","26868","108068"
"2023/04/24","48269","2214","67588","5748","123819"
"2023/04/21","44072","937","17742","8114","70865"
"2023/04/20","49411","339","25932","25512","101194"
"2023/04/19","37285","819","26436","7430","71970"
"2023/04/18","49617","595","28865","4915","83992"
"2023/04/17","43007","594","28414","6533","78548"
"2023/04/14","39957","5754","56743","34880","137334"
"2023/04/13","45117","10879","12099","16975","85070"
"2023/04/12","35766","432","27648","10695","74541"
"2023/04/11","33310","379","25649","145","59483"
"2023/04/10","16164","328","22865","3","39360"
"2023/04/07","38648","299","28225","36","67208"
"2023/04/06","17530","313","11820","2791","32454"
"2023/04/05","37500","299","11228","27","49054"
"2023/04/04","20089","601","23482","21590","65762"
"2023/04/03","14552","381","14296","740","29969"
"2023/03/31","21532","90","11671","1705","34998"
"2023/03/30","9092","60","29922","1030","40104"
"2023/03/29","15132","59","64060","17177","96428"
"2023/03/28","18203","382","12696","2142","33423"
"2023/03/27","52033","335","22336","5425","80129"
"2023/03/24","7601","323","7093","3586","18603"
"2023/03/23","18557","299","29888","5345","54089"
"2023/03/22","19144","335","17873","812","38164"
"2023/03/21","18135","314","10416","149","29014"
"2023/03/20","13661","3144","11020","3276","31101"
"2023/03/17","17358","3306","7350","832","28846"
"2023/03/16","19780","317","15509","11290","46896"
"2023/03/15","24739","299","10513","12562","48113"
"2023/03/14","24596","699","36488","2423","64206"
"2023/03/13","24333","338","26824","5198","56693"
"2023/03/10","22162","337","8865","3002","34366"
"2023/03/09","13560","919","22088","4186","40753"
"2023/03/08","10704","336","8538","2","19580"
"2023/03/07","13212","357","20163","1807","35539"
"2023/03/06","9746","491","12061","293","22591"
"2023/03/03","9518","275","13207","1137","24137"
"2023/03/02","7204","546","28546","15520","51816"
"2023/02/28","13301","370","11230","3250","28151"
"2023/02/27","12341","627","10913","1786","25667"
"2023/02/24","24490","367","13510","1210","39577"
"2023/02/23","29357","399","9899","1247","40902"
"2023/02/22","22809","296","7663","134","30902"
"2023/02/21","22509","301","15462","3204","41476"
"2023/02/20","31838","1987","28948","7284","70057"
"2023/02/17","13795","1858","15925","906","32484"
"2023/02/16","17701","5201","31577","8279","62758"
"2023/02/15","14059","2837","5338","359","22593"
"2023/02/14","12298","16","26342","3571","42227"
"2023/02/13","18381","477","11208","5104","35170"
"2023/02/10","14746","21","28513","2767","46047"
"2023/02/09","17197","0","51833","106","69136"
"2023/02/08","22028","0","20606","4177","46811"
"2023/02/07","17976","6","10039","2059","30080"
"2023/02/06","22395","1011","11137","289","34832"
"2023/02/03","4173","192","6566","0","10931"
"2023/02/02","27646","10","18118","7812","53586"
"2023/02/01","14654",,"28865","313","43832"
"2023/01/31","17456","4","25117","491","43068"
"2023/01/30","26592","18","13077","207","39894"
"2023/01/27","20515","124","22677","10369","53685"
"2023/01/26","36876","0","14402","8218","59496"
"2023/01/25","14934","0","21650","950","37534"
"2023/01/20","47270","67","67993","14515","129845"
"2023/01/19","22331","500","6073","552","29456"
"2023/01/18","49112","501","20796","3387","73796"
"2023/01/17","56660","502","8222","34772","100156"
"2023/01/16","35593","501","22462","6223","64779"
"2023/01/13","29806","502","4611","728","35647"
"2023/01/12","30488","501","26519","8018","65526"
"2023/01/11","11032","501","12878","733","25144"
"2023/01/10","14421","500","10435","618","25974"
"2023/01/09","29184","5147","18843","32","53206"
"2023/01/06","46863","501","6548","3574","57486"
"2023/01/05","28629","504","9394","8854","47381"
"2023/01/04","25134","2749","12440","2939","43262"
"2023/01/03","59113","502","8406","2897","70918"
"2023/01/02","37508","502","9022","5873","52905"
"2022/12/29","50794","501","17324","1053","69672"
"2022/12/28","37588","745","10943","570","49846"
"2022/12/27","39769","500","11037","8593","59899"
"2022/12/26","97645","501","21436","8315","127897"
"2022/12/23","166012","568","16893","13911","197384"
"2022/12/22","62890","501","11661","1670","76722"
"2022/12/21","133030","503","4185","22950","160668"
"2022/12/20","125858","500","17529","3226","147113"
"2022/12/19","80434","22","20950","18918","120324"
"2022/12/16","138592","1","27137","28934","194664"
"2022/12/15","57532","1000","13992","9170","81694"
"2022/12/14","68141","0","16126","12128","96395"
"2022/12/13","42814","711","21179","6433","71137"
"2022/12/12","30534","416","15566","7359","53875"
"2022/12/09","39338","1000","14090","1396","55824"
"2022/12/08","29688","101","8064","128","37981"
"2022/12/07","40264","0","11903","232","52399"
"2022/12/06","17884","2","24829","325","43040"
"2022/12/05","45506","2000","14236","2662","64404"
"2022/12/02","40311",,"26969","4657","71937"
"2022/12/01","37554","0","41663","5611","84828"
"2022/11/30","42465","5100","50087","12781","110433"
"2022/11/29","20293",,"22662","8074","51029"
"2022/11/28","38960","369","24942","1367","65638"
"2022/11/25","34122","0","29062","9934","73118"
"2022/11/24","36340","0","14564","6072","56976"
"2022/11/23","16094","1","15985","1511","33591"
"2022/11/22","25264","190","13775","28","39257"
"2022/11/21","37805",,"16103","8","53916"
"2022/11/18","27681",,"15997","1373","45051"
"2022/11/17","29790",,"21607","3886","55283"
"2022/11/16","80493","4095","17072","19655","121315"
"2022/11/15","28383",,"27852","2071","58306"
"2022/11/14","14855",,"58238","6559","79652"
"2022/11/11","56935",,"50437","14703","122075"
"2022/11/10","26837","200","19498","1041","47576"
"2022/11/09","26872",,"27344","3654","57870"
