일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1634947","13940","257684","21310","1927881"
"2023/05/03","22933","0","20978","3507","47418"
"2023/05/02","51980","50","14877","3820","70727"
"2023/04/28","29117","200","28814","9316","67447"
"2023/04/27","82151","87","6531","2709","91478"
"2023/04/26","114257","0","35833","9334","159424"
"2023/04/25","392401","2246","54961","33799","483407"
"2023/04/24","216186","182","45206","12284","273858"
"2023/04/21","345565","0","57664","12279","415508"
"2023/04/20","276876","0","24513","26542","327931"
"2023/04/19","7336","47","40123","10617","58123"
"2023/04/18","22743","5813","36438","13103","78097"
"2023/04/17","79335","80","44019","3286","126720"
"2023/04/14","139330","0","38433","2598","180361"
"2023/04/13","229874","60","12638","8743","251315"
"2023/04/12","88493","0","25071","10058","123622"
"2023/04/11","160890","1","11636","1860","174387"
"2023/04/10","125747","0","38384","8921","173052"
"2023/04/07","66847","0","23518","4142","94507"
"2023/04/06","335899","0","124874","39897","500670"
"2023/04/05","339884","15774","67607","38057","461322"
"2023/04/04","126317","0","90735","15763","232815"
"2023/04/03","118996","188","94195","49400","262779"
"2023/03/31","87749","82","102528","10551","200910"
"2023/03/30","85150","1342","89563","10773","186828"
"2023/03/29","229763","1201","194995","5598","431557"
"2023/03/28","274907","6282","403388","9376","693953"
"2023/03/27","1159919","42620","1703742","4682","2910963"
