,일자,제목,부정,중립,긍정
0,20230501,"""돌아온 관광객"" 서울 주요 상권 공실률, 1분기 어떻게 변했나",7.414824e-05,0.9998971,2.869059e-05
1,20230501,“코로나 일상회복에 신규 점포 개점” 1분기 서울 주요 상권 공실률 하락,0.00031122423,0.9992793,0.00040937832
2,20230427,신사업 확장나선 롯데 초대형 쇼핑몰 화학단지 조성,7.151011e-05,0.0004873542,0.9994411
3,20230427,기업공시,7.960743e-05,0.9997912,0.00012920429
4,20230427,"[마켓PRO] ""시장금리 작은 박스권, 월가가 본 경기침체 가능성 60%""",0.0012761501,0.9986206,0.00010318442
5,20230427,‘아아’ 200원에 마실 수 있다고? ‘0’ 한 개 빠뜨린 거 아냐,0.011871192,0.98649246,0.0016363359
6,20230427,"[주택명가] 부동산 자산운용사 프롭테크 해외 투자 사업모델 다변화, 지역사회 공헌 앞장",0.00010390492,0.99939454,0.00050151115
7,20230426,"모히건 인스파이어, 위용 드러내 건설 진척율 63%",0.028402325,0.16411607,0.8074816
8,20230426,인스파이어 리조트 4분기 개장 공사 진척률 63%,0.0633565,0.06752627,0.8691172
9,20230426,"하나은행, '원금 최대 4배' 청년내일저축계좌 다음달 1일부터 모집",8.062967e-05,0.9995252,0.0003942145
10,20230426,"BNK경남은행, ‘전세사기 피해자 전용상담창구’ 운영",7.0426526e-05,0.999861,6.85913e-05
11,20230425,"​CBRE 코리아, 카카오 신사옥 통합 부동산 서비스...색다른 콘텐츠 접목",6.622383e-05,0.99932766,0.0006061584
12,20230420,"[마켓PRO] ""유럽리츠 비중 줄여야 美 최선호 리츠는 산업 노인주거용""",3.4457655e-05,0.99990404,6.1492006e-05
13,20230419,"[머니人터뷰] 김범진 밸류맵 대표 ""토큰증권으로 다양한 부동산 유동화 기업유동화 비율임대차 선보일 것""",3.2011543e-05,0.999915,5.2965683e-05
14,20230419,"대한항공 수요예측 흥행에 회사채 회복 기대감 ↑ ""BBB급ㆍ건설채는 아직""",0.0009264106,0.00015177956,0.9989219
15,20230418,"SK이노베이션, 회사채 수요예측에 1조7000억원 ‘뭉칫돈’",0.030636227,0.96837676,0.0009870478
16,20230417,"[시그널] 바닥 친 리츠주, 기관 매수 타고 '기지개'",0.006116845,0.0005798096,0.99330336
17,20230417,"[이호 기자의 마켓ON]GS리테일, 회사채 수요예측서 1조 가까이 흥행",0.010681892,0.936587,0.052731123
18,20230413,"[기업] CU, 로봇 배송 상용화 나서...""계단 타기도 자유자재""",3.2048705e-05,0.0002116044,0.9997564
19,20230410,美 상업용 부동산 최대 40%떨어질수도,3.2976335e-05,0.99992454,4.24726e-05
20,20230410,"[fn마켓워치] 부동산 PF 전단채, 개인들에 불티 '리스크 떠넘기는 기관들'",0.029921202,0.9694713,0.00060754025
21,20230407,"알스퀘어, 벤처기업협회 수석부회장사 선임",6.861351e-05,0.99983764,9.370219e-05
22,20230407,"알스퀘어, 벤처기업협회 수석부회장사 선임",6.861351e-05,0.99983764,9.370219e-05
23,20230407,"알스퀘어, 벤처기업협회 수석부회장사 선임",6.861351e-05,0.99983764,9.370219e-05
24,20230406,부동산 '발품' 이제 옛말 프롭테크 스타트업 뜬다,3.7200014e-05,0.99991536,4.7419777e-05
25,20230406,[fn마켓워치] '분당 서현빌딩' 매각 본격화,0.00089759013,0.9972007,0.0019016432
26,20230406,"BGF리테일, 올해 실적 양호하다 성장 가능성 유효-NH",3.877123e-05,9.652262e-05,0.9998647
27,20230405,[데이터뉴스] 배달 앱 결제 금액 인원 전달보다 소폭 늘어,0.011399467,0.92171645,0.06688414
28,20230404,"[오늘의 DT인] 투자없이 자비로 부동산 중개플랫폼 개발 ""쉽게 직접거래 해보세요""",3.419448e-05,0.99988556,8.022552e-05
29,20230404,GS슈퍼 '역발상 확장' 기업형 슈퍼 1위로,3.3491597e-05,0.00011683318,0.9998497
30,20230404,O4O 서비스 힘주는 GS더프레시 점포수 1위 '탈환' [이미경의 인사이트],7.7867444e-05,0.00023582608,0.99968636
31,20230404,'동북아 최대 복합 리조트' 인스파이어 온다 4분기 개장 준비 '착착',0.0015027432,0.9379141,0.06058326
32,20230404,"[ET라씨로] 한화갤러리아우, 이틀째 '상한가' 기업가치 상승 기대감",3.3526652e-05,0.00010246375,0.999864
33,20230403,"CU, 'CU프랜즈' 스토리 담은 첫 플래그십 스토어 오픈",0.0026169198,0.5688775,0.4285055
34,20230403,"BNK부산은행, 주택도시기금 ‘지역 일반수탁기관’ 업무 개시",3.733088e-05,0.9999051,5.752588e-05
35,20230402,"[오늘의 DT인] 빌딩전문 중개법인, 일반인 무료 `부동산 플랫폼` 만든 이유가?",4.0725663e-05,0.99991035,4.8820253e-05
36,20230402,4년만의 '찐 봄나들이'에 편의점서 '이것' 불티나게 팔린다,6.213225e-05,0.99987364,6.4281514e-05
37,20230331,"한화솔루션 증시 복귀 첫날 강세...증권가 전망도 긍정적 [오늘, 이 종목]",0.00026647406,0.012920495,0.986813
38,20230331,"[특징주] 한화갤러리아, 인적분할 후 상장 첫날 27%↑ “프리미엄 전략 지속 및 복합개발 사업 확대”",0.0039593354,0.00020092547,0.9958397
39,20230331,"거래재개 한화솔루션, IRA 기대감에 급등[특징주]",3.7266178e-05,9.195529e-05,0.9998708
40,20230329,롯데쇼핑 이마트 주총 화두는 '수익성' 투자 줄이고 비용 절감,9.503935e-05,0.9998097,9.538294e-05
41,20230327,HDC랩스. '콤파스' 그랜드 오픈,0.0051981034,0.77848405,0.2163178
42,20230327,몰 안의 거점 오피스 ‘콤파스’ 그랜드 오픈 무료 체험권 증정 등 이벤트,5.3413e-05,0.9998926,5.4016855e-05
43,20230327,몰 안의 거점 오피스 '콤파스' 오픈 무료 체험권 증정 이벤트,6.496658e-05,0.99987817,5.691024e-05
44,20230327,몰 안의 거점 오피스 '콤파스' 고척점 오픈 무료 체험권 증정,6.621839e-05,0.99986124,7.244479e-05
45,20230327,[DBR/알립니다]최고의 컨설턴트들과 함께하는 부동산 트렌드 아카데미,3.8010785e-05,0.9999125,4.9495662e-05
46,20230325,"""금리 높네"" 개인들 몰려가 7400억 샀는데 '휴지조각' 위기",0.0007494452,0.9991536,9.70096e-05
47,20230324,평당 2억도 없어서 못판다는데 ‘인증샷 성지’ 된 이곳,0.0026011837,0.9968881,0.00051071215
48,20230324,홍대 청담동 공실률 늘어 기존 상권은 ‘침체’,0.56541866,0.4337709,0.0008104536
49,20230322,"롯데-부산, 컬리-창원, 쿠팡-대구 물류 新격전지 된 '영남권'",0.0001891719,0.997428,0.0023827825
50,20230322,비우량 회사채 만기 15조 여전히 불안,0.0003407718,0.99953496,0.00012432734
