,일자,제목,부정,중립,긍정
0,20230502,"HD한국조선해양, 가스운반선 12척 수주 조선업 물 들어온다",8.9640205e-05,5.2996984e-05,0.9998573
1,20230502,"하한가 맞았는데 사라고? IBK證, 하림지주 '매수' 리포트 냈다",0.0020452244,0.0019331534,0.9960217
2,20230502,'SG發 폭락' 하림지주는 사라?,0.7874503,0.2101826,0.002367195
3,20230502,'주가 폭락 연루' 하림지주 매수 추천한 리포트 나왔다 왜?,0.97659636,0.009390138,0.014013524
4,20230501,"김구라, 17년 전 3억에 매입한 철원 땅 “그리 말고 ‘막내딸’ 줄 것”",5.5570305e-05,0.9998851,5.9331178e-05
5,20230501,"동해항 자유무역지역 지정 총력전 펼친다...동해시, 3단계 개발사업 추진",0.00013431173,0.99979216,7.348791e-05
6,20230501,"[fn마켓워치] 우체국금융, 국내 부동산 대출에 4000억 투자",0.0006634038,0.9779037,0.021432862
7,20230430,청년들 돈 몰렸는데 어쩌나...20% 가까이 떨어졌다는 이것 [부동산 라운지],0.0009882817,0.99882764,0.00018410115
8,20230430,"김구라, 17년전 매입한 땅 아들 못 주는 이유",5.0391576e-05,0.9998957,5.3819673e-05
9,20230430,[부동산 라운지] 소액 투자자 인기 끌던 부동산 '조각투자' 울상,4.1664614e-05,0.99991703,4.1196057e-05
10,20230429,상업용부동산도 꽁꽁....서울 1분기 투자액 70% 급감,0.0006408629,0.9992459,0.0001132405
11,20230429,가락시장 배추 파렛트 단위 하차거래 시행 정착,9.139703e-05,0.99983144,7.706243e-05
12,20230428,"호수 품은 `군산 한라비발디 더프라임`, 견본주택 28일 개관",7.8722915e-05,0.9998828,3.8449558e-05
13,20230428,"​[아주증시포커스] 상승세 주춤한 코스닥, 신용잔고 10조원 커지는 빚투 '폭탄' 경고음 外",0.012369787,0.98329514,0.0043351036
14,20230428,"팀프레시, ‘식자재 유통 시장 디지털 혁신’ 2년 만에 4,000평 규모 이천 물류센터 확장",9.059562e-05,0.00023624164,0.9996731
15,20230427,신사업 확장나선 롯데 초대형 쇼핑몰 화학단지 조성,7.151011e-05,0.0004873542,0.9994411
16,20230427,‘4거래일 하한가’ 주가 4분의 1토막 강남 H사 압수수색,0.99980193,9.5713054e-05,0.00010232713
17,20230427,"현대글로비스, 1분기 영업익 4066억 원 대외 변수에도 선방",0.00019466651,0.0003381392,0.9994672
18,20230427,끝없이 열리는 지하실 문 대성홀딩스 세광 또 하한가,0.99144214,0.008340249,0.00021764319
