일자,리츠명,기관_매도거래량,기타법인_매도거래량,개인_매도거래량,외국인_매도거래량,전체_매도거래량,기관_매수거래량,기타법인_매수거래량,개인_매수거래량,외국인_매수거래량,전체_매수거래량,기관_매도거래대금,기타법인_매도거래대금,개인_매도거래대금,외국인_매도거래대금,전체_매도거래대금,기관_매수거래대금,기타법인_매수거래대금,개인_매수거래대금,외국인_매수거래대금,전체_매수거래대금
190102,신한알파리츠,5775.0,0.0,20436,442.0,26653,8541.0,5004.0,13108,0.0,26653,32326830.0,0.0,114461530,2476340.0,149264700,47825530.0,28002440.0,73436730,0.0,149264700
190103,신한알파리츠,2367.0,0.0,50000,3588.0,55955,10439.0,22057.0,21304,2155.0,55955,13303150.0,0.0,280593080,20004340.0,313900570,58584240.0,123859900.0,119325290,12131140.0,313900570
190104,신한알파리츠,44340.0,0.0,13490,11.0,57841,20182.0,13005.0,24433,221.0,57841,246406080.0,0.0,75075560,61390.0,321543030,112192460.0,72417800.0,135708430,1224340.0,321543030
190107,신한알파리츠,61079.0,0.0,67828,1639.0,130546,34574.0,7009.0,83137,5826.0,130546,332843450.0,0.0,368821860,8960550.0,710625860,188368790.0,38219620.0,452293330,31744120.0,710625860
190108,신한알파리츠,101934.0,2000.0,17003,1420.0,122357,11137.0,16993.0,92262,1965.0,122357,553981010.0,10880000.0,92592780,7744300.0,665198090,60708690.0,92381160.0,501368880,10739360.0,665198090
190109,신한알파리츠,34280.0,0.0,25727,1982.0,61989,14371.0,6182.0,40856,580.0,61989,186084660.0,0.0,139755340,10768210.0,336608210,78034770.0,33609050.0,221809190,3155200.0,336608210
190110,신한알파리츠,52233.0,5000.0,17664,6445.0,81342,11047.0,2.0,70293,0.0,81342,282111870.0,27050000.0,95521520,34754580.0,439437970,59788620.0,10760.0,379638590,0.0,439437970
190111,신한알파리츠,45480.0,27159.0,15415,7855.0,95909,14979.0,5005.0,74854,1071.0,95909,246090600.0,146760460.0,83487920,42459470.0,518798450,81072360.0,27077020.0,404822830,5826240.0,518798450
190114,신한알파리츠,31990.0,10000.0,9562,1839.0,53391,25739.0,1.0,27651,0.0,53391,172945260.0,54000000.0,51660920,9943480.0,288549660,139093880.0,5400.0,149450380,0.0,288549660
190115,신한알파리츠,58624.0,0.0,42103,4856.0,105583,22624.0,2500.0,74791,5668.0,105583,315638170.0,0.0,226036100,26181780.0,567856050,121736960.0,13445000.0,401993390,30680700.0,567856050
190116,신한알파리츠,78354.0,0.0,15596,3743.0,97693,15352.0,4500.0,70359,7482.0,97693,420021160.0,0.0,83613450,20086470.0,523721080,82291300.0,24090000.0,377176170,40163610.0,523721080
190117,신한알파리츠,9538.0,0.0,28941,8250.0,46729,13607.0,0.0,32477,645.0,46729,51186880.0,0.0,155288450,44278120.0,250753450,73090250.0,0.0,174203700,3459500.0,250753450
190118,신한알파리츠,5108.0,,22883,4082.0,32073,12695.0,,19078,300.0,32073,27401490.0,,122796300,21935580.0,172133370,68092330.0,,102424040,1617000.0,172133370
190121,신한알파리츠,5243.0,,40380,4713.0,50336,5262.0,,45070,4.0,50336,28380280.0,,218573930,25522490.0,272476700,28471580.0,,243983480,21640.0,272476700
190122,신한알파리츠,5365.0,,55982,2915.0,64262,14604.0,,49658,0.0,64262,29211300.0,,304277690,15864490.0,349353480,79464140.0,,269889340,0.0,349353480
190123,신한알파리츠,7863.0,0.0,71265,8919.0,88047,22868.0,3.0,61480,3696.0,88047,42754790.0,0.0,387208600,48429230.0,478392620,124259930.0,16310.0,333980080,20136300.0,478392620
190124,신한알파리츠,11375.0,,20759,2529.0,34663,7949.0,,21480,5234.0,34663,62916770.0,,114616020,13938020.0,191470810,43994150.0,,118522660,28954000.0,191470810
190125,신한알파리츠,17149.0,,32343,6276.0,55768,11499.0,,42888,1381.0,55768,95793400.0,,180883000,35071080.0,311747480,64284480.0,,239691820,7771180.0,311747480
190128,신한알파리츠,11074.0,52975.0,16216,511.0,80776,28933.0,3004.0,43758,5081.0,80776,60962230.0,291637890.0,89166030,2811850.0,444578000,159345450.0,16491970.0,240689500,28051080.0,444578000
190129,신한알파리츠,8631.0,51394.0,358561,3664.0,422250,21671.0,354721.0,23359,22499.0,422250,48009810.0,284201950.0,1971560880,20345940.0,2324118580,120563340.0,1948851970.0,129677300,125025970.0,2324118580
190130,신한알파리츠,27832.0,100.0,16742,20362.0,65036,31618.0,2.0,32577,839.0,65036,154043950.0,560000.0,93124250,112962930.0,360691130,175537530.0,11050.0,180493800,4648750.0,360691130
190131,신한알파리츠,9878.0,58935.0,47818,101.0,116732,81927.0,3096.0,9199,22510.0,116732,55053730.0,329094050.0,267358440,567340.0,652073560,457583510.0,17275680.0,51433620,125780750.0,652073560
190201,신한알파리츠,6692.0,7095.0,19138,4858.0,37783,13567.0,2.0,23874,340.0,37783,37560500.0,39752000.0,107486280,27212000.0,212010780,76075990.0,11220.0,134014610,1908960.0,212010780
190207,신한알파리츠,5125.0,7000.0,14270,3092.0,29487,10648.0,1.0,18818,20.0,29487,28646890.0,39233580.0,79861230,17285720.0,165027420,59626540.0,5570.0,105283490,111820.0,165027420
190208,신한알파리츠,4978.0,0.0,18152,2.0,23132,8819.0,0.0,12293,2020.0,23132,27925620.0,0.0,101848920,11240.0,129785780,49483250.0,0.0,68959530,11343000.0,129785780
