,일자,제목,부정,중립,긍정
0,20190101,"“기해년, 호캉스는 계속된다” 호텔업계 신년 마케팅 봇물",5.5366745e-05,0.9999136,3.1139192e-05
1,20190101,"[CEO칼럼]부동산 어메니티, 새로운 라이프스타일 만든다",2.7020182e-05,0.9999114,6.156375e-05
2,20190101,"[단독] 서울시, 4대문 내 `역세권청년주택` 허용키로",4.6845256e-05,0.9999118,4.140661e-05
3,20190101,호텔신라 美진출 실리콘밸리에 첨단호텔,0.0073666507,0.0045172535,0.98811615
4,20190101,롯데-신세계 '인천상권 혈투' 2차전,8.0358615e-05,0.9998523,6.739053e-05
5,20190102,롯데-신세계 '인천상권 혈투' 2차전,8.0358615e-05,0.9998523,6.739053e-05
6,20190102,"[수도권] ""2019 부동산 시장, 가장 큰 변수는 역시 대출규제""",3.886678e-05,0.99992,4.1067753e-05
7,20190102,청량리 동대구 등 ‘역세권 개발’ 활기,7.974149e-05,0.9998287,9.148216e-05
8,20190102,"[건설, 신한류 모색하다]자카르타 중심에 초고층 랜드마크 '캐슬 DNA' 춤춘다",3.283038e-05,0.99991655,5.0660637e-05
9,20190102,인천공항 인스파이어 복합리조트 7년간 국세 감면 확정,0.002814972,0.99669087,0.00049413583
10,20190102,상가 투자 ‘풍선효과’ 이어지나 광교 컨벤션 꿈에그린 상업시설,8.226968e-05,0.9998485,6.922657e-05
11,20190102,인천 경제자유구역 복합리조트 7년간 국세 감면,0.00014620178,0.9997899,6.386345e-05
12,20190102,"인스파이어 복합리조트, 국세 지방세 등 감면 확정",0.0006446659,0.9990883,0.00026697924
13,20190103,인스파이어 복합리조트 1조원 추가 투자,0.02352969,0.6033984,0.3730719
14,20190103,영종 카지노복합리조트 '인스파이어' 세제혜택,4.8323716e-05,0.99990046,5.12563e-05
15,20190103,"""청약통장이 움직인다"" 상반기 서울 '로또 단지' 3.3만가구",6.3418425e-05,0.99989617,4.036903e-05
16,20190103,청량리 수색 동대구역 '역세권 재개발' 뜬다,4.8188354e-05,0.9999049,4.6954065e-05
17,20190103,`시티프라디움 더 강남` 청약경쟁률 최고 5.8대 1,9.011614e-05,0.9998597,5.015532e-05
18,20190103,"[기업부활, 일본에서 배운다]대기업-주민 뭉친 도시재생 '세련된 옛것' 되찾다",3.2170436e-05,0.9999206,4.7161197e-05
19,20190103,마포역세권에 시세보다 저렴한 재건축 아파트 들어선다,5.725505e-05,0.9998828,5.9971422e-05
20,20190103,서울 시청역 신개념 홈앤오피스(Home & Office) ‘삼정 아트스테이 정동’ 런칭,0.00021920487,0.9993383,0.00044249784
21,20190103,최고가 오피스텔 롯데월드타워 시그니엘 클라라 신혼집 '눈길',7.079808e-05,0.99988806,4.1140527e-05
22,20190103,"클라라 결혼에 주목 받는 신혼집 '국내 최고가 주거공간, 롯데월드 시그니엘 레지던스'",4.959614e-05,0.99990344,4.693188e-05
